"country","year","gender","age","nobs_log_inc","nobs_res_log_inc","p1_log_inc","p2_5_log_inc","p5_log_inc","p10_log_inc","p12_5_log_inc","p25_log_inc","p37_5_log_inc","p50_log_inc","p62_5_log_inc","p75_log_inc","p87_5_log_inc","p90_log_inc","p95_log_inc","p97_5_log_inc","p99_log_inc","p99_9_log_inc","p99_99_log_inc","p9010_log_inc","p9050_log_inc","p5010_log_inc","p1_res_log_inc","p2_5_res_log_inc","p5_res_log_inc","p10_res_log_inc","p12_5_res_log_inc","p25_res_log_inc","p37_5_res_log_inc","p50_res_log_inc","p62_5_res_log_inc","p75_res_log_inc","p87_5_res_log_inc","p90_res_log_inc","p95_res_log_inc","p97_5_res_log_inc","p99_res_log_inc","p99_9_res_log_inc","p99_99_res_log_inc","p9010_res_log_inc","p9050_res_log_inc","p5010_res_log_inc"
"AUS",2012,"Male","25-55",3878338,3878338,8.6914654,9.0334482,9.4646263,10.00666,10.19328,10.71094,10.9515,11.14549,11.32727,11.51856,11.79427,11.87199,12.09722,12.32207,12.63904,13.46668,13.93151,1.8653297,0.72650051,1.1388292,-2.309382,-1.937134,-1.5161231,-0.9930914,-0.81031972,-0.33185229,-0.085466102,0.1072934,0.27931479,0.46424201,0.72284991,0.79829121,1.0183541,1.224905,1.5043629,2.306684,2.7572739,1.7913826,0.69099784,1.1003848
"AUS",2013,"Male","25-55",3937550,3937550,8.687418,9.0396395,9.4686108,10.00054,10.18865,10.71053,10.95399,11.15197,11.33598,11.5314,11.81433,11.89289,12.11668,12.33437,12.6433,13.46244,13.90877,1.8923502,0.74092007,1.1514301,-2.3081739,-1.936312,-1.51398,-0.99978858,-0.81990141,-0.3388688,-0.089600101,0.1066201,0.2806772,0.46961159,0.73326218,0.80945081,1.029274,1.234503,1.5028729,2.288239,2.7250149,1.8092394,0.70283067,1.1064087
"AUS",2014,"Male","25-55",3967762,3967762,8.6795349,9.0227909,9.4470434,9.9742451,10.16264,10.6981,10.94377,11.14267,11.32861,11.52689,11.81284,11.89319,12.11782,12.33368,12.64388,13.47706,13.88272,1.9189453,0.75052071,1.1684246,-2.3065441,-1.93686,-1.520429,-1.010415,-0.8302477,-0.3425473,-0.091006503,0.1070988,0.28343019,0.47340751,0.73849201,0.81456238,1.036238,1.24157,1.514021,2.31422,2.7097571,1.8249774,0.70746356,1.1175138
"AUS",2015,"Male","25-55",3988368,3988368,8.6890945,9.0332794,9.4522495,9.9747295,10.16319,10.69916,10.94588,11.14136,11.32742,11.52646,11.81015,11.89021,12.11912,12.33692,12.64427,13.47294,13.86573,1.9154806,0.74884987,1.1666307,-2.296849,-1.928082,-1.513532,-1.00925,-0.82933187,-0.33997729,-0.089514799,0.1070766,0.28320661,0.47111499,0.73350382,0.80904698,1.029502,1.2371401,1.512663,2.3069749,2.697011,1.818297,0.7019704,1.1163267
"AUS",2016,"Male","25-55",4013250,4013250,8.7006741,9.03897,9.4544363,9.9705276,10.15969,10.70376,10.95136,11.14724,11.33114,11.53268,11.80882,11.88761,12.11491,12.33643,12.6471,13.50239,13.85178,1.9170828,0.74037075,1.176712,-2.290473,-1.923667,-1.511506,-1.011776,-0.83200258,-0.3381201,-0.086607903,0.1096353,0.28668019,0.47299051,0.72773272,0.80014801,1.013629,1.220942,1.502602,2.326262,2.6806321,1.811924,0.69051272,1.1214113
"AUS",2017,"Male","25-55",4062134,4062134,8.7103596,9.0436106,9.4533215,9.9629784,10.15085,10.69859,10.94478,11.13987,11.32298,11.52175,11.79247,11.86845,12.09191,12.31185,12.62652,13.46251,13.83439,1.9054718,0.72858047,1.1768913,-2.273283,-1.908735,-1.503739,-1.006803,-0.8269074,-0.3344571,-0.083570898,0.1120332,0.2879476,0.47129399,0.71914828,0.78910768,0.99542308,1.197304,1.480139,2.293118,2.66202,1.7959107,0.67707449,1.1188363
"AUS",2018,"Male","25-55",4132055,4132055,8.7340775,9.080801,9.493186,9.9952917,10.18029,10.71839,10.96128,11.15524,11.33719,11.53463,11.80287,11.87849,12.09873,12.32053,12.63462,13.46855,13.81551,1.8831987,0.72325039,1.1599483,-2.260911,-1.8911901,-1.48111,-0.98966718,-0.8113687,-0.3313826,-0.083834298,0.1095191,0.28452241,0.46688581,0.71137059,0.78063422,0.98346269,1.18362,1.465862,2.2884309,2.6275671,1.7703013,0.6711151,1.0991863
"AUS",2019,"Male","25-55",4198152,4198152,8.7633486,9.1136627,9.5269747,10.02735,10.20869,10.73536,10.97576,11.16659,11.34872,11.54624,11.8123,11.88694,12.09875,12.3202,12.64045,13.46977,13.79961,1.8595896,0.72035027,1.1392393,-2.2404361,-1.871948,-1.46304,-0.97081041,-0.79659331,-0.3297765,-0.085382201,0.1069625,0.2811642,0.46285731,0.70495403,0.77283168,0.97090739,1.166682,1.449747,2.265281,2.602778,1.7436421,0.66586918,1.0777729
"AUS",2020,"Male","25-55",4261725,4261725,8.7939682,9.1379194,9.535387,10.02698,10.20246,10.72371,10.97226,11.16907,11.35486,11.55582,11.82153,11.89333,12.10229,12.31722,12.63313,13.4511,13.78568,1.8663492,0.72425938,1.1420898,-2.2142401,-1.857051,-1.459823,-0.97533637,-0.80622232,-0.33941671,-0.090027101,0.1069894,0.28530809,0.4694325,0.71080828,0.77827901,0.97326219,1.165678,1.4429359,2.2404461,2.5773349,1.7536154,0.67128962,1.0823258
"AUS",2021,"Male","25-55",4245117,4245117,8.8084011,9.1616697,9.5860205,10.09231,10.26382,10.76194,11.00028,11.19242,11.3744,11.5744,11.83644,11.90655,12.11514,12.3325,12.64818,13.49909,13.77025,1.8142405,0.7141304,1.1001101,-2.245122,-1.880042,-1.457667,-0.95632678,-0.7862007,-0.3260608,-0.083380297,0.1072122,0.28163639,0.46075651,0.69751912,0.76425189,0.9582845,1.154126,1.4392329,2.2793281,2.5800321,1.7205787,0.6570397,1.063539
"AUS",2022,"Male","25-55",4212847,4212847,8.8534956,9.231142,9.6623392,10.17013,10.34208,10.80273,11.03703,11.2271,11.41158,11.6132,11.87657,11.94951,12.15808,12.37699,12.70187,13.57798,13.75723,1.7793798,0.72240925,1.0569706,-2.248039,-1.864941,-1.438237,-0.92740363,-0.76117378,-0.32529601,-0.088943601,0.099275902,0.2728979,0.4538182,0.69475949,0.76103908,0.95756072,1.1541899,1.449074,2.323081,2.5986669,1.6884427,0.66176319,1.0266795
