percentile,fy,baseline,high_inflation,no_policy,indexed_brackets
0.038,FY2034_35,0,0,0,0
0.039,FY2025_26,0,0,0,0
0.039,FY2026_27,0,0,0,0
0.039,FY2027_28,0,0,0,0
0.039,FY2028_29,0,0,0,0
0.039,FY2029_30,0,0,0,0
0.039,FY2030_31,0,0,0,0
0.039,FY2031_32,0,0,0,0
0.039,FY2032_33,0,0,0,0
0.039,FY2033_34,0,0,0,0
0.039,FY2034_35,0,0,0,0
0.04,FY2025_26,0,0,0,0
0.04,FY2026_27,0,0,0,0
0.04,FY2027_28,0,0,0,0
0.04,FY2028_29,0,0,0,0
0.04,FY2029_30,0,0,0,0
0.04,FY2030_31,0,0,0,0
0.04,FY2031_32,0,0,0,0
0.04,FY2032_33,0,0,0,0
0.04,FY2033_34,0,0,0,0
0.04,FY2034_35,0,0,0,0
0.041,FY2025_26,0,0,0,0
0.041,FY2026_27,0,0,0,0
0.041,FY2027_28,0,0,0,0
0.041,FY2028_29,0,0,0,0
0.041,FY2029_30,0,0,0,0
0.041,FY2030_31,0,0,0,0
0.041,FY2031_32,0,0,0,0
0.041,FY2032_33,0,0,0,0
0.041,FY2033_34,0,0,0,0
0.041,FY2034_35,0,0,0,0
0.042,FY2025_26,0,0,0,0
0.042,FY2026_27,0,0,0,0
0.042,FY2027_28,0,0,0,0
0.042,FY2028_29,0,0,0,0
0.042,FY2029_30,0,0,0,0
0.042,FY2030_31,0,0,0,0
0.042,FY2031_32,0,0,0,0
0.042,FY2032_33,0,0,0,0
0.042,FY2033_34,0,0,0,0
0.042,FY2034_35,0,0,0,0
0.043,FY2025_26,0,0,0,0
0.043,FY2026_27,0,0,0,0
0.043,FY2027_28,0,0,0,0
0.043,FY2028_29,0,0,0,0
0.043,FY2029_30,0,0,0,0
0.043,FY2030_31,0,0,0,0
0.043,FY2031_32,0,0,0,0
0.043,FY2032_33,0,0,0,0
0.043,FY2033_34,0,0,0,0
0.043,FY2034_35,0,0,0,0
0.044,FY2025_26,0,0,0,0
