year,model,model_label,value,path_type
2057,arimax_diff,ARIMAX (differences),0.413919880093363,Unanchored model projection
2058,arimax_diff,ARIMAX (differences),0.414553838832011,Unanchored model projection
2059,arimax_diff,ARIMAX (differences),0.415187797570658,Unanchored model projection
2060,arimax_diff,ARIMAX (differences),0.415821756309305,Unanchored model projection
2061,arimax_diff,ARIMAX (differences),0.416455715047953,Unanchored model projection
2062,arimax_diff,ARIMAX (differences),0.4170896737866,Unanchored model projection
2063,arimax_diff,ARIMAX (differences),0.417723632525247,Unanchored model projection
2064,arimax_diff,ARIMAX (differences),0.418357591263894,Unanchored model projection
2065,arimax_diff,ARIMAX (differences),0.418991550002542,Unanchored model projection
2066,arimax_diff,ARIMAX (differences),0.419625508741188,Unanchored model projection
2026,hybrid,Hybrid demographics/macro,0.385655809142094,Unanchored model projection
2027,hybrid,Hybrid demographics/macro,0.387026289602913,Unanchored model projection
2028,hybrid,Hybrid demographics/macro,0.387620914064156,Unanchored model projection
2029,hybrid,Hybrid demographics/macro,0.38646515783795,Unanchored model projection
2030,hybrid,Hybrid demographics/macro,0.384256069704306,Unanchored model projection
2031,hybrid,Hybrid demographics/macro,0.381646853226294,Unanchored model projection
2032,hybrid,Hybrid demographics/macro,0.378775473206357,Unanchored model projection
2033,hybrid,Hybrid demographics/macro,0.380018169316996,Unanchored model projection
2034,hybrid,Hybrid demographics/macro,0.381596820884507,Unanchored model projection
2035,hybrid,Hybrid demographics/macro,0.382874054868629,Unanchored model projection
2036,hybrid,Hybrid demographics/macro,0.384930650881062,Unanchored model projection
2037,hybrid,Hybrid demographics/macro,0.38574436822431,Unanchored model projection
2038,hybrid,Hybrid demographics/macro,0.386558085567555,Unanchored model projection
2039,hybrid,Hybrid demographics/macro,0.387371802910803,Unanchored model projection
2040,hybrid,Hybrid demographics/macro,0.388185520254049,Unanchored model projection
2041,hybrid,Hybrid demographics/macro,0.388999237597296,Unanchored model projection
2042,hybrid,Hybrid demographics/macro,0.389812954940543,Unanchored model projection
2043,hybrid,Hybrid demographics/macro,0.39062667228379,Unanchored model projection
2044,hybrid,Hybrid demographics/macro,0.391440389627036,Unanchored model projection
2045,hybrid,Hybrid demographics/macro,0.392254106970283,Unanchored model projection
2046,hybrid,Hybrid demographics/macro,0.393067824313531,Unanchored model projection
2047,hybrid,Hybrid demographics/macro,0.393881541656776,Unanchored model projection
2048,hybrid,Hybrid demographics/macro,0.394695259000023,Unanchored model projection
2049,hybrid,Hybrid demographics/macro,0.39550897634327,Unanchored model projection
2050,hybrid,Hybrid demographics/macro,0.396322693686516,Unanchored model projection
2051,hybrid,Hybrid demographics/macro,0.397136411029764,Unanchored model projection
2052,hybrid,Hybrid demographics/macro,0.39795012837301,Unanchored model projection
2053,hybrid,Hybrid demographics/macro,0.398763845716257,Unanchored model projection
2054,hybrid,Hybrid demographics/macro,0.399577563059504,Unanchored model projection
2055,hybrid,Hybrid demographics/macro,0.40039128040275,Unanchored model projection
2056,hybrid,Hybrid demographics/macro,0.401204997745997,Unanchored model projection
2057,hybrid,Hybrid demographics/macro,0.402018715089243,Unanchored model projection
2058,hybrid,Hybrid demographics/macro,0.40283243243249,Unanchored model projection
2059,hybrid,Hybrid demographics/macro,0.403646149775737,Unanchored model projection
2060,hybrid,Hybrid demographics/macro,0.404459867118983,Unanchored model projection
2061,hybrid,Hybrid demographics/macro,0.40527358446223,Unanchored model projection
2062,hybrid,Hybrid demographics/macro,0.406087301805478,Unanchored model projection
2063,hybrid,Hybrid demographics/macro,0.406901019148724,Unanchored model projection
2064,hybrid,Hybrid demographics/macro,0.407714736491971,Unanchored model projection
2065,hybrid,Hybrid demographics/macro,0.408528453835218,Unanchored model projection
2066,hybrid,Hybrid demographics/macro,0.409342171178464,Unanchored model projection
2026,univariate_arima,Univariate ARIMA,0.370710393454637,Unanchored model projection
2027,univariate_arima,Univariate ARIMA,0.360984922375956,Unanchored model projection
2028,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2029,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2030,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2031,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2032,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2033,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2034,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
