year,scenario,primary_expense_value,primary_expense_ratio,raw_primary_expense_value,raw_primary_expense_ratio,nominal_gdp,revenue_ratio,official_nci,official_net_debt,official_interest,nominal_gdp_growth,net_capital_investment_ratio,effective_interest_rate,net_debt_ratio,interest_ratio,spending_approach,spending_model,revenue_scenario,total_expense_ratio,fiscal_deficit_ratio
2043,pressure,2068254.96292836,0.374669375022356,2404279.86535736,0.435541096566188,5520213.55576486,0.34461,,,,0.0363319292473907,0.018,0.052,0.922294878351152,0.0430895876170127,Bottom-up primary spending with endogenous interest,pressure,pressure,0.417758962639369,0.0911489626393687
2044,pressure,2161838.12671865,0.377649171513099,2513067.28299704,0.439005014136298,5724461.45732816,0.34461,,,,0.0363319292473907,0.018,0.052,0.989778019938847,0.046277965891767,Bottom-up primary spending with endogenous interest,pressure,pressure,0.423927137404866,0.097317137404866
2045,pressure,2259699.92277242,0.380660118759334,2626828.47301331,0.442505143457649,5936266.5312493,0.34461,,,,0.0363319292473889,0.018,0.052,1.0612923713037,0.0496640657151206,Bottom-up primary spending with endogenous interest,pressure,pressure,0.430324184474455,0.103714184474455
2046,pressure,2362037.94592625,0.383702582164546,2745793.13304771,0.446041909300038,6155908.39290552,0.34461,,,,0.0363319292473907,0.018,0.052,1.13693039556407,0.0532524394456036,Bottom-up primary spending with endogenous interest,pressure,pressure,0.43695502161015,0.11034502161015
2047,pressure,2469059.00358501,0.386776931579296,2870201.67005608,0.449615741602847,6383677.00344303,0.34461,,,,0.0363319292473907,0.018,0.052,1.2167863236181,0.0570477266026784,Bottom-up primary spending with endogenous interest,pressure,pressure,0.443824658181974,0.117214658181974
2048,pressure,2580979.54905029,0.389883541354033,3000305.70403891,0.45322707553643,6619873.05257042,0.34461,,,,0.0363319292473889,0.018,0.052,1.30095618537027,0.0610546554076467,Bottom-up primary spending with endogenous interest,pressure,pressure,0.45093819676168,0.12432819676168
2049,pressure,2698026.13539647,0.393022790392793,3136368.59565769,0.456876351564539,6864808.35551552,0.34461,,,,0.0363319292473907,0.018,0.052,1.38953784148375,0.0652780443505035,Bottom-up primary spending with endogenous interest,pressure,pressure,0.458300834743297,0.131690834743297
2050,pressure,2820435.89087605,0.396195062207801,3278665.99887832,0.460564015507801,7118806.2646696,0.34461,,,,0.0363319292473907,0.018,0.052,1.48263101566742,0.0697228037831749,Bottom-up primary spending with endogenous interest,pressure,pressure,0.465917865990976,0.139307865990976
2051,pressure,2948457.01688276,0.399400744974957,3427486.43983715,0.464290518608213,7382202.09646237,0.34461,,,,0.0363319292473889,0.018,0.052,1.58033732750652,0.0743939375395829,Bottom-up primary spending with endogenous interest,pressure,pressure,0.47379468251454,0.14718468251454
2052,pressure,3082349.3095506,0.402640231590202,3583131.92318319,0.46805631759467,7655343.57403148,0.34461,,,,0.0363319292473907,0.018,0.052,1.68276032584602,0.0792965445829873,Bottom-up primary spending with endogenous interest,pressure,pressure,0.481936776173189,0.155326776173189
2053,pressure,3222384.70611891,0.405913919726771,3745918.56720982,0.471861874749513,7938591.28627064,0.34461,,,,0.0363319292473907,0.018,0.052,1.79000552273598,0.0844358206810633,Bottom-up primary spending with endogenous interest,pressure,pressure,0.490349740407834,0.163739740407834
