year,revenue_ratio,scenario,revenue_assumption
2048,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2049,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2050,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2051,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2052,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2053,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2054,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2055,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2056,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2057,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2058,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2059,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2060,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2061,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2062,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2063,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2064,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2065,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2066,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
