year,model,actual,fitted,model_label
1990,univariate_arima,0.342681221503343,0.33963272154041,COVID-adjusted ARIMA benchmark
1991,univariate_arima,0.357308222125526,0.348646487599714,COVID-adjusted ARIMA benchmark
1992,univariate_arima,0.373256260951802,0.36288859436288,COVID-adjusted ARIMA benchmark
1993,univariate_arima,0.372161555856265,0.375236128713255,COVID-adjusted ARIMA benchmark
1994,univariate_arima,0.370458861335371,0.366943301461371,COVID-adjusted ARIMA benchmark
1995,univariate_arima,0.370609406969422,0.363990388984398,COVID-adjusted ARIMA benchmark
1996,univariate_arima,0.365259991470121,0.369061816935487,COVID-adjusted ARIMA benchmark
1997,univariate_arima,0.356153778449965,0.360999900691195,COVID-adjusted ARIMA benchmark
1998,univariate_arima,0.342296359017782,0.350586039093923,COVID-adjusted ARIMA benchmark
1999,univariate_arima,0.345408985029229,0.340382768273979,COVID-adjusted ARIMA benchmark
2000,univariate_arima,0.344757730483635,0.348896085750894,COVID-adjusted ARIMA benchmark
2001,univariate_arima,0.350668155529801,0.348884178754138,COVID-adjusted ARIMA benchmark
2002,univariate_arima,0.345335135363433,0.351625494103092,COVID-adjusted ARIMA benchmark
2003,univariate_arima,0.338893297616431,0.346349636181546,COVID-adjusted ARIMA benchmark
2004,univariate_arima,0.337763913273131,0.33839004648548,COVID-adjusted ARIMA benchmark
2005,univariate_arima,0.336883717718547,0.341547733401284,COVID-adjusted ARIMA benchmark
2006,univariate_arima,0.333935210831799,0.341662336841762,COVID-adjusted ARIMA benchmark
2007,univariate_arima,0.329632421017543,0.336265859567606,COVID-adjusted ARIMA benchmark
2008,univariate_arima,0.32922316457056,0.33320251868579,COVID-adjusted ARIMA benchmark
2009,univariate_arima,0.350492899653279,0.335157151420317,COVID-adjusted ARIMA benchmark
2010,univariate_arima,0.356366529110526,0.360153340952018,COVID-adjusted ARIMA benchmark
2011,univariate_arima,0.347158149042668,0.360173315263153,COVID-adjusted ARIMA benchmark
2012,univariate_arima,0.349874026949591,0.340537557882924,COVID-adjusted ARIMA benchmark
2013,univariate_arima,0.344430952357823,0.351874686216512,COVID-adjusted ARIMA benchmark
2014,univariate_arima,0.346132712717135,0.348603329269866,COVID-adjusted ARIMA benchmark
2015,univariate_arima,0.348893646518989,0.344949569019368,COVID-adjusted ARIMA benchmark
2016,univariate_arima,0.354659808866871,0.352788650300881,COVID-adjusted ARIMA benchmark
2017,univariate_arima,0.350056716497443,0.3575731711069,COVID-adjusted ARIMA benchmark
2018,univariate_arima,0.349966601492251,0.34818873267076,COVID-adjusted ARIMA benchmark
2019,univariate_arima,0.3489459716794,0.349685518589994,COVID-adjusted ARIMA benchmark
2020,univariate_arima,0.397665294079763,0.398967306657805,COVID-adjusted ARIMA benchmark
2021,univariate_arima,0.420022274506502,0.422413387191127,COVID-adjusted ARIMA benchmark
2022,univariate_arima,0.378859989972692,0.377900860893873,COVID-adjusted ARIMA benchmark
2023,univariate_arima,0.357918223925394,0.351664185678672,COVID-adjusted ARIMA benchmark
2024,univariate_arima,0.373326881738081,0.360740781760472,COVID-adjusted ARIMA benchmark
2025,univariate_arima,0.383410740130003,0.375566911717025,COVID-adjusted ARIMA benchmark
