year,scenario,category,baseline_share_gdp,data_enhanced_share_gdp,difference_pp
2055,pressure,General public services excl interest,0.0226443329046362,0.0226086248765601,-0.00357080280761202
2055,pressure,Health,0.106819516580062,0.110183095085483,0.336357850542074
2055,pressure,Housing and community amenities,0.00491674595700765,0.00481518193527755,-0.0101564021730097
2055,pressure,Public order and safety,0.0200684629727977,0.0219130994387975,0.184463646599977
2055,pressure,"Recreation, culture and religion",0.00706267233743795,0.00747482979673014,0.0412157459292187
2055,pressure,Social Protection,0.139804086878846,0.130669674075811,-0.913441280303495
2055,pressure,Transport,0.0166765498344712,0.0184068120766021,0.173026224213093
2055,restraint,Defence,0.0202674982617297,0.0202552569242701,-0.00122413374596432
2055,restraint,Economic affairs,0.0146121207785669,0.012885203097016,-0.172691768155088
2055,restraint,Education,0.0452920191351611,0.0484458675413237,0.315384840616262
2055,restraint,Environmental Protection,0.00654795715337611,0.00741246853913778,0.086451138576167
2055,restraint,General public services excl interest,0.0201796334643031,0.0201472467581082,-0.00323867061948514
2055,restraint,Health,0.082341125730606,0.0849334277606492,0.259230203004325
2055,restraint,Housing and community amenities,0.00438158773178939,0.00429128784036825,-0.00902998914211403
2055,restraint,Public order and safety,0.0178775927719612,0.0195133639873346,0.163577121537341
2055,restraint,"Recreation, culture and religion",0.00629394293257325,0.00665950646214332,0.0365563529570066
2055,restraint,Social Protection,0.11584199812954,0.10828110343344,-0.756089469610027
2055,restraint,Transport,0.0148614076875682,0.0163963329217776,0.153492523420943
2056,central,Defence,0.0226192872886686,0.0226053856326972,-0.00139016559713885
2056,central,Economic affairs,0.0154089460538345,0.0135384387737331,-0.187050728010145
2056,central,Education,0.0477689831525295,0.0511956429979105,0.342665984538098
2056,central,Environmental Protection,0.00690502905554878,0.00784494741261756,0.0939918357068779
2056,central,General public services excl interest,0.0212800652382848,0.0212450688397524,-0.00349963985323797
2056,central,Health,0.0942434076998498,0.0972910267874536,0.304761908760381
2056,central,Housing and community amenities,0.00462052360587644,0.00452259555917047,-0.00979280467059687
2056,central,Public order and safety,0.0189012993970103,0.0206834024620922,0.178210306508187
2056,central,"Recreation, culture and religion",0.0066371629815837,0.00703423430826492,0.0397071326681217
2056,central,Social Protection,0.122795332107548,0.114556746304389,-0.823858580315906
2056,central,Transport,0.0156718270271675,0.0173400087708821,0.16681817437146
2056,pressure,Defence,0.0264297615121646,0.0264146452108296,-0.00151163013349769
2056,pressure,Economic affairs,0.0164405011608955,0.0144415095623269,-0.199899159856862
2056,pressure,Education,0.0509771761882154,0.0546442395267196,0.366706333850417
2056,pressure,Environmental Protection,0.0073672876656945,0.00837272164288316,0.100543397718866
2056,pressure,General public services excl interest,0.0227046636435522,0.0226682430670874,-0.0036420576464833
2056,pressure,Health,0.108391861712937,0.111900576551662,0.350871483872516
2056,pressure,Housing and community amenities,0.00492984552226744,0.00482535834891063,-0.0104487173356814
2056,pressure,Public order and safety,0.0201707217939091,0.0220776146380704,0.190689284416128
2056,pressure,"Recreation, culture and religion",0.00708148924154521,0.00750638098830999,0.0424891746764777
2056,pressure,Social Protection,0.141224367254422,0.131758024109926,-0.946634314449646
2056,pressure,Transport,0.0167209807558112,0.0185055504375306,0.178456968171944
2056,restraint,Defence,0.0202674982617297,0.0202552569242701,-0.00122413374596397
2056,restraint,Economic affairs,0.014581931079899,0.0128152668098604,-0.176666427003855
2056,restraint,Education,0.0451969222147569,0.0484328195904455,0.323589737568859
2056,restraint,Environmental Protection,0.00653442860017387,0.00742207138231703,0.0887642782143162
2056,restraint,General public services excl interest,0.0201379408816351,0.0201050777053519,-0.00328631762831939
2056,restraint,Health,0.0827564894947484,0.0854346675656499,0.267817807090147
2056,restraint,Housing and community amenities,0.00437253505454191,0.00428008703965316,-0.00924480148887467
2056,restraint,Public order and safety,0.0178835826560664,0.0195663877673225,0.16828051112561
2056,restraint,"Recreation, culture and religion",0.00628093919112829,0.00665598604685135,0.0375046855723055
2056,restraint,Social Protection,0.116183571584069,0.108404675387333,-0.777889619673625
2056,restraint,Transport,0.0148307029441112,0.0164061781585021,0.157547521439093
2057,central,Defence,0.0226192872886686,0.0226053856326972,-0.00139016559713885
2057,central,Economic affairs,0.0154133598016197,0.0134965479844357,-0.191681181718401
2057,central,Education,0.0477811541780508,0.0513029222706023,0.352176809255145
2057,central,Environmental Protection,0.00690700693622888,0.00787371555992492,0.0966708623696038
2057,central,General public services excl interest,0.0212861607129841,0.0212505780453788,-0.00355826676053071
2057,central,Health,0.095171201938346,0.0983326881853523,0.316148624700635
2057,central,Housing and community amenities,0.00462184711144006,0.00452141651447025,-0.0100430596969814
2057,central,Public order and safety,0.0189523554340506,0.0207888251461698,0.183646971211919
2057,central,"Recreation, culture and religion",0.0066390641345443,0.0070471253139819,0.0408061179437601
2057,central,Social Protection,0.123447880298895,0.114957289957058,-0.849059034183747
2057,central,Transport,0.0156763160747369,0.0173914756881568,0.17151596134199
2057,pressure,Defence,0.0264297615121646,0.0264146452108296,-0.00151163013349803
2057,pressure,Economic affairs,0.016484277654773,0.0144308120219933,-0.205346563277967
2057,pressure,Education,0.0511118341317098,0.0548898460607073,0.377801192899752
2057,pressure,Environmental Protection,0.00738690470900937,0.00842351220203753,0.103660749302816
2057,pressure,General public services excl interest,0.0227651198643971,0.0227279833132574,-0.00371365511397347
2057,pressure,Health,0.109986527807495,0.113643971882738,0.365744407524338
2057,pressure,Housing and community amenities,0.00494297233331844,0.00483554896414939,-0.0107423369169052
2057,pressure,Public order and safety,0.0202734668932587,0.0222433231274608,0.196985623420207
2057,pressure,"Recreation, culture and religion",0.00710034528293911,0.00753805287675211,0.0437707593812997
2057,pressure,Social Protection,0.142657839177585,0.132854303422837,-0.980353575474807
2057,pressure,Transport,0.016765504089043,0.0186047861926807,0.183928210363767
