year,scenario,primary_expense_value,primary_expense_ratio,raw_primary_expense_value,raw_primary_expense_ratio,nominal_gdp
2052,central,3350508.62817763,0.370299017384973,3703154.50860394,0.409273524690674,9048116.44340483
2053,central,3513262.61977374,0.371922057070334,3883038.59327804,0.411067391651033,9446233.56691465
2054,central,3683951.59236848,0.373555157166553,4071692.82718073,0.412872377895048,9861867.84385889
2055,central,3862963.93308618,0.375198398783354,4269546.47574305,0.414688573069359,10295790.0289887
2056,central,4050707.1167686,0.376851863607902,4477049.90112339,0.416516067458822,10748804.7902642
2057,central,4247608.64795113,0.378515633909565,4694675.60332795,0.418354951991777,11221752.2010358
2058,central,4454117.04951852,0.380189792544828,4922919.31292402,0.42020531824547,11715509.2978814
2059,central,4670702.90036263,0.381874422962288,5162301.13791261,0.422067258451588,12230991.7069882
2060,central,4897859.92448111,0.383569609207783,5413366.76745641,0.423940865501914,12769155.3420956
2061,central,5136106.13407749,0.385275435929611,5676688.73529283,0.425826232954099,13330998.1771479
2062,central,5385985.02935129,0.38699198838384,5952867.74580368,0.427723455037539,13917562.0969424
2063,central,5648066.85780101,0.38871935243972,6242534.06586166,0.429632626659345,14529934.8292078
2064,central,5922949.93600417,0.390457614585178,6546348.9857297,0.431553843410423,15169251.961693
2065,central,6211262.03698663,0.392206861932387,6865006.35245286,0.43348720157163,15836699.0480075
2066,central,6513661.84644914,0.393967182223427,7199234.17935482,0.435432798120026,16533513.8061198
2025,pressure,975223.770491804,0.351,983082,0.353828313501819,2778415.30054645
2026,pressure,1063405.86666667,0.359,1060640.86866011,0.358066551807293,2962133.33333333
2027,pressure,1089487.56756757,0.352,1121434.50157353,0.362321660480446,3095135.13513514
2028,pressure,1105388.82833788,0.347,1181156.8299163,0.370784840115715,3185558.58310627
2029,pressure,1135944.47513812,0.341,1249201.466078,0.374998698665095,3331215.46961326
2030,pressure,1171908.42696629,0.334,1330214.53079731,0.379118063376704,3508707.86516854
2031,pressure,1230989.01407143,0.338320419253013,1397275.96123581,0.384022102239512,3638530.05617978
2032,pressure,1293025.5721721,0.342690756983508,1467692.66712108,0.388982802768517,3773155.66825843
2033,pressure,1358051.56231731,0.347082550324178,1541502.62955523,0.393967857217815,3912762.42798399
2034,pressure,1426380.1832039,0.35153863380707,1619061.35537476,0.399025886380326,4057534.6378194
2035,pressure,1497883.28197181,0.355989330101586,1700223.38031586,0.404077800631388,4207663.41941871
2036,pressure,1568805.65556453,0.359541807656263,1780726.23338936,0.408110161142521,4363346.96593721
2037,pressure,1640431.52068148,0.362543063725389,1862027.6084517,0.411516838952775,4524790.80367688
2038,pressure,1715207.04073211,0.365543688078601,1946904.10650433,0.414922799712387,4692208.06341293
2039,pressure,1793267.95804386,0.368543851980969,2035509.80649426,0.418328237821604,4865819.7617592
2040,pressure,1874755.80188082,0.371543725958821,2128005.35602783,0.421733346842135,5045855.09294429
2041,pressure,1959818.1337573,0.374543479809845,2224558.2498222,0.425138319508623,5232551.73138323
2042,pressure,2048608.80312245,0.377543282613122,2325343.1199289,0.428543347740032,5426156.14544441
2043,pressure,2141288.21385374,0.380543302739089,2430542.03822632,0.431948622650953,5626923.92282585
2044,pressure,2238164.74740691,0.383567896802966,2540505.0435776,0.435381791046156,5835120.10797041
2045,pressure,2339470.04623065,0.386624109563621,2655495.06962507,0.438850849318871,6051019.55196531
2046,pressure,2445408.62132039,0.389712311911282,2775744.25353199,0.442356218460669,6274907.27538803
2047,pressure,2556194.51802214,0.392832879250006,2901495.5547506,0.445898324586698,6507078.84457739
2048,pressure,2672051.7644703,0.395986191551286,3033003.26403679,0.449477598996528,6747840.76182675
2049,pressure,2793214.84128861,0.399172633408554,3170533.53660001,0.453094478236018,6997510.87001434
2050,pressure,2919929.1735698,0.402392594092606,3314364.95054168,0.45674940416023,7256418.77220487
2051,pressure,3052451.64619852,0.405646467607914,3464789.09178987,0.460442823997346,7524906.26677645
2052,pressure,3191051.14363301,0.408934652749847,3622111.1667969,0.464175190413615,7803327.79864718
2053,pressure,3336009.11531484,0.412257553162774,3786650.64432693,0.46794696157931,8092050.92719712
2054,pressure,3487620.16793226,0.415615577399059,3958741.9277246,0.471758601235695,8391456.81150341
2055,pressure,3646192.68582178,0.419009138978963,4138735.05912293,0.475610578763008,8701940.71352904
2056,pressure,3812049.48085417,0.422438656451415,4326996.45711857,0.479503369249453,9023912.51992961
2057,pressure,3985528.47321613,0.425904553455692,4523909.68951621,0.483437453561204,9357797.28316701
2058,pressure,4166983.40456702,0.429407258783993,4729876.2828213,0.487413318413433,9704035.78264418
2059,pressure,4356784.58512057,0.432947206444895,4945316.57024069,0.491431456442344,10063085.106602
2060,pressure,4555319.67627736,0.436524835727733,5170670.58003614,0.49549236627824,10435419.2555463
2061,pressure,4762994.510511,0.440140591267867,5406398.96616409,0.499596552619615,10821529.7680015
2062,pressure,4980233.95029393,0.443794923112868,5652983.9832286,0.503744526308276,11221926.3694176
2063,pressure,5207482.7879345,0.447488286789617,5910930.507872,0.507936804405506,11637137.645086
2064,pressure,5445206.68828729,0.451221143372323,6180767.1088304,0.512173910269273,12067711.7379542
2065,pressure,5693893.17639352,0.454993959551472,6463047.16798845,0.516456373632493,12514217.0722585
2066,pressure,5954052.67220728,0.458807207703709,6758350.05488058,0.520784730682346,12977243.1039321
2025,restraint,975223.770491804,0.351,983082,0.353828313501819,2778415.30054645
2026,restraint,1063405.86666667,0.359,1051684.47248021,0.355042921480085,2962133.33333333
2027,restraint,1089487.56756757,0.352,1102481.49219329,0.356198176835064,3095135.13513514
2028,restraint,1105388.82833788,0.347,1148737.77957209,0.360607959201912,3185558.58310627
2029,restraint,1135944.47513812,0.341,1204671.76158524,0.361631294214991,3331215.46961326
2030,restraint,1171908.42696629,0.334,1272085.24013748,0.36255091304855,3508707.86516854
2031,restraint,1233245.13565993,0.334744077293697,1338665.11959937,0.363358595390492,3684143.25842697
2032,restraint,1297781.52924804,0.335487064999582,1408718.19870186,0.364165095004721,3868350.42134832
2033,restraint,1365824.33675581,0.336263507940211,1482577.42621182,0.365007909666562,4061767.94241573
2034,restraint,1437790.49861817,0.337125188787583,1560695.38337289,0.365943248522763,4264856.33953652
2035,restraint,1513598.93192898,0.338000316435037,1642984.05616815,0.366893183635394,4478099.15651334
2036,restraint,1592449.44072729,0.338674616611038,1728574.84646506,0.367625124187723,4702004.11433901
2037,restraint,1674571.13646784,0.339180829067201,1817716.45057235,0.368174608583466,4937104.32005596
2038,restraint,1760929.70624981,0.339688165773879,1911457.10423708,0.368725313332656,5183959.53605876
2039,restraint,1851743.89424824,0.340196639519016,2010034.25027478,0.369277252316371,5443157.5128617
2040,restraint,1947243.74780615,0.340706262986403,2113697.60088383,0.369830439302634,5715315.38850479
2041,restraint,2047671.20204637,0.341217048754708,2222709.77223094,0.370384887945362,6001081.15793003
2042,restraint,2153280.69474974,0.341729009296826,2337346.95189022,0.370940611783655,6301135.21582653
