year,scenario,category,value,nominal_gdp,raw_value,raw_share_gdp,share_gdp
2055,central,Social Protection,1214592.05781412,10168719.206043,1378358.54818835,0.135548884796546,0.119443956825193
2055,central,Transport,155790.149729767,10168719.206043,176795.725957588,0.0173862334454591,0.015320528236947
2056,central,Defence,233870.258368635,10616142.8511089,265403.571277723,0.025,0.0220296826868909
2056,central,Economic affairs,159962.794700766,10616142.8511089,181530.97910479,0.0170995230236402,0.0150678826523192
2056,central,Education,495907.500788533,10616142.8511089,562771.951640082,0.0530109626003475,0.0467125874004919
2056,central,Environmental Protection,71682.2384449007,10616142.8511089,81347.3342577425,0.00766260735171298,0.00675219234049898
2056,central,General public services excl interest,220911.845303241,10616142.8511089,250697.942910791,0.023614786125886,0.0208090498028825
2056,central,Health,978414.328206574,10616142.8511089,1110336.38354309,0.104589435081604,0.0921628826899566
2056,central,Housing and community amenities,47966.4129132914,10616142.8511089,54433.8445485582,0.00512745969152744,0.00451825239976692
2056,central,Public order and safety,196221.387331977,10616142.8511089,222678.408628125,0.0209754533026903,0.0184833032188786
2056,central,"Recreation, culture and religion",68901.4768245229,10616142.8511089,78191.6355807564,0.00736535262169995,0.0064902552453244
2056,central,Social Protection,1274783.80813571,10616142.8511089,1446666.10301914,0.13627040661647,0.120079752694977
2056,central,Transport,162691.805174363,10616142.8511089,184627.94889821,0.0173912457177349,0.015324944987658
2057,central,Defence,244160.549736855,11083253.1365577,277081.328413943,0.025,0.0220296826868909
2057,central,Economic affairs,167048.993579752,11083253.1365577,189572.627933443,0.0171044210213105,0.0150721987056983
2057,central,Education,517859.342230125,11083253.1365577,587683.614864644,0.0530244692261147,0.0467244892676848
2057,central,Environmental Protection,74857.6930789711,11083253.1365577,84950.9433963798,0.00766480223357636,0.0067541264425384
2057,central,General public services excl interest,230698.028855927,11083253.1365577,261803.622111643,0.0236215503594421,0.0208150103596369
2057,central,Health,1031520.52919745,11083253.1365577,1170603.02667373,0.105619082434609,0.0930701948686001
2057,central,Housing and community amenities,50091.2791489116,11083253.1365577,56845.2118226823,0.00512892840416866,0.00451954661070469
2057,central,Public order and safety,205408.481390295,11083253.1365577,233104.221597034,0.021032112027483,0.0185332301680237
2057,central,"Recreation, culture and religion",71953.7463772504,11083253.1365577,81655.4502848872,0.0073674623577395,0.00649211431794457
2057,central,Social Protection,1337946.71122984,11083253.1365577,1518345.41859517,0.136994562867734,0.12071786999222
2057,central,Transport,169898.896608363,11083253.1365577,192806.790527973,0.0173962272766293,0.0153293346741272
2058,central,Defence,254903.613925277,11570916.2745663,289272.906864157,0.025,0.0220296826868909
2058,central,Economic affairs,174448.785533896,11570916.2745663,197970.152377302,0.017109289159101,0.0150764884469303
2058,central,Education,540778.592883667,11570916.2745663,613693.125509094,0.0530375564861737,0.0467360215951384
2058,central,Environmental Protection,78173.6744750945,11570916.2745663,88714.0268724943,0.00766698373468438,0.00675604875362602
2058,central,General public services excl interest,240917.290769349,11570916.2745663,273400.772713706,0.023628273355902,0.0208209345787856
2058,central,Health,1087500.9937822,11570916.2745663,1234131.47756019,0.106658059593164,0.0939857283534758
2058,central,Housing and community amenities,52310.1793438532,11570916.2745663,59363.2918904696,0.00513038816303205,0.00452083293168709
2058,central,Public order and safety,215025.28770868,11570916.2745663,244017.686006701,0.0210888818323809,0.0185832549995476
