year,model,value,model_label,path_type
2056,univariate_arima,0.354480913134379,COVID-adjusted ARIMA benchmark,Model only from latest actual
2057,univariate_arima,0.354480912949587,COVID-adjusted ARIMA benchmark,Model only from latest actual
2058,univariate_arima,0.354480912848901,COVID-adjusted ARIMA benchmark,Model only from latest actual
2059,univariate_arima,0.354480912794043,COVID-adjusted ARIMA benchmark,Model only from latest actual
2060,univariate_arima,0.354480912764153,COVID-adjusted ARIMA benchmark,Model only from latest actual
2061,univariate_arima,0.354480912747867,COVID-adjusted ARIMA benchmark,Model only from latest actual
2062,univariate_arima,0.354480912738994,COVID-adjusted ARIMA benchmark,Model only from latest actual
2063,univariate_arima,0.354480912734159,COVID-adjusted ARIMA benchmark,Model only from latest actual
2064,univariate_arima,0.354480912731525,COVID-adjusted ARIMA benchmark,Model only from latest actual
2065,univariate_arima,0.354480912730089,COVID-adjusted ARIMA benchmark,Model only from latest actual
2066,univariate_arima,0.354480912729307,COVID-adjusted ARIMA benchmark,Model only from latest actual
2026,structural_ols,0.387,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2027,structural_ols,0.389,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2028,structural_ols,0.384,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2029,structural_ols,0.378,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2030,structural_ols,0.371,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2031,structural_ols,0.369544678066247,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2032,structural_ols,0.368240298946762,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2033,structural_ols,0.369156694778407,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2034,structural_ols,0.37030169621449,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2035,structural_ols,0.37154686656674,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2036,structural_ols,0.373159774149738,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2037,structural_ols,0.374014546181595,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2038,structural_ols,0.374869318213452,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2039,structural_ols,0.37572409024531,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2040,structural_ols,0.376578862277168,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2041,structural_ols,0.377433634309024,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2042,structural_ols,0.378288406340883,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2043,structural_ols,0.37914317837274,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2044,structural_ols,0.379997950404597,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2045,structural_ols,0.380852722436455,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2046,structural_ols,0.381707494468313,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2047,structural_ols,0.38256226650017,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2048,structural_ols,0.383417038532027,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2049,structural_ols,0.384271810563885,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2050,structural_ols,0.385126582595742,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2051,structural_ols,0.3859813546276,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2052,structural_ols,0.386836126659457,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2053,structural_ols,0.387690898691315,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2054,structural_ols,0.388545670723173,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2055,structural_ols,0.389400442755029,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2056,structural_ols,0.390255214786888,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2057,structural_ols,0.391109986818745,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2058,structural_ols,0.391964758850602,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2059,structural_ols,0.39281953088246,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2060,structural_ols,0.393674302914317,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2061,structural_ols,0.394529074946175,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2062,structural_ols,0.395383846978032,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2063,structural_ols,0.39623861900989,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2064,structural_ols,0.397093391041747,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2065,structural_ols,0.397948163073605,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2066,structural_ols,0.398802935105462,Structural OLS (old-Shapley comparison),"PBO through 2029-30, then model changes"
2026,hybrid,0.387,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2027,hybrid,0.389,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2028,hybrid,0.384,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2029,hybrid,0.378,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2030,hybrid,0.371,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2031,hybrid,0.370366297986843,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2032,hybrid,0.369948007043565,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2033,hybrid,0.368194398829146,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2034,hybrid,0.36777128549489,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2035,hybrid,0.36744936694134,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2036,hybrid,0.36737370380082,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2037,hybrid,0.366379895554062,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2038,hybrid,0.365366423760562,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2039,hybrid,0.364333887525331,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2040,hybrid,0.363282754956109,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2041,hybrid,0.362213429012625,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2042,hybrid,0.361126277639857,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2043,hybrid,0.360021647662991,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2044,hybrid,0.358899871294823,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2045,hybrid,0.357761269277521,Hybrid spending-share model,"PBO through 2029-30, then model changes"
