year,scenario,primary_expense_value,primary_expense_ratio,raw_primary_expense_value,raw_primary_expense_ratio,nominal_gdp
2035,pressure,1498582.13583135,0.356155420824601,1701990.07846256,0.404497676931034,4207663.41941871
2036,pressure,1569654.49076214,0.359736345290842,1782709.33972484,0.408564653153118,4363346.96593721
2037,pressure,1641440.55878477,0.362766065881083,1864239.18892365,0.412005608614824,4524790.80367688
2038,pressure,1716378.12509073,0.36579326873291,1949348.30060149,0.415443704596427,4692208.06341293
2039,pressure,1794601.76658413,0.368817969931403,2038189.51826963,0.418878959366291,4865819.7617592
2040,pressure,1876251.7491957,0.371840196485091,2130922.14665802,0.422311403598912,5045855.09294429
2041,pressure,1961486.82588211,0.374862385806473,2227726.48683306,0.425743805545552,5232551.73138323
2042,pressure,2050461.46319542,0.377884714010102,2328777.97164744,0.429176365225425,5426156.14544441
2043,pressure,2143336.72015011,0.380907357118438,2434259.52123488,0.432609282553155,5626923.92282585
2044,pressure,2240421.81852667,0.383954704799717,2544522.32916018,0.436070257694358,5835120.10797041
2045,pressure,2341949.22392768,0.38703382195601,2659830.41441819,0.439567314495671,6051019.55196531
2046,pressure,2448124.28914854,0.390145094055936,2780417.00307772,0.443100890746754,6274907.27538803
2047,pressure,2559161.95682202,0.393288911652681,2906526.2127081,0.446671430011982,6507078.84457739
2048,pressure,2675287.21173594,0.396465670451254,3038413.56609149,0.450279381706829,6747840.76182675
2049,pressure,2796735.55469126,0.399675771376906,3176346.5293995,0.453925201175571,6997510.87001434
2050,pressure,2923753.49893609,0.40291962064473,3320605.07600994,0.457609349770338,7256418.77220487
2051,pressure,3056599.09026078,0.406197629830435,3471482.27719631,0.461332294931488,7524906.26677645
2052,pressure,3195542.45189247,0.409510215942289,3629284.92098279,0.465094510269321,7803327.79864718
2053,pressure,3340866.3553821,0.412857801494248,3794334.16051985,0.468896475647133,8092050.92719712
2054,pressure,3492866.8187352,0.416240814580254,3966966.19340151,0.472738677265597,8391456.81150341
2055,pressure,3651853.73309859,0.41965968894973,4147532.97341436,0.476621607748503,8701940.71352904
2056,pressure,3818151.51937823,0.423114864084256,4336402.95628068,0.480545766229847,9023912.51992961
2057,pressure,3992099.81623115,0.426606785275443,4533961.88103384,0.484511658442273,9357797.28316701
2058,pressure,4174054.20094381,0.430135903704021,4740613.58874415,0.488519796806892,9704035.78264418
2059,pressure,4364386.94478304,0.433702676520119,4956780.88039627,0.492570700524466,10063085.106602
2060,pressure,4563487.80448302,0.437307566924787,5182906.41580762,0.496664895667988,10435419.2555463
2061,pressure,4771764.85161236,0.440951044252739,5419453.65556832,0.500802915276661,10821529.7680015
2062,pressure,4989645.3416504,0.444633584056333,5666907.84808048,0.504985299451275,11221926.3694176
2063,pressure,5217576.62469098,0.448355668190811,5925777.06387498,0.509212595451017,11637137.645086
2064,pressure,5456027.09978524,0.452117784900801,6196593.27949067,0.513485357791713,12067711.7379542
2065,pressure,5705487.21503304,0.45592042890809,6479913.51331178,0.517804148345521,12514217.0722585
2066,pressure,5966470.5156354,0.459764101500694,6776321.01587634,0.522169536442077,12977243.1039321
2025,restraint,975223.770491804,0.351,983082,0.353828313501819,2778415.30054645
2026,restraint,1063405.86666667,0.359,1051827.26361364,0.355091126985159,2962133.33333333
