model,model_label,component,term,estimate,conventional_se,robust_hc1_se,conventional_p_value,robust_hc1_p_value,standard_error_scope
dynamic_diff,Dynamic differences,Dynamic difference ARIMAX,covid_fy2021,0.0269134347262574,0.00727185323522815,,0.000214715872895464,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
dynamic_diff,Dynamic differences,Dynamic difference ARIMAX,covid_fy2022,-0.0220718242421755,0.00771355883154847,,0.004217319334268,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
hybrid,Hybrid structural/macro,Structural level equation,(Intercept),-0.200203147975712,0.0658278778540154,0.0598391600153783,0.00425334593357692,0.000820787533518777,Coefficient uncertainty conditional on the specification
hybrid,Hybrid structural/macro,Structural level equation,age_0_14,-2.09569427819876,0.336650679361835,0.298388936152525,2.79676788737129e-07,2.1658810582471e-12,Coefficient uncertainty conditional on the specification
hybrid,Hybrid structural/macro,Structural level equation,age_65p,1.15621438816006,0.183938995396599,0.153103833623613,2.30931626883616e-07,4.29178779384201e-14,Coefficient uncertainty conditional on the specification
hybrid,Hybrid structural/macro,Structural level equation,rp_z,0.00715652820942116,0.00166377224514279,0.00181201309397671,0.000114347526969078,7.83177715441332e-05,Coefficient uncertainty conditional on the specification
hybrid,Hybrid structural/macro,Structural level equation,log_real_gdp_per_capita,-0.319782695669774,0.0322378024936133,0.0316031083887212,4.27205611165507e-12,4.56389966162626e-24,Coefficient uncertainty conditional on the specification
hybrid,Hybrid structural/macro,Structural level equation,covid_fy2020,0.030474288097939,0.0088239261978141,0.00283246454664659,0.00137364021915673,5.37910280213303e-27,Coefficient uncertainty conditional on the specification
hybrid,Hybrid structural/macro,Structural level equation,covid_fy2021,0.0567112491473084,0.00899596645661816,0.00302267619193899,2.18043161865123e-07,1.54670074756165e-78,Coefficient uncertainty conditional on the specification
hybrid,Hybrid structural/macro,Structural level equation,covid_fy2022,0.0281883079946327,0.00947825392810411,0.00421673280516042,0.00508367244486581,2.31130712684545e-11,Coefficient uncertainty conditional on the specification
hybrid,Hybrid structural/macro,Macro difference ARIMAX,d_unemployment,0.00132766385837358,0.00112291805106697,,0.237073317337801,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
hybrid,Hybrid structural/macro,Macro difference ARIMAX,d_unemployment_l1,0.000641969727628691,0.00111344183201706,,0.564234478610448,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
hybrid,Hybrid structural/macro,Macro difference ARIMAX,d_tot_z,0.000478547558469514,0.00286905011920179,,0.867530161661976,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
hybrid,Hybrid structural/macro,Macro difference ARIMAX,d_tot_z_l1,0.00276617439503237,0.0028936261336192,,0.339095314859835,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,(Intercept),-0.0256154196642189,0.0932788967212264,0.111481499956628,0.785631092207707,0.81826829891568,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,y_lag,-0.256818343102089,0.143361461475402,0.134455460192548,0.0840443651156637,0.0561251563772309,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,age_0_14_l1,0.30632114542374,0.540973384220224,0.474989527992505,0.575740944275919,0.518991447578544,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,age_65p_l1,0.324892041493588,0.274763446678164,0.283782372576131,0.246974248872735,0.252265762552518,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,rp_z_l1,-0.000991360962548556,0.00247410224104734,0.0023287763767521,0.691685730385492,0.670326193258027,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,d_rp_z,0.00592865529576665,0.00441544249454795,0.00567495150636845,0.19015079556,0.296158919189641,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,log_real_gdp_per_capita_l1,-0.00186651901721721,0.0713923098834504,0.0563794167172572,0.979327500007911,0.973589746221354,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,d_log_real_gdp_per_capita,-0.439835690020699,0.133687747254099,0.110895055175976,0.00270861634689862,7.30173130390124e-05,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,unemployment_l1,0.00204782411972814,0.0015980282841551,0.00140041198204715,0.210539993823749,0.143658690263441,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,d_unemployment,-0.00103063859628734,0.00248677005235129,0.0018771670151583,0.681703600972467,0.582978431547441,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,d_tot_z,-0.000159803572633133,0.00632198589113789,0.00688769525490884,0.980012967466618,0.981489691363394,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,d_tot_z_l1,0.0019967252420818,0.00420757794918779,0.00366888364323566,0.638784874278321,0.586281578971541,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,dy_lag,0.288982193595523,0.133628774138963,0.11483368499063,0.0392663343571048,0.0118517453411272,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,covid_fy2020,0.0357460732859902,0.00764916718719861,0.00264811424736511,6.77524541169849e-05,1.59181421364092e-41,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,covid_fy2021,0.0241451990156405,0.0102392752999031,0.00553549131895894,0.0255860078856193,1.28944253830406e-05,Coefficient uncertainty conditional on the specification
ardl_ecm,ARDL error-correction model,Error-correction equation,covid_fy2022,-0.0238267612967958,0.0110657805383756,0.00709531752413099,0.0400635646744031,0.000784811953396774,Coefficient uncertainty conditional on the specification
univariate_arima,ARIMAX benchmark with real GDP per capita and COVID controls,ARIMAX benchmark,ar1,0.537565313175207,0.189850961602503,,0.00463284667669958,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
univariate_arima,ARIMAX benchmark with real GDP per capita and COVID controls,ARIMAX benchmark,ma1,0.640899648122095,0.176965467652173,,0.000292776924951755,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
univariate_arima,ARIMAX benchmark with real GDP per capita and COVID controls,ARIMAX benchmark,ma2,0.47382579845942,0.160975531260416,,0.00324560804089719,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
univariate_arima,ARIMAX benchmark with real GDP per capita and COVID controls,ARIMAX benchmark,intercept,0.302654168782633,0.0541993606568876,,2.34925511952436e-08,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
univariate_arima,ARIMAX benchmark with real GDP per capita and COVID controls,ARIMAX benchmark,log_real_gdp_per_capita,-0.0197661775415547,0.0206010113082302,,0.337318965044952,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
univariate_arima,ARIMAX benchmark with real GDP per capita and COVID controls,ARIMAX benchmark,covid_fy2020,0.0471375060722157,0.00740629333962914,,1.95900708671273e-10,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
univariate_arima,ARIMAX benchmark with real GDP per capita and COVID controls,ARIMAX benchmark,covid_fy2021,0.0716696221508992,0.0089057323863455,,8.4444977277611e-16,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
univariate_arima,ARIMAX benchmark with real GDP per capita and COVID controls,ARIMAX benchmark,covid_fy2022,0.0293920906908838,0.00761457201682326,,0.000113396610621052,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
