year,scenario,category,value,nominal_gdp,applied_excess_cost,raw_value,raw_share_gdp,share_gdp
2037,restraint,Public order and safety,91661.9725709842,4937104.32005596,0.0029764284891123,99557.5323532621,0.0201651668466535,0.0185659379727154
2037,restraint,"Recreation, culture and religion",33169.3711218258,4937104.32005596,-0.000579095290305459,36026.5074596908,0.00729709261223032,0.00671838571185991
2037,restraint,Social Protection,523084.577719366,4937104.32005596,-0.00225231032578227,568141.927443894,0.115075941404749,0.105949670861611
2037,restraint,Transport,80003.9448606343,4937104.32005596,0.000831599658717062,86895.3078953543,0.0176004601609004,0.0162046292065644
2038,restraint,Defence,105002.43228789,5183959.53605876,,114047.109793293,0.022,0.0202552569242701
2038,restraint,Economic affairs,73265.5645202258,5183959.53605876,-0.00646666666666667,79576.4983614521,0.0153505245957132,0.0141331281640226
2038,restraint,Education,251941.100089467,5183959.53605876,0.00216504123970164,273642.749765714,0.0527864362872242,0.0486001285961063
2038,restraint,Environmental Protection,37566.594033583,5183959.53605876,0.00146666666666667,40802.4974370257,0.00787091356581978,0.00724669893201828
2038,restraint,General public services excl interest,108192.629356093,5183959.53605876,-0.00253182541310885,117512.103387937,0.0226684067594552,0.0208706546807557
2038,restraint,Health,397862.373012667,5183959.53605876,0.00350909898226514,432133.358712956,0.0833597090615982,0.076748742007958
2038,restraint,Housing and community amenities,23249.516085414,5183959.53605876,-0.00314198504825016,25252.1780292126,0.00487121433984248,0.00448489536303172
2038,restraint,Public order and safety,96541.9673248645,5183959.53605876,0.00281107135082828,104857.879072475,0.0202273722129004,0.0186232100488699
2038,restraint,"Recreation, culture and religion",34818.1275600063,5183959.53605876,-0.000685812218621823,37817.2841343874,0.00729505773942421,0.00671651221770101
2038,restraint,Social Protection,549827.44969485,5183959.53605876,-0.00212718197434992,597188.371320677,0.115199273290375,0.106063221726624
2038,restraint,Transport,84088.3731667708,5183959.53605876,0.000646510788788336,91331.5598308869,0.0176181081653126,0.0162208776094539
2039,restraint,Defence,110252.553902285,5443157.5128617,,119749.465282957,0.022,0.0202552569242701
2039,restraint,Economic affairs,76496.7124412997,5443157.5128617,-0.00623333333333333,83085.9702249489,0.0152642965096314,0.0140537385259465
2039,restraint,Education,264536.887768199,5443157.5128617,0.00203768587266037,287323.510763619,0.0527861834026847,0.0485998957669554
2039,restraint,Environmental Protection,39506.6240175567,5443157.5128617,0.00123333333333333,42909.6373171563,0.007883225355093,0.00725803431633312
2039,restraint,General public services excl interest,113368.769665972,5443157.5128617,-0.0025299533299848,123134.104986983,0.0226218154988217,0.020827758410094
2039,restraint,Health,420304.021488386,5443157.5128617,0.00344974021860248,456508.081201627,0.0838682474506643,0.077216949995521
2039,restraint,Housing and community amenities,24348.3333869301,5443157.5128617,-0.0031042212218825,26445.6450251503,0.0048585118036106,0.00447320022053324
2039,restraint,Public order and safety,101665.332012474,5443157.5128617,0.00264571421254427,110422.559073762,0.0202864897465934,0.0186776391776736
2039,restraint,"Recreation, culture and religion",36544.9852654695,5443157.5128617,-0.000792529146938186,39692.889546959,0.00729225444113426,0.00671393123919653
2039,restraint,Social Protection,578001.383322496,5443157.5128617,-0.00200205362291758,627789.145338287,0.115335472812403,0.10618861974079
2039,restraint,Transport,88365.3494556506,5443157.5128617,0.00046142191885961,95976.9454069451,0.0176325864500816,0.0162342076720821
2040,restraint,Defence,115765.181597399,5715315.38850479,,125736.938547105,0.022,0.0202552569242701
2040,restraint,Economic affairs,79888.2055799602,5715315.38850479,-0.006,86769.5990887789,0.0151819441606492,0.0139779172538123
2040,restraint,Education,277726.108683186,5715315.38850479,0.0019103305056191,301648.822025509,0.0527790334427064,0.0485933128453027
2040,restraint,Environmental Protection,41537.4124741104,5715315.38850479,0.001,45115.3534041564,0.00789376444472284,0.00726773758761496
2040,restraint,General public services excl interest,118792.455281983,5715315.38850479,-0.00252808124686075,129024.974897859,0.0225753026958699,0.0207849343749096
2040,restraint,Health,443982.334860091,5715315.38850479,0.00339038145493983,482225.992167908,0.0843743449640257,0.0776829106846969
2040,restraint,Housing and community amenities,25499.947198101,5715315.38850479,-0.00306645739551485,27696.456305426,0.00484600663703212,0.00446168679499106
2040,restraint,Public order and safety,107043.286726029,5715315.38850479,0.00248035707426025,116263.75892329,0.0203424922371093,0.0187292003064827
2040,restraint,"Recreation, culture and religion",38353.4463106409,5715315.38850479,-0.000899246075254549,41657.1274306118,0.00728868393061856,0.00671064389338534
2040,restraint,Social Protection,607686.112978074,5715315.38850479,-0.00187692527148523,660030.852015441,0.115484589589397,0.106325910587596
2040,restraint,Transport,92843.0856770146,5715315.38850479,0.000276333048930885,100840.383932475,0.0176438878832996,0.0162446128281477
2041,restraint,Defence,121553.440677269,6001081.15793003,,132023.785474461,0.022,0.0202552569242701
2041,restraint,Economic affairs,83429.8749684372,6001081.15793003,-0.006,90616.340052757,0.0151000024275649,0.0139024740330649
2041,restraint,Education,291570.453256323,6001081.15793003,0.0019103305056191,316685.68784991,0.052771438931705,0.0485863206284142
2041,restraint,Environmental Protection,43672.4666494626,6001081.15793003,0.001,47434.3164285881,0.0079042951062088,0.00727743309915953
2041,restraint,General public services excl interest,124475.299979152,6001081.15793003,-0.00252808124686075,135197.327280509,0.022528828343182,0.0207421457406331
2041,restraint,Health,468990.493093748,6001081.15793003,0.00339038145493983,509388.297894142,0.0848827543718551,0.0781509999200742
2041,restraint,Housing and community amenities,26705.9628758492,6001081.15793003,-0.00306645739551485,29006.3555088603,0.00483352161810549,0.00445019191926092
2041,restraint,Public order and safety,112705.392076284,6001081.15793003,0.00248035707426025,122413.585517509,0.0203985885702858,0.0187808478356189
2041,restraint,"Recreation, culture and religion",40251.2927057465,6001081.15793003,-0.000899246075254549,43718.4501207375,0.0072850956303043,0.0067073401686223
2041,restraint,Social Protection,638888.994715803,6001081.15793003,-0.00187692527148523,693921.481040616,0.115632743963751,0.106462315356551
2041,restraint,Transport,97547.4504703274,6001081.15793003,0.000276333048930885,105949.972314387,0.0176551473852976,0.0162549793784117
2042,restraint,Defence,127631.112711132,6301135.21582653,,138624.974748184,0.022,0.0202552569242701
2042,restraint,Economic affairs,87128.3644622589,6301135.21582653,-0.006,94633.4092594469,0.0150184698499656,0.0138274075191116
2042,restraint,Education,306102.34326961,6301135.21582653,0.0019103305056191,332469.322759485,0.05276340077966,0.048578919954102
2042,restraint,Environmental Protection,45917.1351492612,6301135.21582653,0.001,49872.3357131719,0.00791481756936557,0.00728712106255574
2042,restraint,General public services excl interest,130429.676157992,6301135.21582653,-0.00252808124686075,141664.60026669,0.0224823933171393,0.0206993933141432
2042,restraint,Health,495402.986898005,6301135.21582653,0.00339038145493983,538075.905554028,0.0853934865899315,0.0786212277517396
2042,restraint,Housing and community amenities,27968.9480671663,6301135.21582653,-0.00306645739551485,30378.1314538834,0.00482105690694954,0.00443871574076316
2042,restraint,Public order and safety,118666.648537746,6301135.21582653,0.00248035707426025,128888.331438654,0.020454779499879,0.0188325824590609
2042,restraint,"Recreation, culture and religion",42242.9385512844,6301135.21582653,-0.000899246075254549,45881.6519386978,0.00728148982162089,0.00670402032401765
2042,restraint,Social Protection,671687.390858708,6301135.21582653,-0.00187692527148523,729545.058556403,0.115779940212044,0.106597837985072
2042,restraint,Transport,102489.90402183,6301135.21582653,0.000276333048930885,111318.157894041,0.0176663655168745,0.0162653078391981
2043,restraint,Defence,134012.668346689,6616191.97661785,,145556.223485593,0.022,0.0202552569242701
2043,restraint,Economic affairs,90990.6116548195,6616191.97661785,-0.006,98828.3418912085,0.0149373449622495,0.0137527163625825
2043,restraint,Education,321355.799056331,6616191.97661785,0.0019103305056191,349036.677523855,0.0527549198628725,0.0485711116291709
2043,restraint,Environmental Protection,48277.040772314,6616191.97661785,0.001,52435.5183921807,0.00792533206072194,0.00729680168636716
2043,restraint,General public services excl interest,136668.546500807,6616191.97661785,-0.00252808124686075,148440.873115516,0.022435998477692,0.0206566778871901
2043,restraint,Health,523298.469900613,6616191.97661785,0.00339038145493983,568374.24382502,0.0859065525658414,0.079093604259065
2043,restraint,Housing and community amenities,29291.5915276494,6616191.97661785,-0.00306645739551485,31814.7044995585,0.00480861265997029,0.00442725840349982
2043,restraint,Public order and safety,124942.847952812,6616191.97661785,0.00248035707426025,135705.148803534,0.0205110657736544,0.0188844048652715
2043,restraint,"Recreation, culture and religion",44333.0157866124,6616191.97661785,-0.000899246075254549,48151.7638088721,0.00727786678183526,0.00670068461484926
2043,restraint,Social Protection,706162.593611427,6616191.97661785,-0.00187692527148523,766989.879098324,0.115926182584926,0.106732482386705
2043,restraint,Transport,107682.48566067,6616191.97661785,0.000276333048930885,116958.017041796,0.017677542830549,0.0162755987192071
2044,restraint,Defence,140713.301764023,6947001.57544875,,152834.034659872,0.022,0.0202552569242701
2044,restraint,Economic affairs,95023.8608573248,6947001.57544875,-0.006,103209.006268208,0.014856626293703,0.0136783992094009
2044,restraint,Education,337366.518005165,6947001.57544875,0.0019103305056191,366426.524425885,0.052745997024222,0.0485628964296546
2044,restraint,Environmental Protection,50758.0945596239,6947001.57544875,0.001,55130.2846706284,0.00793583880352974,0.00730647517614031
2044,restraint,General public services excl interest,143205.492119118,6947001.57544875,-0.00252808124686075,155540.896785447,0.0223896446684481,0.0206140002364786
2044,restraint,Health,552759.990813603,6947001.57544875,0.00339038145493983,600373.515051699,0.0864219632788722,0.0795681395506086
2044,restraint,Housing and community amenities,30676.7088308753,6947001.57544875,-0.00306645739551485,33319.1327467488,0.00479618902988323,0.00441582004807502
2044,restraint,Public order and safety,131550.615259588,6947001.57544875,0.00248035707426025,142882.094585687,0.0205674481333995,0.0189363157372093
2044,restraint,"Recreation, culture and religion",46526.3849348476,6947001.57544875,-0.000899246075254549,50534.0649290991,0.00727422678406904,0.00669733329257842
2044,restraint,Social Protection,742400.024135995,6947001.57544875,-0.00187692527148523,806348.721818569,0.11607147530645,0.10686625245051
2044,restraint,Transport,113137.843110771,6947001.57544875,0.000276333048930885,122883.286928569,0.0176886798705859,0.01628585251954
2045,restraint,Defence,147748.966852224,7294351.65422118,,160475.736392866,0.022,0.0202552569242701
2045,restraint,Economic affairs,99235.6766520803,7294351.65422118,-0.006,107783.618569155,0.0147763123685958,0.0136044547008717
2045,restraint,Education,354171.956903054,7294351.65422118,0.0019103305056191,384679.546697381,0.0527366330734507,0.0485542751010774
2045,restraint,Environmental Protection,53366.5105629645,7294351.65422118,0.001,57963.383864978,0.00794633801777778,0.00731614173441744
2045,restraint,General public services excl interest,150054.742042738,7294351.65422118,-0.00252808124686075,162980.125963482,0.0223433327167832,0.0205713611237679
2045,restraint,Health,583875.238522228,7294351.65422118,0.00339038145493983,634168.961446137,0.0869397297399486,0.0800448437640573
2045,restraint,Housing and community amenities,32127.2483468193,7294351.65422118,-0.00306645739551485,34894.6185315048,0.00478378616573983,0.0044044008117195
2045,restraint,Public order and safety,138507.452419036,7294351.65422118,0.00248035707426025,150438.178326322,0.0206239273149471,0.0189883157523511
2045,restraint,"Recreation, culture and religion",48828.1463775399,7294351.65422118,-0.000899246075254549,53034.0950165257,0.00727057009732116,0.00669396660487069
2045,restraint,Social Protection,780489.441687162,7294351.65422118,-0.00187692527148523,847719.07763576,0.11621582257351,0.106999152040538
2045,restraint,Transport,118869.263219572,7294351.65422118,0.000276333048930885,129108.398901478,0.0176997771730355,0.0162960697337348
2046,restraint,Defence,155136.415194836,7659069.23693224,,168499.523212509,0.022,0.0202552569242701
2046,restraint,Economic affairs,103633.958044441,7659069.23693224,-0.006,112560.758202274,0.0146964017062938,0.0135308814737847
2046,restraint,Education,371811.418303662,7659069.23693224,0.0019103305056191,403838.432327134,0.0527268287874739,0.0485452483587401
2046,restraint,Environmental Protection,56108.8213698365,7659069.23693224,0.001,60941.9112653831,0.00795682992021009,0.00732580156075339
2046,restraint,General public services excl interest,157231.204114431,7659069.23693224,-0.00252808124686075,170774.752621023,0.022297063433967,0.0205287612959886
2046,restraint,Health,616736.800815868,7659069.23693224,0.00339038145493983,669861.146105312,0.0874598629916052,0.080523727066201
2046,restraint,Housing and community amenities,33646.2975019941,7659069.23693224,-0.00306645739551485,36544.515224437,0.00477140421295819,0.00439300082831876
2046,restraint,Public order and safety,145831.784657337,7659069.23693224,0.00248035707426025,158393.41235989,0.020680504048209,0.0190404055827218
2046,restraint,"Recreation, culture and religion",51243.6521852291,7659069.23693224,-0.000899246075254549,55657.6671572221,0.00726689698649534,0.00669058479562122
2046,restraint,Social Protection,820525.163314358,7659069.23693224,-0.00187692527148523,891203.387861564,0.116359228555365,0.107131184995399
2046,restraint,Transport,124890.704238173,7659069.23693224,0.000276333048930885,135648.513544531,0.0177108352657827,0.0163062508478114
2047,restraint,Defence,162893.235954577,8042022.69877886,,176924.499373135,0.022,0.0202552569242701
2047,restraint,Economic affairs,108226.95323985,8042022.69877886,-0.006,117549.383855199,0.0146168928213854,0.0134576781605309
2047,restraint,Education,390326.141117275,8042022.69877886,0.0019103305056191,423947.972454045,0.0527165849107116,0.0485358168880255
2047,restraint,Environmental Protection,58991.8944235275,8042022.69877886,0.001,64073.325861522,0.00796731472434805,0.00733545485173589
2047,restraint,General public services excl interest,164750.497357131,8042022.69877886,-0.00252808124686075,178941.741169126,0.0222508376153051,0.0204862014853735
2047,restraint,Health,651442.437518993,8042022.69877886,0.00339038145493983,707556.249668965,0.087982374107997,0.081004799652942
2047,restraint,Housing and community amenities,35237.0893345781,8042022.69877886,-0.00306645739551485,38272.3343504889,0.00475904331335702,0.00438162022844436
