year,gov_gdp,0_14,15_34,35_54,55_64,65p,pop_total,rp_g,gfce_nom,gfce_real,gfcf_nom,gfcf_real,gdp_nom,gdp_real,tot_index,tot,unemp,p_gfce,p_gdp,dln_pop,is_outlier
2010,0.356365983935405,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941,44063500,0.66863570411212,61309.5,86100,13583.5,18215.5,326836.75,474677,81.9,0.878829951040431,5.46528414166667,0.712073170731707,0.688545579415055,0.0155570626204131,FALSE
2011,0.347157690286058,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008,44680048,0.274968325393963,66161.75,88787,13455.75,17813.75,355767,486044,98.875,1.80981183971955,5.036514725,0.745173843017559,0.731964595797911,0.0138952731561801,FALSE
2012,0.349876552401744,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511,45466930,0.665339842184295,70934,92163.75,13534.25,18182.5,376070.5,505254.5,99.075,1.82078069849633,5.16523485833333,0.769651842508579,0.744318952132044,0.017458200006736,FALSE
2013,0.344431420041318,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975,46256258,1.06449279184372,72462.5,92690.5,12656.25,16544,386027.5,518666.25,89.9,1.31758430211159,5.437383375,0.781768358138105,0.744269556771816,0.0172115143998894,FALSE
2014,0.346133574279045,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778,46951372,1.19038730920939,75081.75,94220.25,12781,16670.25,401750.25,532158,86.625,1.13796923964183,5.84879155833333,0.796874875623871,0.754945429740791,0.0149156648912836,FALSE
2015,0.348893033070982,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441,47631990,1.77081138494165,77908,96297,12732.25,16278,407532.5,543676,77.525,0.638886165298391,6.16019584166667,0.809038703178708,0.749587070240364,0.0143921665259938,FALSE
2016,0.35465864559011,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733,48381814,2.30699814507439,82773.75,100919.75,13427,16700.5,416070.5,558657.5,69.825,0.216585102392399,5.87380816666667,0.820193767820471,0.744768485163092,0.0156194049810381,FALSE
2017,0.350058729359691,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383,49185176,1.60763873666752,87632.25,105867.5,15550.5,19532.5,441006,571469.25,79.675,0.756801397148764,5.69762895833333,0.827754032162845,0.771705564210148,0.0164682779735017,FALSE
2018,0.349970928109949,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341,49926516,1.51628027778572,92120.25,109616.75,17357.5,21341.5,462216.25,587894,81.25,0.843181160015899,5.50236815833333,0.840384795206937,0.786223792044144,0.0149599671041329,FALSE
2019,0.348948388456729,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468,50669652,1.26685803264575,99124,115122.75,18928.75,22482.5,488631,600792.75,85.875,1.09683601922891,5.123771475,0.861028771463503,0.81331041361601,0.0147749071058456,FALSE
2020,0.397665876717636,0.185475691139171,0.272314377403969,0.26171738056414,0.117220668613754,0.163271882278966,51298496,1.26346365959213,108362.25,123616.75,19755.25,23065.75,496867.5,599990.25,86.6,1.13659813229474,5.62854685833333,0.876598438318432,0.828125957046802,0.0123342825131374,TRUE
2021,0.420038484944751,0.184886347160793,0.265631401980237,0.264087490595829,0.117430975995246,0.167963784267895,51370824,0.786624185348206,116859.5,131734.75,20378,24098.75,522542,612032,95.2,1.60825905969623,6.23913143333333,0.887081806433003,0.853782155181428,0.00140895083292847,TRUE
2022,0.378872610307868,0.183102697476944,0.26586352957165,0.264289432213059,0.11635256782991,0.170391772908438,52037442,-0.242569997021999,128653,140797.5,22536,25505.25,584868.75,638062,106.875,2.24856619079071,4.30478056666667,0.913744917345834,0.916633101485436,0.0128931130985528,FALSE
2023,0.35791667620989,0.179316016003348,0.272137930486068,0.263337829720582,0.11416102417704,0.171047199612962,53319844,-0.644189875018549,136871.25,143277.5,25130.75,26323,643999.75,660928.75,106.725,2.24033954670812,3.5612125,0.955287815602589,0.974386043881432,0.0243450716351532,FALSE
2024,0.373319151460388,0.17632248186255,0.275094223838052,0.263041434513118,0.112801233317911,0.172740626468369,54388572,-0.156213480873295,148457.5,148378.5,27052,27043.25,670104.25,670006.25,100.025,1.87288277768603,3.875779975,1.00053242215011,1.00014626729228,0.0198454886891568,FALSE
2025,0.383248140427108,0.173966762964438,0.275586056086601,0.263262840911963,0.111926223164816,0.175258116872182,55227308,0.100445371764933,160133.25,154917.25,27968.75,26981.75,694111,678820,95.9,1.64665006541496,4.09246934166667,1.03366958811882,1.02252585368728,0.0153034828353071,FALSE
