origin_year,forecast_year,horizon,actual,forecast,error,demographic_delta,macro_delta,p,d,q,aic,includes_outlier_year,abs_error,squared_error
2014,2019,5,0.348948388456729,0.339721807826314,-0.00922658063041493,-8.86396884573482e-05,-0.00273824266911602,2,0,2,-236.447336279462,FALSE,0.00922658063041493,8.51297901295479e-05
2015,2016,1,0.35465864559011,0.344550731455114,-0.0101079141349968,0.000120901047163224,-0.0044632026630318,2,0,2,-244.898320425174,FALSE,0.0101079141349968,0.000102169928160469
2015,2017,2,0.350058729359691,0.342566461935417,-0.00749226742427439,0.00016392847749902,-0.00214819799719565,2,0,2,-244.898320425174,FALSE,0.00749226742427439,5.61340711568432e-05
2015,2018,3,0.349970928109949,0.344413519322748,-0.00555740878720068,7.59713795476236e-05,0.00177108600778335,2,0,2,-244.898320425174,FALSE,0.00555740878720068,3.08847924280553e-05
2015,2019,4,0.348948388456729,0.341176655209214,-0.00777173324751551,-7.76328206558707e-05,-0.00315923129287837,2,0,2,-244.898320425174,FALSE,0.00777173324751551,6.0399837670538e-05
2015,2020,5,0.397665876717636,0.340555156212932,-0.057110720504704,-0.00219544397325044,0.00157394497696888,2,0,2,-244.898320425174,TRUE,0.057110720504704,0.00326163439656641
2016,2017,1,0.350058729359691,0.35438951287554,0.00433078351584859,0.000403438344586893,-0.000672571059157393,2,0,2,-250.583481949246,FALSE,0.00433078351584859,1.87556858611459e-05
2016,2018,2,0.349970928109949,0.357777946105386,0.00780701799543726,0.000324869772837855,0.00306356345700805,2,0,2,-250.583481949246,FALSE,0.00780701799543726,6.09495299810812e-05
2016,2019,3,0.348948388456729,0.352191553583154,0.00324316512642481,0.000170565693004332,-0.00575695821523617,2,0,2,-250.583481949246,FALSE,0.00324316512642481,1.0518120037258e-05
2016,2020,4,0.397665876717636,0.349736535897425,-0.0479293408202112,-0.00183866593950088,-0.000616351746228198,2,0,2,-250.583481949246,TRUE,0.0479293408202112,0.00229722171145996
2016,2021,5,0.420038484944751,0.349515743137738,-0.0705227418070125,-0.00347854156513039,0.00325774880544399,2,0,2,-250.583481949246,TRUE,0.0705227418070125,0.00497345711197854
2017,2018,1,0.349970928109949,0.352086699045423,0.0021157709354741,0.000280864750679177,0.00174710493505221,2,0,2,-258.703673457957,FALSE,0.0021157709354741,4.47648665139696e-06
2017,2019,2,0.348948388456729,0.345889304195716,-0.00305908426101292,0.000126672679857609,-0.00632406752956404,2,0,2,-258.703673457957,FALSE,0.00305908426101292,9.35799651597698e-06
2017,2020,3,0.397665876717636,0.344259558078396,-0.0534063186392399,-0.00190246926509008,0.000272723147769969,2,0,2,-258.703673457957,TRUE,0.0534063186392399,0.00285223487059602
2017,2021,4,0.420038484944751,0.343955306044714,-0.0760831789000369,-0.00355944036628536,0.00325518833260328,2,0,2,-258.703673457957,TRUE,0.0760831789000369,0.00578865011153501
2017,2022,5,0.378872610307868,0.328391995003048,-0.0504806153048202,0.0026475504163373,-0.0182108614580033,2,0,2,-258.703673457957,FALSE,0.0504806153048202,0.00254829252155324
2018,2019,1,0.348948388456729,0.343022728658378,-0.00592565979835147,9.06227409460114e-05,-0.00703882219251692,2,0,2,-267.120826736159,FALSE,0.00592565979835147,3.51134440457988e-05
2018,2020,2,0.397665876717636,0.340982524339792,-0.0566833523778439,-0.00195571365714303,-8.4490661442521e-05,2,0,2,-267.120826736159,TRUE,0.0566833523778439,0.00321300243679083
2018,2021,3,0.420038484944751,0.341127933433469,-0.078910551511282,-0.00362813117416405,0.00377354026784084,2,0,2,-267.120826736159,TRUE,0.078910551511282,0.00622687513981469
2018,2022,4,0.378872610307868,0.325994061408917,-0.0528785488989512,0.00261823950599205,-0.0177521115305439,2,0,2,-267.120826736159,FALSE,0.0528785488989512,0.00279614093365877
2018,2023,5,0.35791667620989,0.324440191794856,-0.033476484415034,0.00867409928712171,-0.010227968901183,2,0,2,-267.120826736159,FALSE,0.033476484415034,0.00112067500879002
2019,2020,1,0.397665876717636,0.352486974036414,-0.0451789026812217,-0.00203076079829134,0.00556934637797655,2,0,1,-274.778594106918,TRUE,0.0451789026812217,0.0020411332474793
2019,2021,2,0.420038484944751,0.351314548800548,-0.0687239361442026,-0.00372679370823176,0.00255436847236574,2,0,1,-274.778594106918,TRUE,0.0687239361442026,0.00472297939915243
2019,2022,3,0.378872610307868,0.336345238436761,-0.0425273718711071,0.00257825541124351,-0.0175475657750307,2,0,1,-274.778594106918,FALSE,0.0425273718711071,0.00180857735826343
2019,2023,4,0.35791667620989,0.337243873441735,-0.0206728027681553,0.00869446805959084,-0.00779583305461744,2,0,1,-274.778594106918,FALSE,0.0206728027681553,0.00042736477429105
2019,2024,5,0.373319151460388,0.347556880621915,-0.0257622708384735,0.00543112662258727,0.00488188055759318,2,0,1,-274.778594106918,FALSE,0.0257622708384735,0.000663694598754865
2020,2021,1,0.420038484944751,0.397359099896541,-0.0226793850482101,-0.00372679370823176,0.00342001688713654,2,0,1,-274.778594106918,TRUE,0.0226793850482101,0.000514354506164976
2020,2022,2,0.378872610307868,0.383267316792977,0.00439470648510892,0.00257825541124351,-0.0166700385148071,2,0,1,-274.778594106918,FALSE,0.00439470648510892,1.93134450902584e-05
2020,2023,3,0.35791667620989,0.384744460982514,0.0268277847726238,0.00869446805959084,-0.00721732387005443,2,0,1,-274.778594106918,FALSE,0.0268277847726238,0.000719730035806223
