age,year,prop_work_curr,prop_work_fut,avg_labour_inc_curr,avg_labour_inc_fut
24,2015,0.665377176015474,0.41943163219759,13092.449200687,12843.0686462324
24,2016,0.638665475126601,0.406315162347334,12662.4089956698,12069.9037134407
24,2017,0.615421152628246,0.366846105129829,11380.370953371,12226.583044316
24,2018,0.648662041625372,0.37388503468781,10886.3571428571,11776.4137931034
25,2006,0.706838294448914,0.396621078037007,9512.62827288013,10222.6942909761
25,2007,0.714259927797834,0.413357400722022,9620.41914146868,10254.9761526232
25,2008,0.755245760275941,0.466513365909744,11601.9856904832,12484.9533664459
25,2009,0.731877599524658,0.430778371954843,12562.3236475781,11528.4270736972
25,2010,0.702834645669291,0.44740157480315,12273.328312484,11958.5495065266
25,2011,0.710596337455001,0.431053372984818,12337.0999631132,12404.7233494364
25,2012,0.707584392810171,0.433874031857373,13590.4491860465,13143.3681168239
25,2013,0.679004854368932,0.423543689320388,14192.8612739351,13142.2587255844
25,2014,0.674374406081723,0.422869813113716,14191.710901123,13748.873074347
25,2015,0.646586345381526,0.401767068273092,14227.56198227,13711.7747524752
25,2016,0.629131175468484,0.392504258943782,13822.7818976684,13172.4784651527
25,2017,0.607579022988506,0.373204022988506,12332.7813242784,12833.6791467131
25,2018,0.628851540616247,0.367787114845938,11520.7352428394,11615.4261517615
26,2006,0.695039355665385,0.392824455427421,10189.5405867274,10408.9448621554
26,2007,0.701844872049197,0.408847450902599,10178.6738673867,10997.0030607783
26,2008,0.735426706046946,0.461215607026271,12576.2877505568,12996.1661547912
26,2009,0.725741130730601,0.41600518386522,13479.6862498427,12304.5919803025
26,2010,0.699741602067184,0.437381567614126,12719.5373976856,12280.6268656716
26,2011,0.68628773823579,0.432619328723225,13326.866611088,12472.8874125874
26,2012,0.699271255060729,0.438704453441296,14778.8426060526,14057.8925233645
26,2013,0.693200942443622,0.429485021878156,15251.4541821296,13850.058782119
26,2014,0.665159944367177,0.419680111265647,15141.0291247332,14315.9895872071
26,2015,0.641747395357339,0.406141473222446,15687.9677201284,14654.2124542125
26,2016,0.618955512572534,0.375593458765606,14009.7392166584,13394.3524416136
26,2017,0.620535714285714,0.374574829931973,13045.2310687172,13297.547875064
26,2018,0.627804107424961,0.35608214849921,12345.005624297,11231.5412698413
27,2006,0.677425665101722,0.405125195618153,10537.8031124187,10619.0026132404
27,2007,0.694907908992416,0.398266522210184,10361.0013389121,10484.5345577574
27,2008,0.733961946455632,0.461357130830106,13060.7654275549,13392.7047492527
27,2009,0.704031977754605,0.409801876955162,14141.2712100198,12935.3142636258
27,2010,0.67866323907455,0.42214469335292,13256.3703589586,13026.7352024922
27,2011,0.68252516010979,0.423970722781336,14093.2444176222,13749.2797826931
27,2012,0.684543696149112,0.425883594162124,15135.8899769585,14245.3915929204
27,2013,0.681645225584345,0.430512774053271,16378.4098334904,14812.224847561
27,2014,0.642694063926941,0.406392694063927,15829.4269469332,14379.1360572873
27,2015,0.643523920653442,0.391481913652275,16264.261595877,15033.5736818387
27,2016,0.588624853915076,0.353330736268017,15044.4365787432,14239.9233449477
27,2017,0.602552619793999,0.362740707568294,13576.6426783479,13842.8565145684
27,2018,0.589473684210526,0.332982456140351,13540.4094945355,12255.8539865514
28,2006,0.679253379103197,0.390903239648144,10937.3741125761,10902.4054590571
28,2007,0.679466167173964,0.398033247483025,10880.8924168846,11349.1832711774
28,2008,0.721987896570695,0.435356684393912,13625.0394029048,14107.9595310136
28,2009,0.686356707317073,0.401676829268293,14834.8438757444,13431.0132819195
28,2010,0.669439492968905,0.422459893048128,13585.3167405387,13403.6544766709
28,2011,0.671142245573069,0.426542128818836,14467.4591452432,14161.4036885246
28,2012,0.678838951310862,0.413483146067416,15400.3255381756,15503.0846216436
28,2013,0.67109634551495,0.422317764315028,16847.5838561981,14964.3585222502
28,2014,0.643746174250153,0.417261783309529,17084.9051675185,15649.0341918295
28,2015,0.632886776145203,0.394554883318928,16877.639814254,15779.156003937
28,2016,0.587150127226463,0.344147582697201,16092.6709410998,15268.0741989882
28,2017,0.584288850939253,0.354964625518419,14278.1042471042,15015.6094527363
28,2018,0.576965265082267,0.33308957952468,13067.9008033531,12460.6766467066
