datemonth,IDage,exitrate
2009-01-01,23,0.103
2009-02-01,23,0.127
2009-03-01,23,0.124
2009-04-01,23,0.104
2009-05-01,23,0.096
2009-06-01,23,0.097
2009-07-01,23,0.112
2009-08-01,23,0.103
2009-09-01,23,0.102
2009-10-01,23,0.108
2009-11-01,23,0.105
2009-12-01,23,0.081
2010-01-01,23,0.11
2010-02-01,23,0.141
2010-03-01,23,0.124
2010-04-01,23,0.108
2010-05-01,23,0.109
2010-06-01,23,0.108
2010-07-01,23,0.123
2010-08-01,23,0.123
2010-09-01,23,0.117
2010-10-01,23,0.114
2010-11-01,23,0.099
2010-12-01,23,0.084
2011-01-01,23,0.105
2011-02-01,23,0.148
2011-03-01,23,0.134
2011-04-01,23,0.105
2011-05-01,23,0.119
2011-06-01,23,0.113
2011-07-01,23,0.127
2011-08-01,23,0.127
2011-09-01,23,0.117
2011-10-01,23,0.111
2011-11-01,23,0.107
2011-12-01,23,0.079
2012-01-01,23,0.111
2012-02-01,23,0.151
2012-03-01,23,0.123
2012-04-01,23,0.105
2012-05-01,23,0.102
2012-06-01,23,0.102
2012-07-01,23,0.131
2012-08-01,23,0.121
2012-09-01,23,0.102
2012-10-01,23,0.104
2012-11-01,23,0.095
2012-12-01,23,0.06
2013-01-01,23,0.104
2013-02-01,23,0.134
2013-03-01,23,0.107
2013-04-01,23,0.097
2013-05-01,23,0.096
2013-06-01,23,0.078
2013-07-01,23,0.12
2013-08-01,23,0.101
2013-09-01,23,0.092
2013-10-01,23,0.096
2013-11-01,23,0.087
2013-12-01,23,0.06
2014-01-01,23,0.098
2014-02-01,23,0.123
2014-03-01,23,0.108
2014-04-01,23,0.086
2014-05-01,23,0.096
2014-06-01,23,0.095
2014-07-01,23,0.113
2014-08-01,23,0.099
2014-09-01,23,0.084
2014-10-01,23,0.089
2014-11-01,23,0.079
2014-12-01,23,0.064
2015-01-01,23,0.089
2015-02-01,23,0.116
2015-03-01,23,0.095
2015-04-01,23,0.094
2015-05-01,23,0.088
2015-06-01,23,0.077
2015-07-01,23,0.116
2015-08-01,23,0.098
2015-09-01,23,0.095
2015-10-01,23,0.095
2015-11-01,23,0.086
2015-12-01,23,0.057
2016-01-01,23,0.095
2016-02-01,23,0.117
2016-03-01,23,0.096
2016-04-01,23,0.107
2016-05-01,23,0.097
2016-06-01,23,0.09
2016-07-01,23,0.101
2016-08-01,23,0.106
2016-09-01,23,0.095
2016-10-01,23,0.086
2016-11-01,23,0.093
2016-12-01,23,0.059
2017-01-01,23,0.11
2017-02-01,23,0.126
2017-03-01,23,0.113
2017-04-01,23,0.082
2017-05-01,23,0.105
2017-06-01,23,0.096
2017-07-01,23,0.125
2017-08-01,23,0.101
2017-09-01,23,0.087
2017-10-01,23,0.088
2017-11-01,23,0.082
2017-12-01,23,0.054
2018-01-01,23,0.106
