,EE,EU,EN,UE,UU,UN,NE,NU,NN,EU_inv,EU_vol,EU_j2j,UNEMP,EMP,NILF,age,SEP_RATE,inv_share,vol_share,,EU_all,UE_all,E_all,U_all,vol_EU_strict,,
39,4779134.789,9663.029584,61988.9804,40353.05846,114750.0796,33214.41871,94690.96867,35320.19935,1019223.934,10232.46127,3205.539016,4138.275921,333633.0068,8673851.684,2085037.578,54,0.003140393,0.375650589,0.151922958,,27239.30579,40353.05846,8673851.684,333633.0068,4138.275921,,
40,4598923.959,7235.676317,72663.76259,34515.34213,120460.5259,36417.68785,99411.33247,38524.81635,1226373.84,9716.840193,3809.938369,2751.175095,351150.5192,8433386.099,2483942.66,55,0.00278816,0.413242881,0.117003419,,23513.62997,34515.34213,8433386.099,351150.5192,2751.175095,,
41,4511063.809,10655.86063,64153.08529,39544.3985,117526.2263,28380.64776,99994.03491,35406.26659,1247703.424,10495.87721,3749.772055,4803.389527,337467.2905,8011384.845,2425396.216,56,0.003707836,0.353338251,0.161703612,,29704.89942,39544.3985,8011384.845,337467.2905,4803.389527,,
42,4515984.751,5071.383798,80295.11207,37375.91606,106307.282,31204.28484,103264.6553,44647.38366,1344810.602,8701.467135,3605.434548,3783.098028,310002.8676,8025168.208,2653059.131,57,0.002636877,0.411195569,0.178773662,,21161.38351,37375.91606,8025168.208,310002.8676,3783.098028,,
43,3883194.92,7044.468791,74037.92853,27992.30053,83632.44672,26684.14296,89360.24663,31061.45398,1293170.647,8115.615672,4258.717416,2897.356891,255054.601,6887329.548,2479690.153,58,0.003240176,0.363665439,0.12983224,,22316.15877,27992.30053,6887329.548,255054.601,2897.356891,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoothed,,,,,,,,,,,,,,,,,,<31,0.18810457,,,,,,,,
,EU_all,UE_all,E_all,U_all,vol_EU_strict,UE_rate,U_rate,,vol_share,EU_rate,UE_rate,U_rate,Ust_rate,Ust_novol_rate,,,,31-40,0.142596194,,,,,,,,
15,,,,,,0.068135222,0.240466817,,,,,,,,,,,40>,0.13142594,,,,,,,,
16,,,,,,0.092582355,0.169615001,,,,,,,,,,,,,,,,,,,,
17,,,,,,0.09689728,0.148418698,,,,,,,,,,,,,,,,,,,,
18,,,,,,0.107392502,0.1565832,,,,,,,,,,,,,,,,,,,,
19,64236.73441,90588.88591,6076694.154,920218.7169,11590.55698,0.097939332,0.125609442,,0.183282268,0.010255867,0.099193778,0.135955824,0.093703978,0.07786701,20.33848225,,,,,,,,,,,,
20,76517.27374,102673.3928,7861614.96,989398.9476,13532.26364,0.101592001,0.11190099,,0.178581348,0.009950044,0.104658749,0.117105921,0.086817454,0.072436531,19.85313694,,,,,,,,,,,,
21,85963.30548,113165.0211,9578311.581,1057837.694,15337.70064,0.112300801,0.102888583,,0.178661537,0.0093994,0.107028733,0.105296146,0.080731346,0.067278152,19.9963789,,,,,,,,,,,,
22,91105.26295,120387.2959,11239233.77,1105457.539,15895.11293,0.105091672,0.092523135,,0.182095373,0.008692192,0.107855309,0.095101568,0.074580682,0.061839717,20.60320604,,,,,,,,,,,,
23,91848.59498,119587.375,12788524.56,1101971.697,17060.43265,0.110812841,0.075596549,,0.184865253,0.007605171,0.107503706,0.083575934,0.066069373,0.054521362,21.18070935,,,,,,,,,,,,
24,93777.1552,121214.5522,14332149.53,1109863.68,17005.61321,0.117319961,0.070817688,,0.179053636,0.006910092,0.111065411,0.075085349,0.058572261,0.048594322,20.53313914,,,,,,,,,,,,
25,95500.97253,125057.8311,15754060.29,1113505.158,17472.46982,0.113912207,0.063327026,,0.185482699,0.006286802,0.11267338,0.068048628,0.052847949,0.043471695,21.56864172,,,,,,,,,,,,
26,96029.86551,125544.68,17001183.97,1114009.377,17794.93751,0.104336466,0.0566675,,0.190537478,0.005686315,0.114676249,0.061613422,0.047243217,0.038588976,22.42671774,,,,,,,,,,,,
27,95934.37694,127051.513,18039246.43,1104596.32,18163.20695,0.104228076,0.05285249,,0.187909296,0.005176521,0.117739437,0.056172862,0.042114315,0.034473455,22.16447306,,,,,,,,,,,,
28,88019.09912,119391.293,17827209.19,1018409.85,16721.20971,0.129994678,0.049194179,,0.188756229,0.004757078,0.118894478,0.05244242,0.038471641,0.031438176,22.37237111,,,,,,,,,,,,
29,79971.59033,109487.6937,17467069.11,931313.8927,15233.21199,0.116063714,0.048570506,,0.182687727,0.004394728,0.11734134,0.049481912,0.036100462,0.029701234,21.54532867,,,,,,,,,,,,
30,75263.14599,102759.2476,17447017.21,881883.6596,14163.31854,0.13032663,0.044971729,,0.183185894,0.004274798,0.116098142,0.047493499,0.035512952,0.029197423,21.63043223,,,,,,,,,,,,
31,73196.92795,99568.88114,17448168.93,853012.5171,12984.2312,0.132660361,0.043558088,,0.174384554,0.004056139,0.117621278,0.045866106,0.033335183,0.027682967,20.41766706,,,,,,,,,,,,
32,68892.33307,97455.35199,17340010.59,819208.9508,12102.28122,0.121208212,0.042022571,,0.172195852,0.003970628,0.119461019,0.044489242,0.032168636,0.02677766,20.13236429,,,,,,,,,,,,
33,67182.4769,93552.23466,17331345.57,796218.1029,11746.64711,0.103341714,0.044173117,,0.164221076,0.003830012,0.118238019,0.043232656,0.031376046,0.026359257,19.03236175,,,,,,,,,,,,
34,65451.90075,91508.47108,17487734.29,776232.2679,10468.79496,0.102723423,0.045431315,,0.155001324,0.003732329,0.117175974,0.042205528,0.030869089,0.026209747,17.77713719,,,,,,,,,,,,
35,64849.95628,88600.20855,17676856.47,771049.2111,9449.810156,0.118044697,0.042020962,,0.145184339,0.003649167,0.11532621,0.041509487,0.030671617,0.026335853,16.46335076,,,,,,,,,,,,
36,61410.30262,82316.84191,16911894.22,730223.7187,8815.106051,0.120785747,0.040460708,,0.14069259,0.003593834,0.115036427,0.041047461,0.030294409,0.02614364,15.87678518,,,,,,,,,,,,
37,61851.65393,83269.41801,17084493.37,732047.8663,8484.780158,0.118987669,0.037884907,,0.131680794,0.003625791,0.114581638,0.041171957,0.030673122,0.026742074,14.69986294,,,,,,,,,,,,
