,,,,,,,,,,,,,,,,,,0.0502,0.2304,0.0114,,,,,
date,EE,EU,EN,UE,UU,UN,NE,NU,NN,EU_INV,EU_VS,EU_VS_loose,EU_REASONS,E,U,N,,Urate,Frate,Srate,Vshare,Vshare_loose,,EU_inv,involuntary seps
1996.916667,1.20681E+12,13975552388,85729515813,15254762779,34811293949,5790365285,83462777728,7483961431,6.21716E+11,2236567566,2151871050,2792375297,5384852961,1.30324E+12,55583374044,7.1082E+11,,0.040905549,0.274448305,0.010723707,,,,,
1997,1.20781E+12,13881418073,86216298405,15161219749,34502257866,5694318316,84041861235,7584149994,6.22366E+11,2218810324,2118458436,2732171990,5297641876,1.30599E+12,56023020194,7.12488E+11,,0.04113262,0.27062482,0.010629067,,,,,
1997.083333,1.21076E+12,13742655929,86080948877,15035733291,34496402501,5720019880,84385774466,7585785390,6.25771E+11,2190420840,2101903321,2705955490,5273104721,1.30913E+12,55902280022,7.13957E+11,,0.040953186,0.26896458,0.010497576,,,,,
1997.166667,1.21145E+12,13563573194,85860911775,14866198269,34906215566,5607346998,84539910534,7491126754,6.28901E+11,2076949526,2094798023,2706147234,5221017175,1.31058E+12,55520037998,7.145E+11,,0.040641188,0.267762754,0.010349269,,,,,
1997.25,1.20921E+12,13533839057,86388376741,14743646564,34791856372,5342565377,84819994448,7245914757,6.26812E+11,2061569140,2112932672,2745831561,5288032403,1.30951E+12,55420606537,7.13733E+11,,0.040603118,0.266031851,0.010335008,,,,,
1997.333333,1.2079E+12,13593614527,87064669901,14668510121,34433506370,5095572902,85312471857,6956541244,6.18823E+11,2170237685,2148357695,2798547399,5430458688,1.30862E+12,55568115854,7.12017E+11,,0.040733398,0.263973502,0.010387729,,,,,
1997.416667,1.20993E+12,13522553288,86866491677,14571835108,33298105664,5062138752,85771780518,6820694836,6.12869E+11,2164497364,2167152469,2820380038,5404273391,1.3116E+12,54499305232,7.09788E+11,,0.039893983,0.26737653,0.010309935,,,,,
1997.5,1.21438E+12,13275181210,86166462604,14439699456,32190384288,5202463802,85996384715,6751501420,6.14043E+11,2017349660,2173226103,2827749063,5269959409,1.31578E+12,52199379055,7.10359E+11,,0.038158074,0.276625886,0.010089226,,,,,
1997.583333,1.21565E+12,13035941392,85789264383,14322735529,31363425222,5268952315,86072255723,6718149571,6.16397E+11,1886779985,2191040661,2851780492,5187654279,1.31668E+12,50907395124,7.14597E+11,,0.037224333,0.28134882,0.009900642,,,,,
1997.666667,1.21435E+12,12917451213,85753157664,14222550982,30183118088,5219704309,86099211598,6575812564,6.2354E+11,1769350038,2212178092,2874404452,5122472980,1.31526E+12,49731648417,7.18475E+11,,0.036433626,0.285985915,0.009821204,,,,,
1997.75,1.21539E+12,12876450774,85660394191,14111332266,29541020962,5094012158,86227827790,6358382643,6.31394E+11,1643225667,2222321196,2869086023,5030337086,1.31677E+12,48415014273,7.20452E+11,,0.035464007,0.291466035,0.009778798,,,,,
1997.833333,1.21903E+12,12899109796,85582520491,13926128161,29902444376,4983766108,86491563407,6129894779,6.34499E+11,1622668341,2227192665,2851077674,4991281178,1.31961E+12,48399277603,7.22092E+11,,0.035379455,0.287734215,0.009774971,,,,,
1997.916667,1.2239E+12,12881177170,85879681722,13705907761,30449091734,5002552413,86732359862,5908492764,6.35758E+11,1781025181,2223281586,2823438193,5032682521,1.32124E+12,48923692774,7.23917E+11,,0.035706446,0.280148676,0.009749306,,,,,
1998,1.22645E+12,12692330656,86473425404,13587517783,30695499416,5105513700,86782226653,5921877838,6.3621E+11,1959927442,2196886536,2773948687,5035254012,1.32264E+12,49075805278,7.25548E+11,,0.03577686,0.276867954,0.009596185,,,,,
1998.083333,1.22565E+12,12460695117,87176465327,13477301184,30631313713,5149627916,86570562306,6090307800,6.37823E+11,1961922016,2166777576,2741704720,4989447383,1.32348E+12,49191183592,7.26325E+11,,0.035836009,0.273977981,0.009415074,,,,,
1998.166667,1.22454E+12,12286012133,87860368341,13273728223,29732068114,5106984330,86437451696,6211343388,6.36426E+11,1837277405,2155155915,2740115313,4966671351,1.32501E+12,48320176575,7.25745E+11,,0.03518459,0.274703637,0.009272369,,,,,
1998.25,1.22527E+12,12136730263,88212219980,12994519244,28957898815,5086935907,86748818289,6188092821,6.34844E+11,1740493867,2149221560,2731158908,4947816464,1.32714E+12,47087551017,7.2448E+11,,0.034264789,0.275965069,0.00914504,,,,,
1998.333333,1.22621E+12,12019926067,88213213141,12713777470,29060504794,5102261805,87459501200,6094917327,6.2968E+11,1749941947,2138242201,2709965972,4927299927,1.32721E+12,47470702209,7.22659E+11,,0.034532106,0.267823666,0.00905652,,,,,
1998.416667,1.2271E+12,11916806161,88240859156,12544934235,28774189521,5067848863,88075315838,6036095118,6.21877E+11,1795140953,2113443834,2673089017,4875314781,1.32789E+12,47352402094,7.20475E+11,,0.034432041,0.264927093,0.008974242,,,,,
1998.5,1.23009E+12,11822272926,88345836007,12423645734,27843510633,5030011384,88126253777,5986928988,6.21756E+11,1751956451,2073653819,2617863180,4758424826,1.33122E+12,45867350518,7.21185E+11,,0.033307509,0.270860331,0.008880781,,,,,
1998.583333,1.23185E+12,11698899186,88262587316,12262459039,26978186884,5093043233,87832643160,5937037426,6.25164E+11,1652285061,2032412014,2569628945,4626780272,1.33351E+12,44588832784,7.25116E+11,,0.032355344,0.275011887,0.008773018,,,,,
