income,income_budget_year,income_future_year,etr_pre_budget_2026,etr_budget_year,etr_future_year,diff,diff_doll
25500,26790.9375,34294.6650182806,0.0183529411764706,0.00943346047520732,0.038001628004373,0.0285681675291656,728.488271993724
26000,27316.25,34967.1094304037,0.0210769230769231,0.0119443554660687,0.039963135158135,0.0280187796920663,728.488271993724
26500,27841.5625,35639.5538425269,0.0236981132075472,0.014360499702558,0.0418506231740193,0.0274901234714613,728.488271993724
27000,28366.875,36311.99825465,0.0262222222222222,0.0166871571154736,0.0436682042263522,0.0269810471108786,728.488271993723
27500,28892.1875,36984.4426667732,0.0286545454545455,0.0189292088042832,0.0454196914222368,0.0264904826179536,728.488271993724
28000,29417.5,37656.8870788963,0.031,0.0210911872184924,0.0473169367732699,0.0262257495547775,734.32098753377
28500,29942.8125,38329.3314910195,0.0332631578947368,0.023177306740975,0.0498201484088266,0.0266428416678516,759.32098753377
29000,30468.125,39001.7759031426,0.035448275862069,0.0251914911075099,0.0522370424017778,0.0270455512942679,784.32098753377
29500,30993.4375,39674.2203152658,0.0375593220338983,0.0271373980378911,0.0545720077847985,0.0274346097469074,809.32098753377
30000,31518.75,40346.6647273889,0.0396,0.0290184414039262,0.0568291409883852,0.027810699584459,834.320987533769
30500,32044.0625,41019.1091395121,0.0415737704918033,0.0308378112169766,0.0590122698246412,0.0281744586076646,859.32098753377
31000,32569.375,41691.5535516352,0.0434838709677419,0.0325984916812189,0.0611249751500502,0.0285264834688313,884.32098753377
31500,33094.6875,42363.9979637584,0.0453333333333333,0.0343032775275488,0.0631706104651288,0.02886733293758,909.320987533769
32000,33620,43036.4423758815,0.047125,0.0359547888161809,0.0651523196766112,0.0291975308604303,934.32098753377
32500,34145.3125,43708.8867880047,0.0488615384615385,0.037555484372855,0.0670730532200479,0.0295175688471929,959.32098753377
33000,34670.625,44381.3312001278,0.0505454545454546,0.0391076740035693,0.0689355827167139,0.0298279087131445,984.32098753377
33500,35195.9375,45053.775612251,0.0521791044776119,0.0406135296154563,0.0708917127245282,0.0302781831090719,1014.31913415391
34000,35721.25,45726.2200243741,0.053764705882353,0.0420750953564055,0.0744815404785793,0.0324064451221738,1101.81913415391
34500,36246.5625,46398.6644364973,0.055304347826087,0.0434942968729793,0.0779673152542521,0.0344730183812727,1189.31913415391
35000,36771.875,47071.1088486204,0.0568,0.0448729497747939,0.0813534964649056,0.0364805466901117,1276.81913415391
35500,37297.1875,47743.5532607436,0.0582535211267606,0.0462127673835996,0.0846442922893435,0.0384315249057439,1364.31913415391
36000,37822.5,48415.9976728667,0.0596666666666667,0.0479417013682332,0.0878436771186582,0.039901975750425,1436.4711270153
36500,38347.8125,49088.4420849899,0.061041095890411,0.0498877054590793,0.0909554075690876,0.0410677021100082,1498.9711270153
37000,38873.125,49760.886497113,0.0623783783783784,0.0517811148447674,0.0939830371965323,0.0422019223517649,1561.4711270153
37500,39398.4375,50433.3309092361,0.06368,0.0536240333135039,0.0969299300339119,0.043305896720408,1623.9711270153
38000,39923.75,51105.7753213593,0.0656052631578947,0.0554184539277999,0.0997992730597815,0.0443808191319816,1686.4711270153
38500,40449.0625,51778.2197334824,0.0674805194805195,0.0571662662144518,0.102594087695369,0.0454278214809169,1748.9711270153
39000,40974.375,52450.6641456056,0.0693076923076923,0.058869262801446,0.105317240417223,0.0464479776157769,1811.4711270153
39500,41499.6875,53123.1085577287,0.0710886075949367,0.0605291455507948,0.10797145256384,0.0474423070130456,1873.9711270153
40000,42025,53795.5529698519,0.072825,0.0621475312314099,0.110559309406792,0.0484117781753825,1936.4711270153
40500,42550.3125,54467.997381975,0.0745185185185185,0.0637259567717629,0.113083268549918,0.0493573117781556,1998.9711270153
41000,43075.625,55140.4417940982,0.0761707317073171,0.0652658841282048,0.115545667713944,0.050279783585739,2061.4711270153
41500,43600.9375,55812.8862062213,0.0777831325301205,0.0667687048013589,0.117948731958354,0.0511800271569952,2123.9711270153
42000,44126.25,56485.3306183445,0.0793571428571429,0.0682357440299142,0.120294580387421,0.0520588363575072,2186.4711270153
42500,44651.5625,57157.7750304676,0.0808941176470588,0.0696682646883858,0.122585232382863,0.0529169676944777,2248.9711270153
43000,45176.875,57830.2194425908,0.0823953488372093,0.0715568667598191,0.124822613401667,0.0532657466418483,2290.42710559948
43500,45702.1875,58502.6638547139,0.0838620689655173,0.0743550636936142,0.127008560374062,0.0526534966804477,2290.42710559948
44000,46227.5,59175.1082668371,0.0852954545454545,0.0770896652425504,0.129144826733448,0.0520551614908972,2290.42710559948
44500,46752.8125,59847.5526789602,0.0866966292134831,0.0797628150712858,0.131233087107229,0.0514702720359433,2290.42710559948
45000,47278.125,60519.9970910834,0.0880666666666667,0.0823765615704938,0.133274941694927,0.0508983801244328,2290.42710559948
45500,47803.4375,61192.4415032065,0.0905604395604396,0.0849328630916971,0.13527192035762,0.0503390572659226,2290.42710559948
46000,48328.75,61864.8859153297,0.093,0.0874335928407004,0.137225486440689,0.0497918935999887,2290.42710559948
46500,48854.0625,62537.3303274528,0.0953870967741936,0.0898805434553165,0.139137040349929,0.0492564968946125,2290.42710559948
47000,49379.375,63209.774739576,0.0977234042553192,0.0922754312908983,0.141007922899398,0.0487324916084995,2290.42710559948
47500,49904.6875,63882.2191516991,0.100010526315789,0.0946199004352046,0.142839418447825,0.0482195180126206,2290.42710559948
48000,50430,64554.6635638223,0.10225,0.0969155264723379,0.144632757838994,0.0477172313666558,2290.42710559948
48500,50955.3125,65227.1079759454,0.104443298969072,0.0991638200138602,0.146389121160241,0.047225301146381,2290.42710559948
49000,51480.625,65899.5523880686,0.106591836734694,0.101366230013719,0.148109640332075,0.0467434103183567,2290.42710559948
49500,52005.9375,66571.9968001917,0.10869696969697,0.103524146882267,0.149795401540842,0.0462712546585753,2290.42710559948
50000,52531.25,67244.4412123149,0.11076,0.105638905413444,0.15131856522634,0.0456796598128957,2283.98299064479
50500,53056.5625,67916.885624438,0.112782178217822,0.107711787538064,0.152790658639941,0.045078871101877,2276.48299064479
51000,53581.875,68589.3300365612,0.114764705882353,0.109744024915142,0.154233887476804,0.0444898625616625,2268.98299064479
51500,54107.1875,69261.7744486843,0.116708737864078,0.111736801372276,0.155649092452757,0.0439122910804813,2261.48299064479
52000,54632.5,69934.2188608075,0.118615384615385,0.113691255205235,0.157037081948404,0.043345826743169,2253.98299064479
52500,55157.8125,70606.6632729306,0.120485714285714,0.115608481346137,0.158398633548895,0.0427901522027579,2246.48299064479
53000,55683.125,71279.1076850538,0.122320754716981,0.11748953340891,0.159734495496547,0.0422449620876375,2238.98299064479
53500,56208.4375,71951.5520971769,0.124121495327103,0.119335425620041,0.161045388062,0.0417099624419586,2231.48299064479
54000,56733.75,72623.9965093,0.125888888888889,0.121147134642078,0.162332004839204,0.0411848701971256,2223.98299064478
54500,57259.0625,73296.4409214232,0.127623853211009,0.122925601296738,0.163595013969119,0.0406694126723814,2216.48299064479
55000,57784.375,73968.8853335463,0.129327272727273,0.12467173219404,0.164835059296673,0.0401633271026324,2208.98299064478
55500,58309.6875,74641.3297456695,0.131,0.126386401273373,0.166052761465171,0.0396663601917979,2201.48299064478
56000,58835,75313.7741577926,0.132642857142857,0.128070451262004,0.167248718952089,0.0391782676900855,2193.98299064479
56500,59360.3125,75986.2185699158,0.134256637168142,0.129724695056145,0.168423509049858,0.038698813993713,2186.48299064478
57000,59885.625,76658.6629820389,0.135842105263158,0.131349917029337,0.169577688795035,0.038227771765698,2178.98299064479
57500,60410.9375,77331.1073941621,0.1374,0.13294687427256,0.170711795848991,0.0377649215764311,2171.48299064479
58000,60936.25,78003.5518062852,0.138931034482759,0.134516297770211,0.171826349333052,0.0373100515628411,2163.98299064478
58500,61461.5625,78675.9962184084,0.140435897435897,0.136058893515764,0.172921850620803,0.0368629571050391,2156.48299064479
59000,61986.875,79348.4406305315,0.141915254237288,0.137575343570716,0.173998784090119,0.0364234405194031,2148.98299064479
