time,counts,surv,strata
660,161759,0.276653854973458,2010
690,157675,0.269656480058594,2010
720,153858,0.262982534798635,2010
750,150141,0.256787744582981,2010
780,146672,0.250861623445741,2010
810,143542,0.245507065825636,2010
840,140317,0.239998494084147,2010
870,137500,0.235184697156899,2010
900,134758,0.230485555186682,2010
930,132174,0.226017434398541,2010
960,129628,0.22171530660789,2010
990,127247,0.217647622535346,2010
1020,124949,0.213701438491894,2010
1050,122649,0.209780923468672,2010
1080,120601,0.206291647985324,2010
1110,118662,0.202961520427406,2010
1140,116728,0.199645083013612,2010
0,567312,0.99825316580647,2011
30,515031,0.906298474208196,2011
60,465299,0.817879755760499,2011
90,419073,0.734257339876471,2011
120,378593,0.666144907916632,2011
150,347454,0.611399018529487,2011
180,320900,0.564708661195251,2011
210,296761,0.522299898468568,2011
240,279246,0.49161308063288,2011
270,264177,0.465013960571961,2011
300,250996,0.441531291423415,2011
330,239496,0.421732662097753,2011
360,229421,0.403943509039119,2011
390,219988,0.387315974278704,2011
420,210885,0.371363553036072,2011
450,203259,0.358000535860338,2011
480,196344,0.345783272696506,2011
510,190095,0.334648306399301,2011
540,184249,0.324563908396086,2011
570,178896,0.315105268353217,2011
600,173801,0.306161336266464,2011
630,168905,0.297531164509124,2011
660,164744,0.290256507882788,2011
690,160859,0.283371407620498,2011
720,157246,0.276925219279691,2011
750,153794,0.270939095242124,2011
780,150567,0.265254392644612,2011
810,147408,0.25968074005133,2011
840,144173,0.253996037453817,2011
870,141498,0.249307259497419,2011
900,138745,0.244449262486956,2011
930,136209,0.239917364695264,2011
960,133646,0.235450686747327,2011
990,131322,0.231359463575598,2011
1020,129051,0.22737576501114,2011
1050,126653,0.223141763262543,2011
1080,124509,0.219392503595905,2011
1110,122523,0.215893547113405,2011
1140,120470,0.21222360887836,2011
0,588611,0.99833506339501,2012
30,539410,0.915028771123883,2012
60,491754,0.833175051094866,2012
90,446594,0.754112648251562,2012
120,406619,0.689793428936938,2012
150,376016,0.637905169967941,2012
180,349607,0.593023236059129,2012
210,324610,0.550747437611597,2012
240,305945,0.519286931436891,2012
270,290010,0.492085604924135,2012
300,276444,0.468611697708673,2012
330,264171,0.448442179979647,2012
360,253504,0.430277381836221,2012
390,243425,0.413179502251912,2012
420,233763,0.396800263671593,2012
450,225500,0.382847075572831,2012
480,218028,0.370120504034073,2012
510,210972,0.35790360696623,2012
540,204436,0.347105303842436,2012
570,198501,0.336988265594764,2012
600,192791,0.327285762583438,2012
630,187024,0.317486421422637,2012
660,182125,0.309226297164001,2012
690,177492,0.301362020077776,2012
720,173305,0.29416541654845,2012
750,169176,0.287247435063225,2012
780,165485,0.280959751007032,2012
810,161718,0.274585422290783,2012
840,157952,0.268205996829825,2012
870,154631,0.262587685245433,2012
900,151463,0.257188533683536,2012
930,148489,0.252049316101805,2012
960,145377,0.246859131072983,2012
990,142494,0.241962858322389,2012
1020,139767,0.237294240168804,2012
1050,136854,0.232384376098985,2012
1080,134362,0.228154077990387,2012
1110,131888,0.223944166860626,2012
1140,129601,0.220031565838898,2012
0,598765,0.998523627800556,2013
30,557039,0.929042278690304,2013
60,513900,0.856158927125,2013
90,471528,0.782928193865708,2013
120,431883,0.720307633211695,2013
150,401822,0.670069225823153,2013
180,374675,0.624821090077076,2013
210,348501,0.581348275199787,2013
240,328989,0.548868086812023,2013
270,312216,0.520741860329179,2013
300,297225,0.495236027489918,2013
330,283855,0.473668300585373,2013
360,272101,0.453997812163371,2013
390,260971,0.435424582265163,2013
420,249983,0.41710854842885,2013
450,241008,0.402247960385127,2013
480,232734,0.388362713251443,2013
510,224905,0.375073693352151,2013
540,217621,0.363232653879236,2013
570,211123,0.352340233647592,2013
600,204753,0.341710019790737,2013
630,198407,0.331134919375716,2013
660,192922,0.322024500430053,2013
690,187850,0.313528679866058,2013
720,182997,0.305223251192038,2013
750,178243,0.297542441525474,2013
780,173852,0.290147219693871,2013
810,169634,0.28311942080783,2013
840,165129,0.275608961779664,2013
870,161175,0.269033761158385,2013
900,157437,0.262769199936537,2013
930,153891,0.256753484255092,2013
960,150332,0.250913129524939,2013
990,147028,0.245411805967283,2013
1020,143799,0.239988977311634,2013
1050,140451,0.234435880520739,2013
1080,137491,0.229512413050196,2013
1110,134722,0.224872863310314,2013
1140,132055,0.220376942540062,2013
0,555147,0.998612979985481,2014
30,517972,0.931697370246079,2014
60,478952,0.860777415711515,2014
90,440895,0.789691739305085,2014
120,404586,0.727785613540198,2014
150,376631,0.677452998935417,2014
180,351679,0.632518954439095,2014
210,327829,0.589811347264779,2014
240,309709,0.557290231236051,2014
270,293830,0.528562705013267,2014
300,279517,0.502086834658208,2014
330,266546,0.479701772683632,2014
360,255134,0.459233320183663,2014
390,244280,0.439591675718323,2014
420,233647,0.420486826011849,2014
450,224963,0.40491797668005,2014
480,216775,0.390071458550618,2014
510,209084,0.376080569650921,2014
540,201804,0.363244329880194,2014
570,195168,0.351296143183697,2014
600,188763,0.339742446595226,2014
630,182412,0.328322048034124,2014
660,176957,0.318553464217585,2014
690,171919,0.309435158615645,2014
720,167094,0.300635687484576,2014
750,162477,0.292445064100139,2014
780,158115,0.284639924200257,2014
810,153986,0.277207658512069,2014
840,149757,0.269555631211192,2014
870,146088,0.262971789453964,2014
900,142481,0.256517643074717,2014
930,139189,0.250443576205942,2014
960,135851,0.244556847105361,2014
990,132697,0.23888987961747,2014
1020,129640,0.233404845923692,2014
1050,126653,0.227973851970739,2014
1080,123871,0.22300579846419,2014
1110,121318,0.218387201948313,2014
1140,118774,0.213770406757129,2014
0,538869,0.998348392652017,2015
30,501082,0.928639428135595,2015
60,463613,0.858462817493677,2015
90,427545,0.788859630077069,2015
120,392388,0.727061679183623,2015
150,364535,0.675544520096721,2015
180,339396,0.62884114692068,2015
210,314490,0.582729754355882,2015
240,294993,0.5467692518961,2015
270,278199,0.515590987791095,2015
300,263606,0.487825426959056,2015
330,250475,0.464354045231772,2015
360,238909,0.442933254650016,2015
390,228328,0.423232733744193,2015
420,218024,0.404211413163496,2015
450,209388,0.38822793665993,2015
480,201496,0.373558323080377,2015
510,194438,0.360254533105448,2015
540,187691,0.34805119611631,2015
570,181452,0.336449118431381,2015
600,175379,0.325197775340574,2015
630,169527,0.314347271785907,2015
660,164428,0.304933109902406,2015
690,159723,0.296168456526539,2015
720,155328,0.287882583707728,2015
750,150965,0.279949301221632,2015
780,146882,0.272370464806845,2015
810,142879,0.264962356342636,2015
840,138931,0.257635900376529,2015
870,135379,0.251068441495057,2015
900,131959,0.244734805676333,2015
930,128881,0.238956035696988,2015
960,125780,0.233255206738558,2015
990,122863,0.227851295955046,2015
1020,120051,0.222627391815079,2015
1050,117166,0.217281008927958,2015
1080,114543,0.212437531199605,2015
1110,112038,0.207798184716508,2015
1140,109608,0.203218221868394,2015
0,534734,0.998180403714744,2016
30,497872,0.929738898218553,2016
60,462040,0.861929482696069,2016
90,425592,0.790972707925809,2016
120,389443,0.727185853153156,2016
150,360634,0.673392752284313,2016
180,334886,0.625176255858053,2016
210,310130,0.578992545826523,2016
240,291084,0.54372080324049,2016
270,274967,0.513473988936556,2016
300,260578,0.485940673306729,2016
330,247431,0.462259740356888,2016
360,236060,0.441000572247136,2016
390,225381,0.421018674705555,2016
420,214703,0.401036777163973,2016
450,205844,0.384593087404205,2016
480,197793,0.369497731582432,2016
