date,variable,JSP_DSP_age,JSP_age,JSP,NSA,NSA_age,JSP_xPP,JSP_xPP_age
2020-04-01,count_less6,704559,697007,753778,712218,654700,,
2020-05-01,count_less6,883410,876154,951838,910383,833553,,
2020-06-01,count_less6,893709,886623,966989,923967,842271,,
2020-07-01,count_less6,873829,866778,948570,904736,821673,,
2020-08-01,count_less6,853714,846625,929574,885937,801689,,
2020-09-01,count_less6,844031,836944,920304,877298,792730,,
2020-10-01,count_less6,475752,469336,512778,488660,445080,,
2020-11-01,count_less6,337012,330572,359251,336880,308409,,
2020-12-01,count_less6,280084,273547,296312,275789,253472,,
2021-01-01,count_less6,252912,246341,266022,248120,228749,,
2021-02-01,count_less6,224488,217927,235292,218761,201735,,
2021-03-01,count_less6,196089,189357,204538,189513,174445,,
2021-04-01,count_less6,175837,168983,183270,170154,155928,,
2021-05-01,count_less6,163156,156310,170138,157343,143574,,
2021-06-01,count_less6,154211,147255,160969,148215,134468,,
2021-07-01,count_less6,154367,147321,161211,147587,133812,,
2021-08-01,count_less6,151223,144054,157520,144401,130930,,
2021-09-01,count_less6,154872,147715,161729,148060,134151,,
2021-10-01,count_less6,152777,145558,159409,145558,131852,,
2021-11-01,count_less6,152729,145419,159375,145047,131211,,
2021-12-01,count_less6,159427,151953,166187,151015,136917,,
2022-01-01,count_less6,165592,158130,172733,157199,142618,,
2022-02-01,count_less6,170049,162679,177803,161189,146135,,
2022-03-01,count_less6,165210,157755,172759,155520,140573,,
2022-04-01,count_less6,166778,159141,174763,156451,140949,,
2022-05-01,count_less6,163329,155622,171206,153014,137445,,
2022-06-01,count_less6,158729,150954,166537,148095,132482,,
2022-07-01,count_less6,160009,152082,167764,149002,133463,,
2022-08-01,count_less6,159388,151297,167036,148420,132798,,
2022-09-01,count_less6,160424,152101,167969,149135,133473,,
2022-10-01,count_less6,157618,149296,164686,146130,130931,,
2022-11-01,count_less6,161349,152945,168928,149215,133643,,
2022-12-01,count_less6,162445,154020,169846,150144,134714,,
2023-01-01,count_less6,163667,155491,171567,152545,136807,,
2023-02-01,count_less6,165887,157993,174479,154956,138941,,
2023-03-01,count_less6,163780,156066,172480,152942,136890,,
2006-07-01,count_halftoyear,127387,113747,124246,78932,70244,80252,71449
2006-08-01,count_halftoyear,128504,114932,125737,79082,70258,80434,71487
2006-09-01,count_halftoyear,126756,113442,123837,77182,68727,78481,69897
2006-10-01,count_halftoyear,126953,113654,124336,77012,68426,78283,69578
2006-11-01,count_halftoyear,122904,109871,119928,73643,65528,74881,66660
2006-12-01,count_halftoyear,123012,109868,119838,72829,64904,74128,66099
2007-01-01,count_halftoyear,125336,112085,122058,73820,65941,75139,67156
2007-02-01,count_halftoyear,122745,109580,119198,74116,66499,75382,67668
2007-03-01,count_halftoyear,119999,106771,116661,74063,66317,75315,67468
2007-04-01,count_halftoyear,115356,102274,111744,72358,64882,73606,66028
2007-05-01,count_halftoyear,115944,102637,112595,74391,66662,75694,67869
2007-06-01,count_halftoyear,112918,99742,109591,74404,66644,75645,67778
2007-07-01,count_halftoyear,109931,96991,106581,74475,66822,75736,67979
2007-08-01,count_halftoyear,110045,96894,106756,73910,66238,75189,67404
2007-09-01,count_halftoyear,107648,94675,103831,71461,64306,72755,65485
2007-10-01,count_halftoyear,107485,94201,103251,70787,63724,72089,64916
2007-11-01,count_halftoyear,104448,91321,99792,68173,61463,69494,62655
2007-12-01,count_halftoyear,104201,90987,99359,67846,61260,69192,62474
2008-01-01,count_halftoyear,105168,91911,100558,68707,61967,70034,63155
2008-02-01,count_halftoyear,104098,90749,99221,68113,61343,69380,62488
2008-03-01,count_halftoyear,102473,89055,97722,66847,60032,68147,61192
2008-04-01,count_halftoyear,102227,88023,96506,65676,58978,67030,60189
2008-05-01,count_halftoyear,103211,88886,97635,66667,59731,67988,60905
2008-06-01,count_halftoyear,103008,88996,97608,66850,59875,68147,61058
2008-07-01,count_halftoyear,103843,89968,98584,67968,60921,69261,62099
2008-08-01,count_halftoyear,105908,91908,101157,69462,62157,70767,63335
2008-09-01,count_halftoyear,107218,92974,102108,70130,62897,71435,64075
2008-10-01,count_halftoyear,107809,94049,103466,71158,63702,72448,64875
2008-11-01,count_halftoyear,107942,93951,103149,70999,63760,72307,64963
