country,year,rnndi_pc,nni_pc,gdp_pc,rank_rnndi,rank_nni,rank_gdp
CHE,2015,0.056481163667817,58673.453893,72217.2027775198,3,3,3
CHE,2016,0.0550284068448721,57280.821062,72923.3797993572,3,3,3
CHE,2017,0.0541048721496423,56335.783383,73234.6456013751,3,3,3
CHE,2018,0.0538667484817062,55902.252522,74790.7803417497,4,3,3
CHE,2019,0.0538525419578136,56057.173401,75104.9528776008,4,3,3
CHE,2020,0.0504325905177359,52631.403143,72945.6475178141,5,5,3
CHE,2021,0.054424972043331,56340.537737,76436.3564642048,6,5,3
CHE,2022,0.0568915188812687,58827.470803,78098.4513261539,5,4,3
CHL,2006,0.0197114015937225,19154.150322,21324.4421231705,31,31,33
CHL,2007,0.0208440376286791,20370.126809,22193.9138235291,32,32,33
CHL,2008,0.0201241995180909,19733.478287,22807.8665927174,33,33,33
CHL,2009,0.019857188385718,19654.36686,22334.1163589294,33,32,33
CHL,2010,0.0222009485858677,21903.66707,23452.414463254,29,30,32
CHL,2011,0.0226881340898736,22473.850725,24637.405906989,31,31,32
CHL,2012,0.0240975784033139,23932.928818,25870.0468200083,29,29,33
CHL,2013,0.0246928251701605,24532.071307,26470.3967314852,28,29,33
CHL,2014,0.0246489027732045,24491.333441,26678.742739251,29,30,33
CHL,2015,0.0252170581038574,25062.952831,26974.1204274303,30,31,33
CHL,2016,0.025479671409055,25372.131129,27151.2867287143,30,32,33
CHL,2017,0.0257992930960272,25668.549013,27143.3407428739,32,32,33
CHL,2018,0.0261384215742767,25962.806451,27726.2899707541,33,33,33
CHL,2019,0.0256978368800562,25597.936942,27382.5874442411,33,33,33
CHL,2020,0.0236205337976422,23661.563459,25236.6235739318,33,33,33
CHL,2021,0.0267887085424738,27039.818482,27777.9876601482,33,32,33
CHL,2022,0.0268583484844565,26855.960794,28161.3750366046,33,33,33
CZE,2006,0.0269571917644769,27131.19492,37450.5359330184,26,25,22
CZE,2007,0.0283781601867498,28648.480866,39291.6475931408,26,24,23
CZE,2008,0.0285934251941476,28822.199715,39904.4093596538,24,24,22
CZE,2009,0.0266105929452169,26869.710607,37765.8887953956,26,26,22
CZE,2010,0.0266633481176205,26932.249047,38696.1131887663,26,26,21
CZE,2011,0.0268220861812201,27129.001567,39459.1500367001,25,25,22
CZE,2012,0.0271408717966187,27438.243798,39117.0469074855,24,24,21
CZE,2013,0.0273471985122997,27666.411927,39117.4038117123,24,23,21
CZE,2014,0.0282003683116317,28552.633121,39990.303624856,25,25,21
CZE,2015,0.029596654520152,29913.412237,41958.3105468831,24,23,21
CZE,2016,0.0302848635209427,30813.611446,43016.1539849678,24,24,21
CZE,2017,0.0322171775205047,32778.866956,45210.317730754,25,23,19
CZE,2018,0.0332635689502495,33929.709151,46431.3092134384,26,25,19
CZE,2019,0.0342020320125249,34915.516384,48013.6235230153,26,25,19
CZE,2020,0.032068005743842,33180.763383,45675.0645205712,26,25,18
CZE,2021,0.0348560982206202,35471.531123,47521.2081360352,25,23,19
CZE,2022,0.0337262916346214,34198.849227,47699.2090642059,26,26,20
DEU,2006,0.0429421851733906,44225.918857,52666.5408582083,12,10,11
DEU,2007,0.0441406657979196,45486.130328,54309.2380979631,11,11,12
DEU,2008,0.0437977574426687,45256.525668,54946.1295451892,11,10,11
DEU,2009,0.0421204929292102,43533.233868,52080.8148061871,10,9,11
DEU,2010,0.0437280231433469,45284.866401,54368.5981191139,10,10,10
DEU,2011,0.0463598476591355,47026.04716,56418.0776793101,8,9,9
DEU,2012,0.0461922562784745,46925.052849,56602.0210977205,8,8,9
DEU,2013,0.0461204449517119,47041.772028,56733.566579282,8,8,9
DEU,2014,0.0472130199742549,48056.764207,57797.4669904529,8,7,9
DEU,2015,0.0479769788702697,48891.229517,58333.9124078307,7,7,9
DEU,2016,0.0494835422780179,50489.677518,59250.735964466,7,6,9
DEU,2017,0.0501926438293188,51450.11889,60781.5585819866,7,7,8
DEU,2018,0.0511063854793829,52415.743748,61382.8136644203,7,7,9
DEU,2019,0.0512903146567562,52663.035822,61948.28966129,7,7,9
DEU,2020,0.0479979245889867,49473.316309,59444.321161123,8,7,8
DEU,2021,0.0499537800556844,51597.081081,61867.2791968816,9,8,8
DEU,2022,0.0491179006245102,50765.010743,62579.0660327555,9,9,9
DNK,2006,0.0480421108066199,49167.847091,60321.9085794602,6,6,5
DNK,2007,0.047481871911885,48590.11483,60653.6242514507,7,7,5
DNK,2008,0.047369015463957,48333.530125,60045.1075592074,6,6,5
DNK,2009,0.044366995498276,45444.196406,56749.648579793,8,7,6
DNK,2010,0.0461509445023367,47256.689768,57390.476439986,7,7,6
DNK,2011,0.0465803967266263,47631.190662,57904.2410960559,7,7,6
DNK,2012,0.0466032979630702,47696.353828,57688.1959407086,7,7,7
DNK,2013,0.0479928066404411,49107.655537,58257.2214341311,5,5,7
DNK,2014,0.0493386651001584,50283.878426,58687.2278429221,5,5,8
DNK,2015,0.0500656345824525,50988.650964,59509.9035961241,5,5,7
DNK,2016,0.0508663036278032,51705.893436,60842.8963300455,5,5,7
DNK,2017,0.0521680688125424,52961.977641,62307.1840272871,5,5,7
DNK,2018,0.0527537064610324,53743.104773,63151.0101483827,6,5,7
DNK,2019,0.0533079800518053,54214.484148,63977.0116405418,5,5,7
DNK,2020,0.0528176074620232,53812.077916,62700.5811010739,4,3,6
DNK,2021,0.0578119435115686,58790.582191,66494.3530918798,3,3,6
DNK,2022,0.0591351612541381,59916.943238,66201.855836902,3,3,7
ESP,2006,0.0356009247276424,36121.401877,42220.3874645962,18,18,18
ESP,2007,0.0360258918095418,36506.952516,42866.2522521314,18,18,18
ESP,2008,0.0351758370111464,35721.785591,42493.2447284055,18,18,18
ESP,2009,0.0340079991934014,34497.957035,40553.0529695764,18,18,18
ESP,2010,0.0337356227544824,34166.787438,40421.288015711,18,18,18
ESP,2011,0.0327639281211587,33211.08457,40013.2918293218,18,18,20
ESP,2012,0.0319148419175362,32331.28772,38856.0192252724,20,19,22
ESP,2013,0.031731296801683,32160.149154,38439.7041239059,22,21,22
ESP,2014,0.0324427949703929,32795.403886,39148.6216738981,22,20,22
ESP,2015,0.03409928631361,34461.644788,40781.1417093499,20,20,22
ESP,2016,0.0351832012768405,35593.2856,41931.3559320266,20,20,22
ESP,2017,0.0361201916059271,36462.498067,43068.3753167487,20,20,22
ESP,2018,0.0367764615565712,37169.066666,43906.5905023886,20,19,22
ESP,2019,0.0371886427938902,37608.961472,44413.6307013489,20,20,21
ESP,2020,0.0323824721640275,32740.297052,39339.9729888305,25,26,26
ESP,2021,0.0349398251448101,35310.190189,41967.3614591045,24,25,26
ESP,2022,0.0359673760396158,36377.105962,44230.5156927177,21,21,25
EST,2006,0.0250890882901077,25092.831864,33007.0688148492,27,27,26
EST,2007,0.0272856162544381,27194.433994,35712.2384280149,27,27,25
EST,2008,0.0263009101855522,26123.15571,33995.7928184831,27,27,27
EST,2009,0.022623909809931,22425.842487,29080.7991460656,27,27,27
EST,2010,0.0227053080230571,22460.13768,29846.8342983297,28,28,27
EST,2011,0.0251910980466899,24957.910231,32204.2292905721,27,27,27
EST,2012,0.0266120491783448,26368.399898,33500.1468120473,25,25,26
EST,2013,0.0276438489617199,27616.857306,34217.6782785639,23,24,25
EST,2014,0.0290707286551621,29017.295275,35472.8849767347,23,23,25
EST,2015,0.0296728926037267,29690.138126,36193.6990883482,23,24,25
EST,2016,0.03094635010146,30999.777802,37239.4524943432,23,23,25
EST,2017,0.0329828759116552,32767.074699,39346.7439550873,23,24,25
EST,2018,0.0343576174169445,34321.779296,40693.1731911648,23,24,25
EST,2019,0.0355691548812794,35511.41468,42028.4740464323,22,22,24
