country,year,rnndi_pc,nni_pc,gdp_pc,rank_rnndi,rank_nni,rank_gdp
KOR,2017,0.038620709692830546,38778.327946,98.297648,17,18,34
KOR,2017,0.038620709692830546,38778.327946,97.047683,17,18,35
MEX,2017,0.017068735906276188,16944.076127,45.562985,34,34,68
MEX,2017,0.017068735906276188,16944.076127,47.277512,34,34,67
NOR,2017,0.061023549900368866,62123.778278,147.117135,2,2,7
NOR,2017,0.061023549900368866,62123.778278,143.080346,2,2,8
CHE,2017,0.05410487214964231,56335.783383,154.171504,3,3,6
CHE,2017,0.05410487214964231,56335.783383,155.224526,3,3,5
CAN,2018,0.04260355453701411,42680.35443,109.581826,16,16,27
CAN,2018,0.04260355453701411,42680.35443,106.557307,16,16,30
CZE,2018,0.03326356895024952,33929.709151,92.116774,26,25,41
CZE,2018,0.03326356895024952,33929.709151,96.059932,26,25,36
DNK,2018,0.05275370646103244,53743.104773,125.473816,6,5,16
DNK,2018,0.05275370646103244,53743.104773,130.650672,6,5,12
FRA,2018,0.04353306389798828,44577.229061,101.721073,14,14,32
FRA,2018,0.04353306389798828,44577.229061,109.15524,14,14,28
ITA,2018,0.03901526126398395,39457.488091,95.552171,18,17,37
ITA,2018,0.03901526126398395,39457.488091,99.710765,18,17,34
KOR,2018,0.03905564087957408,39229.269501,99.778483,17,18,33
KOR,2018,0.03905564087957408,39229.269501,97.977569,17,18,35
MEX,2018,0.017282326132631774,17081.315611,46.328349,34,34,67
MEX,2018,0.017282326132631774,17081.315611,45.094663,34,34,68
NOR,2018,0.06383476094124982,64856.574353,154.021909,2,2,7
NOR,2018,0.06383476094124982,64856.574353,140.843884,2,2,8
CHE,2018,0.05386674848170619,55902.252522,154.905228,4,3,5
CHE,2018,0.05386674848170619,55902.252522,154.73174,4,3,6
CAN,2019,0.04288497700399763,42952.184137,106.192369,16,16,30
CAN,2019,0.04288497700399763,42952.184137,105.840582,16,16,32
CHL,2019,0.025697836880056203,25597.936942,54.113175,33,33,66
CHL,2019,0.025697836880056203,25597.936942,56.028995,33,33,65
CZE,2019,0.03420203201252488,34915.516384,97.025155,26,25,38
CZE,2019,0.03420203201252488,34915.516384,98.243274,26,25,35
DNK,2019,0.053307980051805315,54214.484148,130.906827,5,5,13
DNK,2019,0.053307980051805315,54214.484148,127.367715,5,5,15
FRA,2019,0.04472401718594418,45712.348796,107.49806,13,13,29
FRA,2019,0.04472401718594418,45712.348796,109.719414,13,13,28
ITA,2019,0.039249235142207205,39655.963231,98.123543,17,17,36
ITA,2019,0.039249235142207205,39655.963231,99.285174,17,17,33
KOR,2019,0.03880070256978765,38939.389279,97.806357,18,18,37
KOR,2019,0.03880070256978765,38939.389279,98.79958,18,18,34
NOR,2019,0.06064335786075002,61708.396562,149.173324,2,2,7
NOR,2019,0.06064335786075002,61708.396562,139.915174,2,2,8
CHE,2019,0.053852541957813624,56057.173401,154.971256,4,3,5
CHE,2019,0.053852541957813624,56057.173401,153.67631,4,3,6
CAN,2020,0.039481353473663716,39621.248388,103.941357,15,16,16
CAN,2020,0.039481353473663716,39621.248388,103.941357,15,16,16
CZE,2020,0.032068005743842026,33180.763383,97.704429,26,25,18
CZE,2020,0.032068005743842026,33180.763383,97.704429,26,25,18
DNK,2020,0.05281760746202323,53812.077916,134.124046,4,3,6
DNK,2020,0.05281760746202323,53812.077916,134.124046,4,3,6
FRA,2020,0.04009245708705172,41148.215636,105.807031,14,14,14
