country,year,b6n_total,population,rnndi_pc
LVA,2019,52480.858,1913826,0.02742195894506606
LUX,2019,43196.405,620003,0.06967128384862653
MEX,2019,2198108.191,127215666,0.017278596733518656
NLD,2019,919299.676,17344876,0.053001225030377845
NZL,2019,192432.87,4970300,0.038716550308834474
POL,2019,1189863.106,38386476,0.030996935118503714
ESP,2019,1751130.556,47087778,0.03718864279389017
SWE,2019,509166.429,10278888,0.04953516654719849
GBR,2019,3003329.441,66630707,0.045074254442475
USA,2019,18369951.853,328329953,0.05594966796404348
AUT,2020,412949.193,8912293,0.04633478645731239
CHL,2020,459615.669,19458310,0.02362053379764224
EST,2020,44266.486,1329479,0.0332961152451449
FIN,2020,237231.176,5529545,0.04290247678606468
DEU,2020,3991549.503,83160877,0.04799792458898672
GRC,2020,263221.201,10698597,0.02460333826949459
HUN,2020,275660.332,9670416,0.02850552985517893
IRL,2020,217474.853,5029875,0.0432366317254405
ISR,2020,320572.112,9215117,0.03478763340715045
JPN,2020,4180291.245,126146099,0.03313849003765071
LVA,2020,51452.427,1900448,0.027073841010119722
LUX,2020,43745.48,630413,0.06939177967459428
MEX,2020,1951675.073,128209170,0.015222585662164416
NLD,2020,858178.547,17441500,0.04920325356190695
NZL,2020,192958.638,5072400,0.03804089543411403
POL,2020,1183445.051,38177724,0.030998313335808075
ESP,2020,1533143.352,47344852,0.03238247216402746
SWE,2020,498554.707,10353444,0.048153513652075576
GBR,2020,2605543.862,66744067,0.03903783480859805
USA,2020,17685780,331526933,0.053346435054192114
AUT,2021,437524.141,8945279,0.04891117884640602
CAN,2021,1677205.99,38239864,0.04386014526620701
CHL,2021,527157.931,19678363,0.026788708542473783
CRI,2021,105255.005,5129585.5,0.02051920276989242
DNK,2021,338210.796,5850189,0.0578119435115686
EST,2021,47704.959,1330932,0.03584327298464535
FIN,2021,245143.347,5541020,0.04424155606729447
DEU,2021,4155958.482,83196076,0.049953780055684356
GRC,2021,286574.935,10569211,0.02711412753515849
HUN,2021,283336.798,9630930,0.02941946395623268
IRL,2021,254657.119,5074668,0.05018202550393445
ISR,2021,353230.57,9371368,0.03769253005537719
ITA,2021,2306083.372,59133173,0.03899813345040693
JPN,2021,4299633.798,125502290,0.03425940513117331
LVA,2021,53258.698,1884488,0.02826162756143844
LTU,2021,99853.138,2808380,0.035555422699207376
LUX,2021,47410.909,640064,0.07407213809869014
MEX,2021,2085678.838,128982939,0.01617019160960505
NLD,2021,969196.661,17533048,0.05527827568828877
POL,2021,1239899.382,37989517,0.03263793488082515
SVK,2021,155212.845,5441991,0.028521334379274055
SVN,2021,74645.285,2107007,0.03542716516841188
ESP,2021,1654290.171,47346836,0.0349398251448101
SWE,2021,530492.527,10415812,0.0509314614165463
GBR,2021,2951318.02,66983488,0.04406038126888824
USA,2021,18993837.564,332048977,0.05720191561981532
AUT,2022,441735.186,9058407,0.0487652173279474
CAN,2022,1775713.945,38935934,0.04560604466300976
CHL,2022,532562.455,19828563,0.026858348484456486
DNK,2022,349522.924,5910577,0.05913516125413813
EST,2022,47792.289,1348840,0.03543214095074286
FIN,2022,243934.091,5556108,0.04390377058905262
FRA,2022,2975047.999,68153150,0.04365239169429439
GRC,2022,303785.219,10436881,0.02910689687848314
HUN,2022,279207.623,9605078,0.0290687512376266
IRL,2022,267131.147,5183966,0.0515302660164052
ISR,2022,376894.236,9557506,0.039434370849466376
ITA,2022,2349695.881,59013671,0.039816128045991245
JPN,2022,4263848.763,124946789,0.03412531684187579
LVA,2022,53397.244,1879374,0.028412250036448306
LTU,2022,93780.545,2831638,0.03311883263326739
LUX,2022,42251.775,653108,0.0646933968042039
MEX,2022,2138930.942,129960600,0.016458303070315157
NLD,2022,981840.647,17700981,0.05546814874271658
NOR,2022,467034.826,5457129,0.08558251527497335
POL,2022,1282303.705,37827355,0.033898846615101695
SVK,2022,149398.55,5431752,0.02750467068452315
SVN,2022,72874.745,2108732,0.03455856173283281
ESP,2022,1718569.927,47781354,0.035967376039615785
SWE,2022,527816.146,10486941,0.05033080151781153
GBR,2022,3068376.858,67603461,0.04538786642890961
USA,2022,19473605.75,333271411,0.058431671926398754
AUT,2023,439379.986,9125730,0.048147379552101584
CAN,2023,1762144.466,40083484,0.043961858854385014
CHL,2023,542750.72,19960889,0.027190708790575408
CZE,2023,372406.23,10878042,0.034234674769595484
DNK,2023,329464.09,5944145,0.055426657660605526
EST,2023,46685.874,1370286,0.03407016783357635
FIN,2023,235065.969,5583901,0.0420970875020886
HUN,2023,278040.673,9592192,0.02898614550250871
IRL,2023,282581.991,5281612,0.05350298185478221
ISR,2023,375487.407,9633000,0.03897928028651511
ITA,2023,2417855.701,58984217,0.040991570694241815
JPN,2023,4387940.756,124351877,0.03528648591287448
KOR,2023,2054519.158,51712619,0.03972955146595843
LVA,2023,54128.679,1883708,0.028735174984657916
LTU,2023,100804.231,2871585,0.035104038710328966
LUX,2023,45002.242,666428,0.06752753785855337
NLD,2023,999332.111,17877121,0.055900058572070976
POL,2023,1302918.682,37698294,0.0345617412289267
PRT,2023,350743.879,10578174,0.03315731798323605
SVK,2023,156919.029,5426739.5,0.02891589489416251
SVN,2023,78298.375,2120937,0.0369168791906596
SWE,2023,524735.184,10536631,0.04980104019966154
GBR,2023,3021461.015,68265209,0.04426062791370052
USA,2023,19759246.999,334914895,0.05899781494937692
AUT,2024,433436.148,9174908,0.04724147075916183
CAN,2024,1795810.444,41288599,0.04349409976347223
CHL,2024,559648.721,20086377,0.027862103802990455
