y0,y1,d_actual,d_hat,unexplained,0_14,15_34,35_54,55_64,65p,tot,rp_g,unemp
1992,1993,-0.000661071046679285,0.00405238051029393,-0.00471345155697322,-0.00233257281740119,-0.00427755300791151,0.00057992668541436,-5.62718001053753e-05,0.00237362829088698,0.000482184303118647,0.00176492988215867,0.00551810897413336
1993,1994,0.00540378665601921,-0.00199054918687319,0.00739433584289239,-0.000475456902872763,-0.00177716580427782,0.00156772032501309,0.000395263682092611,0.00241483156810741,3.75061098790276e-05,0.00082133481527184,-0.00497458298008658
1994,1995,0.00202786332000612,-0.00928165413457926,0.0113095174545854,0.00198032875965201,0.001165831106105,0.00289993579011522,0.000525617308676345,0.00145227027912555,-0.00043790758622662,-0.000943649713364928,-0.0159240800786618
1995,1996,-0.00436573004959981,-0.00341319423812787,-0.000952535811471941,7.58024827928883e-05,-0.000790872521584092,0.001830400304754,0.000186693440094867,0.000606861873715603,-0.000103735940864745,-0.000504395226125217,-0.00471394865091117
1996,1997,-0.00945800012490217,-0.00137424685354066,-0.00808375327136151,-0.00106284587033484,-0.00251984278618712,0.000803390135768898,0.000414920274778721,-0.00106776386610498,-0.000198049738911025,-0.00138043412632757,0.00363637912377726
1997,1998,-0.0136175422722023,-0.00460015253113378,-0.00901738974106849,-0.00025642415060704,-0.00117916001822013,0.00152514753871094,0.00114849518800931,0.00074550473013862,-0.00031282558115247,-0.000477434843745165,-0.00579345539426785
1998,1999,-0.00300280499951638,-0.00416553989178011,0.00116273489226372,-0.000586196268562364,-0.00114855868460041,0.00093913454610125,0.00200261125936123,0.0020311687745624,-0.00023196489785253,0.000758396712623087,-0.00793013133341277
1999,2000,0.00256590158213874,-0.00139512526720965,0.00396102684934839,-0.000598124919759429,-0.000815924932686248,0.000758905280051076,0.00183971722097582,0.00209982939687024,0.000580100668200303,0.00244575340867853,-0.00770538138953994
2000,2001,0.0061874394363334,-0.00255633668183773,0.00874377611817113,-0.000334853076337117,-0.000212197495132997,-0.000106504322882992,0.001229726853571,-0.000264249490349341,-0.000320990589823024,-0.000954505573719587,-0.00159276298716367
2001,2002,-0.00380967741495061,-0.00150265129979569,-0.00230702611515492,-0.00108215684479644,-0.000491242705777267,-0.00171854044949144,0.00167902844906541,-0.00278070015387646,-0.000763239914589258,-0.00281271338768645,0.00646691370735622
2002,2003,-0.00501258335378946,-0.00335364360929542,-0.00165893974449404,-0.000104411827844624,0.00091984642286006,-0.000373674413691971,0.00199886993117122,0.000138430274588414,-0.000287902873844769,-0.000272806490525699,-0.00537199463200805
2003,2004,6.96647067133238e-06,-0.00401981636131932,0.00402678283199065,0.000461212604800491,0.00103929080631126,-0.000118394689363571,0.00114773177030725,-0.00158279794074187,-0.000383886351701986,-0.00187247298246456,-0.00271049957846632
2004,2005,-0.00115437625015874,-0.000250910780039514,-0.000903465470119226,-0.000189259550720037,0.000320178526916296,4.7629310709042e-05,0.00124387836665988,0.000363504037434334,0.000634567330057822,0.0013585069900947,-0.00402991579119155
2005,2006,-0.00481713402313139,-0.00258286544535334,-0.00223426857777804,0.000483936727410941,0.000752466220767256,-1.07804176251763e-05,0.000408949495546554,-0.00275800745519265,-0.000132284186122767,-0.00217657947081034,0.000849433640672842
2006,2007,-0.00242221069090853,-0.000204298158872793,-0.00221791253203574,0.000235082473865929,0.000758430916388761,0.000119945689093675,0.000613454991938075,0.000571787178899045,0.00054049978963958,0.00106656744796403,-0.00411006664666188
2007,2008,-0.00163494577771278,0.000206795549262559,-0.00184174132697534,0.000298617084741139,0.00153012706641275,-0.000416623897841624,0.000491732891928446,-0.000266114251742865,0.000321173089098053,0.000422996491681355,-0.00217511292501469
2008,2009,0.0171075833217018,0.00509879514922534,0.0120087881724764,-0.000583168919245099,0.000581498583497948,-0.0014282920559213,-0.000728427191351568,-0.00150196138515311,0.000500415559657658,-0.000238862652354676,0.00849759321009548
2009,2010,-0.00288719571393134,0.00483190842004944,-0.00771910413398078,-0.00191294300100622,-0.00156617985841001,-0.00160961785058989,0.000777141238981385,0.00293188843459217,0.000274638645425097,0.0019566993581231,0.0039802814529338
2010,2011,-0.00505697633512192,0.00150656705331676,-0.00656354338843868,0.00148097886186237,0.00106747942816796,1.20706074032911e-05,-0.00092050365287518,-0.00123367329215155,0.00144874071786539,0.00051024673591325,-0.000858772352868781
2011,2012,0.00445518166277029,0.00421873096482442,0.000236450697945861,-0.000465537721959774,-0.00047971436154339,-0.00111508777006836,-0.000303058646432774,0.0038549717761497,0.000609616139801551,0.00225040077025499,-0.000132859221377518
2012,2013,-0.003968867222956,0.00117014194436991,-0.00513900916732591,-0.00106440151846533,-0.000748923673872931,-0.00186442068252412,0.000782276189295598,0.0038813297594502,-0.000721034111531868,0.000289218403550044,0.000616097578468317
2013,2014,0.00409842504058616,0.000275134943060321,0.00382329009752584,-0.000413522490880685,-0.00043908546634349,-0.00193503804714425,0.000133763867613062,0.00072272999415532,-0.000772020092588458,-0.00194949029964232,0.00492779747789114
2014,2015,0.00158640003160404,0.00119144348604403,0.00039495654556001,-0.00132386657306459,-0.00119009418298506,-0.00186841077854056,0.00102259886485784,0.00379133598204871,-0.000697589763024136,0.000364065725930345,0.00109340421082148
2015,2016,0.00169294666943054,-0.000884154391511346,0.00257710106094189,-0.000462748076829519,-0.000503012408464693,-0.00117769493809211,0.00125885412649714,0.00467987924673889,-0.000478641100333183,0.00116053108575237,-0.00536132232678024
2016,2017,-0.00759421831055407,-0.00195150691460827,-0.0056427113959458,0.00158902194063692,0.00123068930444271,-0.000467307730999136,-0.000976239772588546,-0.00264160067762249,-2.65012305233556e-05,-0.00301811452762722,0.00235854577967285
2017,2018,-0.00251804960429364,-0.00164213182546865,-0.000875917778824992,0.000445793880065799,0.000319831282585728,-0.000458938869809947,-2.54871562467356e-05,0.00056558775126912,-0.000332869522068575,-0.00141310855426305,-0.000742940637000985
2018,2019,-0.00164695211053079,-0.00155269878884897,-9.4253321681818e-05,0.000755696964518355,0.00050274425065797,-4.8822765655644e-05,-0.000171949917994721,0.000546869996160275,4.33971871800164e-05,-0.000862912507204793,-0.00231772199651043
2019,2022,0.0235629766616013,-0.00368770846265998,0.0272506851242613,0.00183229919529869,-0.00213756826409314,0.00148098550568198,-0.00222304656401171,0.00160570967047238,0.000639289454455173,-0.00363657678048781,-0.00124880067997555
2022,2023,-0.0181264656886508,-0.00288759326016403,-0.0152388724284868,0.00213698136040229,0.0080125499791641,0.000575927227496722,-0.00138554786023211,-0.00104891547597734,-0.00110657822476317,-0.00305361243731912,-0.0070183978289354
2023,2024,0.0108203279734739,0.00518918205620529,0.00563114591726858,-0.00159949146209343,0.00173334761293883,-0.000481105054719446,-9.84856492857097e-05,0.00368569904319225,-4.95690135892321e-05,0.00207863835754918,-7.98517777871529e-05
