table_no,sheet_no,table_title,date,series,value,series_type,data_type,collection_month,frequency,series_id,unit,.__txt
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-09-01,General government - State and local ;  Final consumption expenditure: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2303950V,Index Points,General government - State and local ;  Final consumption expenditure: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-09-01,General government ;  Final consumption expenditure: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2303952X,Index Points,General government ;  Final consumption expenditure: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-12-01,General government - National ;  Final consumption expenditure - Defence ;,2285,Trend,DERIVED,3,Quarter,A2304202F,$ Millions,General government - National ;  Final consumption expenditure - Defence ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-12-01,General government - National ;  Final consumption expenditure - Non-defence ;,2366,Trend,DERIVED,3,Quarter,A2304203J,$ Millions,General government - National ;  Final consumption expenditure - Non-defence ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-12-01,General government - National ;  Final consumption expenditure ;,4350,Trend,DERIVED,3,Quarter,A2304204K,$ Millions,General government - National ;  Final consumption expenditure ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-12-01,General government - State and local ;  Final consumption expenditure ;,7154,Trend,DERIVED,3,Quarter,A2304205L,$ Millions,General government - State and local ;  Final consumption expenditure ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-12-01,General government ;  Final consumption expenditure ;,11482,Trend,DERIVED,3,Quarter,A2304206R,$ Millions,General government ;  Final consumption expenditure ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-12-01,General government - National ;  Final consumption expenditure - Defence: Percentage changes ;,1.2,Trend,DERIVED,3,Quarter,A2304241W,Percent,General government - National ;  Final consumption expenditure - Defence: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-12-01,General government - National ;  Final consumption expenditure - Non-defence: Percentage changes ;,-0.3,Trend,DERIVED,3,Quarter,A2304243A,Percent,General government - National ;  Final consumption expenditure - Non-defence: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-12-01,General government - National ;  Final consumption expenditure: Percentage changes ;,0.4,Trend,DERIVED,3,Quarter,A2304245F,Percent,General government - National ;  Final consumption expenditure: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-12-01,General government - State and local ;  Final consumption expenditure: Percentage changes ;,-0.1,Trend,DERIVED,3,Quarter,A2304247K,Percent,General government - State and local ;  Final consumption expenditure: Percentage changes ; | Trend
