year,y_actual,yhat_full,yhat_cf_Demography,impact_Demography,yhat_cf_RelPrices,impact_RelPrices,yhat_cf_PopGrowth,impact_PopGrowth,yhat_cf_ToT,impact_ToT,yhat_cf_AllFixed
2000,0.185422409721814,0.183084147549471,0.189025366420421,-0.00594121887094976,0.183065865763337,1.82817861344164e-05,0.182529673983734,0.000554473565737318,0.179839643522292,0.00324450402717938,0.18520810704137
2001,0.185118844133793,0.183441632575689,0.188532095685247,-0.00509046310955755,0.183415782220559,2.58503551307798e-05,0.183949349010888,-0.000507716435199035,0.179635777851744,0.00380585472394535,0.18520810704137
2002,0.183537275390522,0.186033726960292,0.189657077094245,-0.00362335013395315,0.185920635095888,0.000113091864404447,0.185426453399881,0.00060727356041082,0.182305122332232,0.00372860462806013,0.18520810704137
2003,0.183883495628723,0.186539753175456,0.188852900184906,-0.00231314700944962,0.186616908400559,-7.71552251027097e-05,0.186028833792447,0.000510919383009345,0.183328724189827,0.00321102898562914,0.18520810704137
2004,0.182806292080721,0.186685553286221,0.187910440228539,-0.00122488694231793,0.186439576628514,0.000245976657707453,0.185557898405985,0.00112765488023617,0.185356851636996,0.00132870164922586,0.18520810704137
2005,0.183811816883052,0.18520810704137,0.18520810704137,0,0.18520810704137,0,0.18520810704137,0,0.18520810704137,0,0.18520810704137
2006,0.18296484863998,0.183760867557253,0.183030874008512,0.000729993548740898,0.183443412344136,0.000317455213116602,0.184767203955839,-0.00100633639858574,0.185249219404642,-0.00148835184738863,0.18520810704137
2007,0.181648197794011,0.180215790416638,0.178154472190429,0.0020613182262087,0.179879053771137,0.000336736645501046,0.184843183483585,-0.00462739306694704,0.182978768846133,-0.00276297842949483,0.18520810704137
2008,0.18082473964625,0.178878634050644,0.175243729069256,0.00363490498138847,0.178553013834882,0.000325620215762379,0.18486837690091,-0.00598974285026571,0.183178889388255,-0.0043002553376108,0.18520810704137
2009,0.184121178394567,0.180389894980227,0.174342348146634,0.0060475468335931,0.179921947779707,0.000467947200519792,0.186813069980379,-0.00642317500015174,0.185300426075331,-0.00491053109510403,0.18520810704137
2010,0.188192230215827,0.184856453990519,0.176157415161745,0.00869903882877402,0.185438665007605,-0.00058221101708536,0.187433327540212,-0.00257687354969269,0.190748061303366,-0.00589160731284638,0.18520810704137
2011,0.186540721176788,0.184911295805782,0.173473320146313,0.0114379756594692,0.184887794938346,2.3500867435966e-05,0.186222795601397,-0.00131149979561496,0.19535808377266,-0.0104467879668784,0.18520810704137
2012,0.18925334786515,0.184500359234295,0.169661088783667,0.0148392704506286,0.185073964522713,-0.000573605288417683,0.188524858613448,-0.00402449937915311,0.195449272824428,-0.0109489135901323,0.18520810704137
2013,0.18850675331162,0.188846255190878,0.170979124226237,0.0178671309646411,0.190045816590355,-0.00119956139947611,0.192682915196193,-0.00383666000531493,0.19803901660122,-0.00919276141034159,0.18520810704137
2014,0.187702263349537,0.194915052638109,0.174104162151355,0.0208108904867535,0.196311083429948,-0.00139603079183898,0.197003532278805,-0.00208847964069642,0.202534487095588,-0.0076194344574792,0.18520810704137
2015,0.191951103232395,0.199585919887449,0.175922643291639,0.0236632765958095,0.201871866548768,-0.00228594666131943,0.201275780385349,-0.00168986049790026,0.20489557647796,-0.00530965659051103,0.18520810704137
2016,0.199724567759589,0.202800475901776,0.176477150626971,0.0263233252748046,0.205904634292936,-0.00310415839116057,0.205424820198275,-0.00262434429649902,0.205802929628515,-0.00300245372673902,0.18520810704137
2017,0.199510876926982,0.20283932106062,0.174304844243457,0.0285344768171628,0.204868656138702,-0.00202933507808289,0.206110041825575,-0.00327072076495535,0.208442528015494,-0.00560320695487487,0.18520810704137
2018,0.200052876503506,0.206079682337475,0.175339606031967,0.0307400763055074,0.207960112394245,-0.0018804300567703,0.208201896009222,-0.0021222136717477,0.211945539618359,-0.00586585728088462,0.18520810704137
2019,0.203693134973003,0.208274315845863,0.175348937091791,0.0329253787540719,0.209776478609656,-0.0015021627637932,0.210255615117921,-0.00198129927205837,0.21465002375959,-0.0063757079137271,0.18520810704137
2020,0.218888305339811,0.212773151362239,0.177581938431318,0.0351912129309207,0.21425865794617,-0.00148550658393143,0.2128960309189,-0.000122879556661376,0.218790933831698,-0.00601778246945892,0.18520810704137
2021,0.224205376627737,0.221842397676603,0.184996276164343,0.0368461215122601,0.222592410692084,-0.000750013015481082,0.213646156032727,0.00819624164387586,0.229500457182025,-0.00765805950542181,0.18520810704137
2022,0.22059554817834,0.216380346134259,0.177147924546917,0.0392324215873421,0.215561990782029,0.000818355352229461,0.216928748641318,-0.000548402507059259,0.224710481473882,-0.00833013533962326,0.18520810704137
2023,0.21322794514463,0.211790690481384,0.169353309747113,0.0424373807342712,0.210335227746203,0.0014554627351811,0.22105921552917,-0.00926852504778602,0.219832425463036,-0.00804173498165178,0.18520810704137
2024,0.222301023190676,0.218331114531266,0.172945176593467,0.0453859379377992,0.217594603975053,0.000736510556212711,0.224244146739511,-0.0059130322082446,0.225417523327137,-0.00708640879587116,0.18520810704137
