year,gfce_nom,gfce_real,gfcf_nom,gfcf_real,gdp_nom,gdp_real,pop_total,0_14,15_34,35_54,55_64,65p
1996,,,,,132271,287414.75,36449534,0.213697437119498,0.302280846718095,0.279762753619841,0.0839699624143343,0.120289000128232
1997,,,,,138963.5,298662,36846074,0.212146944067908,0.297583237769104,0.283477908664028,0.0853669240310379,0.121424985467923
1998,,,,,147370.75,312589.25,37215168,0.21047982371059,0.293034711008157,0.287089930643333,0.0869452477011524,0.122450286936767
1999,,,,,155559.25,328305.25,37624528,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901
2000,,,,,165689.5,341179.75,38057604,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981
2001,,,,,176975.5,348089.25,38549402,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625
2002,,,,,189106.25,361941.75,38990420,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455
2003,,,,,200971.25,373128.5,39441474,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987
2004,,,,,215953,388890.25,39865444,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407
2005,,,,,231339.75,401156.25,40353688,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803
2006,,,,,250033.75,412209.5,40901932,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777
2007,,,,,272486,427764,41655244,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023
2008,,,,,294911.75,443104.75,42498398,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086
2009,,,,,315368.5,451490.75,43383306,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804
2010,,,,,325781.25,461513.5,44063500,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941
2011,,,,,354677.25,472622.5,44680048,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008
2012,,,,,374809.75,491134,45466930,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511
2013,,,,,384404,503914.25,46256258,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975
2014,,,,,400005.25,516992.25,46951372,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778
2015,,,,,405876.75,528315.25,47631990,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441
2016,,,,,414440.75,542893.25,48381814,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733
2017,,,,,439257.75,555269.25,49185176,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383
2018,,,,,460507.75,571252.5,49926516,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341
2019,,,,,486673.75,583657.25,50669652,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468
2020,,,,,495047.25,582959.25,51298496,0.185475691139171,0.272314377403969,0.26171738056414,0.117220668613754,0.163271882278966
2021,,,,,521231.75,595266.25,51370824,0.184886347160793,0.265631401980237,0.264087490595829,0.117430975995246,0.167963784267895
2022,,,,,583146.75,620520,52037442,0.183102697476944,0.26586352957165,0.264289432213059,0.11635256782991,0.170391772908438
2023,,,,,641618,641878.25,53319844,0.179316016003348,0.272137930486068,0.263337829720582,0.11416102417704,0.171047199612962
2024,,,,,668390,650941.25,54393624,0.176261541242407,0.275079262966557,0.263049875110362,0.112783807160928,0.172825513519746
