year,gov_gdp,0_14,15_34,35_54,55_64,65p,pop_total,rp_g,gfce_nom,gfce_real,gdp_nom,gdp_real,tot_index,tot,unemp,is_outlier,p_gfce,p_gdp,dln_pop
2003,0.212266177847656,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987,39441474,0.349513330851013,36954.25,68916,201301.5,383330.5,53.9,-0.656571509716848,6.136446425,FALSE,0.536221632131871,0.525138229282564,0.011501927331917
2004,0.209363933092308,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407,39865444,0.139316086310887,39477.25,72014.75,216298,399503.5,57.75,-0.445465687020052,5.64733513333333,FALSE,0.548182837543698,0.54141703389332,0.0106919812205746
2005,0.21182584903075,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803,40353688,0.29949924012873,42522.5,74213.5,231712.75,412109.5,63.375,-0.13703185515785,5.19026225833333,FALSE,0.572975267303119,0.562260151731518,0.0121729073052421
2006,0.212412419007234,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777,40901932,0.0956170613483497,45747.5,76543.75,250446.75,423528.75,70.125,0.233088743076793,4.96704536666667,FALSE,0.597664734220626,0.591333528125304,0.0134945083098899
2007,0.211222252546474,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023,41655244,0.083240904691632,49496.5,78900.5,272975.5,439578.25,75.2,0.511364600268025,4.517008975,FALSE,0.627328090443026,0.620994100595287,0.0182499679529258
2008,0.211897624501369,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086,42498398,0.0896051634462836,53327,81335.5,295559,455508.5,79.4,0.741661861391802,4.23845944166667,FALSE,0.655642370182762,0.648855070761577,0.0200391140524268
2009,0.217097839657379,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804,43383306,-0.0130946410117419,58066.5,84704.5,316385,464413,85.1,1.0542081443455,4.91560689166667,FALSE,0.6855184789474,0.681257845925932,0.0206083316277237
2010,0.229146778773192,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941,44063500,0.668557601332629,61309,86100.25,326832,474676.75,81.875,0.877372747411171,5.46524735,FALSE,0.712065295977654,0.688535935244353,0.0155570626204131
2011,0.22378924586109,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008,44680048,0.274467480824407,66161.75,88787.5,355770,486044,98.9,1.81089914518077,5.03642920833333,FALSE,0.745169646628185,0.73197076807861,0.0138952731561801
2012,0.224606658813581,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511,45466930,0.66503998812666,70934.25,92164,376073,505254.5,99.075,1.82049486439426,5.16509383333333,FALSE,0.769652467340827,0.744323900133497,0.017458200006736
2013,0.220498768879661,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975,46256258,1.06425984272393,72463,92690.75,386030.5,518666.5,89.875,1.31603419717075,5.43713300833333,FALSE,0.781771643880323,0.744274982093503,0.0172115143998894
2014,0.218690672273561,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778,46951372,1.18913053898484,75081.75,94220.25,401767.25,532157.75,86.65,1.13919880023642,5.84898696666667,FALSE,0.796874875623871,0.754977729817897,0.0149156648912836
2015,0.22240829654276,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441,47631990,1.77020179687951,77908.75,96297,407543.25,543675.75,77.525,0.638850584104401,6.160718175,FALSE,0.809046491583331,0.749607187740119,0.0143921665259938
2016,0.231214748078889,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733,48381814,2.30701810103539,82773.75,100919.75,416067.75,558657.5,69.85,0.218009755741307,5.87422403333333,FALSE,0.820193767820471,0.744763562647955,0.0156194049810381
2017,0.233971293764707,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383,49185176,1.60751004195441,87631.25,105867.25,441001.75,571469.5,79.675,0.756740848727287,5.69797135833333,FALSE,0.827746541069122,0.771697789645817,0.0164682779735017
2018,0.236850972732972,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341,49926516,1.51579894345216,92118.75,109616.5,462215.75,587894.25,81.25,0.843102321648704,5.50267155833333,FALSE,0.840373027783226,0.786222607212096,0.0149599671041329
2019,0.241602830028427,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468,50669652,1.2669878445606,99122.25,115122.75,488617,600792.75,85.9,1.09807428932146,5.1243179,FALSE,0.861013570297791,0.813287111071164,0.0147749071058456
2020,0.257884653803902,0.185475691139171,0.272314377403969,0.26171738056414,0.117220668613754,0.163271882278966,51298496,1.26680670899779,108361,123616.5,496795.75,599990.5,86.55,1.13371553211442,5.62917083333333,TRUE,0.876590099218146,0.82800602676209,0.0123342825131374
2021,0.262641747034442,0.184886347160793,0.265631401980237,0.264087490595829,0.117430975995246,0.167963784267895,51370824,0.787442941765988,116859,131734.75,522519.75,612032,95.2,1.60801822466697,6.23922885833333,TRUE,0.887078010927261,0.853745800873157,0.00140895083292847
2022,0.258469326219235,0.183102697476944,0.26586352957165,0.264289432213059,0.11635256782991,0.170391772908438,52037442,-0.245240929669514,128655.5,140797.25,584941.75,638062,106.925,2.25093141197084,4.30455673333333,FALSE,0.913764295822539,0.916747510430021,0.0128931130985528
2023,0.251533642313157,0.179316016003348,0.272137930486068,0.263337829720582,0.11416102417704,0.171047199612962,53319844,-0.646242368421509,136872,143277.5,644055,660929.25,106.725,2.23996487572686,3.560699325,FALSE,0.955293050199787,0.9744689011721,0.0243450716351532
2024,0.261924678699111,0.17632248186255,0.275094223838052,0.263041434513118,0.112801233317911,0.172740626468369,54388572,-0.154171061991973,148458.75,148378.5,670049.5,670006,100.025,1.87258591155321,3.87483574166667,FALSE,1.00054084655122,1.00006492479172,0.0198454886891568
2025,0.271156557770968,0.173979771704246,0.275554519415541,0.263270549960729,0.11192506935454,0.175270089564944,55222052,0.0961274273372744,160195.25,155028.75,693951.5,678775,95.9,1.64640110152093,4.0927698,FALSE,1.03332607661482,1.02235866082281,0.0152083079967369
