year,gov_gdp,0_14,15_34,35_54,55_64,65p,pop_total,rp_g,dln_pop,gfce_nom,gfce_real,gdp_nom,gdp_real,tot_index,tot,p_gfce,p_gdp,bin
1996,0.325432245303551,0.213697437119498,0.302280846718095,0.279762753619841,0.0839699624143343,0.120289000128232,36449534,-0.556625797588257,0.0121385498322191,688723,635499,2116333,8048125,64.4916666666667,-0.774454835824627,1.08375150865698,0.262959757707541,2
1997,0.320313283563092,0.212146944067908,0.297583237769104,0.283477908664028,0.0853669240310379,0.121424985467923,36846074,-0.508633453056652,0.0108203991959606,712190,648517,2223417,8363000,66.5333333333333,-0.638661705717914,1.09818246861686,0.265863565706086,2
1998,0.319259436752922,0.21047982371059,0.293034711008157,0.287089930643333,0.0869452477011524,0.122450286936767,37215168,-0.443168210003082,0.00996734717801573,752793,674457,2357935,8752921,64.575,-0.768912259085578,1.11614676695475,0.269388356184181,2
1999,0.327128299638361,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901,37624528,0.133363319617649,0.0109397580294228,814205,706848,2488947,9193129,61.7,-0.960131156582787,1.15188130970166,0.270739918911178,3
2000,0.324632057966925,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981,38057604,0.088615503513625,0.0114447285147712,860609,730449,2651029,9553691,63.3833333333334,-0.848171106453986,1.17819176971972,0.277487412979968,3
2001,0.324125860419485,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625,38549402,0.097734196479664,0.0128396809127338,917799,743778,2831613,9747256,61.5666666666667,-0.968999279365267,1.23396900688109,0.29050360429643,3
2002,0.32111905566128,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455,38990420,0.0283661551775776,0.011375387361948,971608,768626,3025694,10135153,61.8166666666667,-0.952371549148119,1.26408422301614,0.298534615116318,3
2003,0.321797972528971,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987,39441474,0.138132530944231,0.011501927331917,1034752,790247,3215533,10450305,63.4916666666667,-0.840965756693222,1.30940326252425,0.307697526531522,3
2004,0.320087101681141,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407,39865444,-0.0249272733699097,0.0106919812205746,1105988,825266,3455272,10890568,69.5833333333333,-0.435803397068701,1.34015941526732,0.317271973325909,3
2005,0.321626247330406,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803,40353688,0.0984278372658129,0.0121729073052421,1190469,850593,3701405,11234060,73.8833333333333,-0.149806437333745,1.39957535507581,0.32948061520056,3
2006,0.320263295508288,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777,40901932,-0.0851529919843591,0.0134945083098899,1281221,877649,4000524,11543602,78.7,0.17055449818332,1.4598330312004,0.346557686240395,3
2007,0.317821863252658,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023,41655244,-0.104496986216702,0.0182499679529258,1385628,904543,4359763,11978099,82.825,0.444912046766272,1.53185420704157,0.363977873283565,3
2008,0.316530520337178,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086,42498398,-0.0853041063525768,0.0200391140524268,1493573,932373,4718575,12407913,87.8,0.77580387808753,1.60190503156998,0.380287563267086,3
2009,0.322302854896067,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804,43383306,-0.163795910931519,0.0206083316277237,1626317,970879,5045928,12643300,89.775,0.907162946803003,1.67509751472635,0.399098969414631,4
2010,0.329523324608791,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941,44063500,0.446795363159024,0.0155570626204131,1717640,986922,5212499,12923656,92.95,1.11833512056079,1.74040096380464,0.403330063876662,4
2011,0.326682395747263,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008,44680048,0.0907184726792294,0.0138952731561801,1853870,1018199,5674839,13234915,107.691666666667,2.09881694569866,1.82073445367752,0.428777895437938,4
2012,0.331018936940675,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511,45466930,0.422844938427588,0.017458200006736,1985106,1056152,5996956,13752976,109.316666666667,2.20689719211012,1.87956468387126,0.436047877928384,4
2013,0.330039164524823,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975,46256258,0.786158634580529,0.0172115143998894,2029894,1063105,6150464,14110548,103.633333333333,1.82889345850694,1.90940123506145,0.435877047439972,4
2014,0.328518799649879,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778,46951372,0.897511027971293,0.0149156648912836,2102542,1080362,6400066,14476659,98.5416666666667,1.49024201975102,1.94614582889809,0.442095513888944,4
2015,0.335923417284699,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441,47631990,1.41881551292164,0.0143921665259938,2181486,1103671,6493998,14793668,91.0666666666667,0.993072886258272,1.9765727286483,0.43897145724779,4
2016,0.349546118230342,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733,48381814,1.88358660881832,0.0156194049810381,2317848,1157020,6631022,15201352,83.6,0.496458010439432,2.00329121363503,0.436212647401363,4
2017,0.349237884870844,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383,49185176,1.26285454290451,0.0164682779735017,2454469,1214026,7028072,15547812,92.0166666666667,1.05625826108344,2.02175983051434,0.452029648930666,4
2018,0.350371452310811,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341,49926516,1.1873598854662,0.0149599671041329,2581574,1257141,7368106,15995594,92.8666666666667,1.11279254382174,2.0535278063479,0.460633471942336,4
2019,0.330133888668572,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468,50669652,1.25944566916147,0.0147749071058456,2570676,1206500,7786768,16343157,94.5166666666667,1.22253556325492,2.13068876916701,0.476454334985584,4
