year,gfce_nom,gfce_real,gfcf_nom,gfcf_real,gdp_nom,gdp_real,pop_total,0_14,15_34,35_54,55_64,65p,spend_pc,gdp_pc,age_sum
2012,70933.75,88042.75,13534.25,17464.5,126320.495833333,150434.998913044,45466930,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511,0.00193641290493992,0.00330866849626847,1
2013,72462.75,88546.5,12656.25,15891,129529.079166667,154329.176086957,46256258,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975,0.00191425990403288,0.00333639560915102,1
2014,75081.75,90007.5,12780.75,16012.25,134763.354166667,158318.023913043,46951372,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778,0.00191703663100623,0.00337195735010775,1
2015,77908,91991.25,12732.25,15635.75,136720.652083333,161770.684782609,47631990,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441,0.00193129134432553,0.00339626131057318,1
2016,82774,96407.5,13427.25,16041.25,139583.725,166214.104347826,48381814,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733,0.00199263921770275,0.00343546656493339,1
2017,87636.5,101134,15550.25,18761.75,147917.983333333,169985.970652174,49185176,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383,0.00205618863699908,0.0034560407113756,1
2018,92125.75,104715.75,17357,20499.5,155050.06875,174866.266304348,49926516,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341,0.00209739750316245,0.00350247284037099,1
2019,99132.75,109975.5,18928.25,21595,163835.477083333,178650.004347826,50669652,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468,0.00217044119426753,0.00352577918529668,1
2020,108364,118087.25,19754.5,22157,166630.004166667,178422.352173913,51298496,0.185475691139171,0.272314377403969,0.26171738056414,0.117220668613754,0.163271882278966,0.00230196319985678,0.00347812053152422,1
2021,116866,125844.5,20373.75,23149,175442.95625,182180.669565217,51370824,0.184886347160793,0.265631401980237,0.264087490595829,0.117430975995246,0.167963784267895,0.00244972710579842,0.00354638402462101,1
2022,128652.25,134492.5,22591.75,24568.75,196269.466666667,189898.390217391,52037442,0.183102697476944,0.26586352957165,0.264289432213059,0.11635256782991,0.170391772908438,0.00258453326741157,0.00364926450876258,1
2023,136816,136809,25039.75,25176,215896.529166667,196411.588043478,53319844,0.179316016003348,0.272137930486068,0.263337829720582,0.11416102417704,0.171047199612962,0.00256581770944416,0.00368364896272912,1
2024,148514.75,141805.75,26630.5,25447,224827.758333333,199160.315217391,54393624,0.176261541242407,0.275079262966557,0.263049875110362,0.112783807160928,0.172825513519746,0.00260702890471133,0.00366146435136205,1
