year,cofog_group_name,exp_gdp_f,0_14,15_34,35_54,55_64,65p
2001,073 Hospital services,0.757375421359325,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625
2002,073 Hospital services,0.752436627647448,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455
2003,073 Hospital services,0.771476797064661,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987
2004,073 Hospital services,0.762083018298124,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407
2005,073 Hospital services,0.785787245978813,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803
2006,073 Hospital services,0.788465813117941,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777
2007,073 Hospital services,0.79787913572946,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023
2008,073 Hospital services,0.813755918994095,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086
2009,073 Hospital services,0.84372046981173,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804
2010,073 Hospital services,0.850694391727672,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941
2011,073 Hospital services,0.828027136301542,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008
2012,073 Hospital services,0.813907608489605,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511
2013,073 Hospital services,0.834770507328901,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975
2014,073 Hospital services,0.835080365687442,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778
2015,073 Hospital services,0.856810838585073,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441
2016,073 Hospital services,0.894708228247129,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733
2017,073 Hospital services,0.906964739797014,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383
2018,073 Hospital services,0.942236231338754,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341
2019,073 Hospital services,0.934531400768376,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468
1999,074 Mental health institutions,0.016362839480442,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901
2000,074 Mental health institutions,0.0257931594648816,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981
2001,074 Mental health institutions,0.0260785492173822,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625
2002,074 Mental health institutions,0.0299013904146543,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455
2003,074 Mental health institutions,0.0216110160042934,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987
2004,074 Mental health institutions,0.0216633598646699,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407
2005,074 Mental health institutions,0.0217330275212887,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803
2006,074 Mental health institutions,0.0222748962575903,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777
2007,074 Mental health institutions,0.0221039499436267,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023
2008,074 Mental health institutions,0.0177090603498791,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086
2009,074 Mental health institutions,0.0177113045340551,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804
2010,074 Mental health institutions,0.0187264172967593,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941
2011,074 Mental health institutions,0.0189500035570651,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008
2012,074 Mental health institutions,0.0202337993655121,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511
2013,074 Mental health institutions,0.0191255334880469,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975
2014,074 Mental health institutions,0.0198290799186378,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778
2015,074 Mental health institutions,0.0190477547646511,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441
2016,074 Mental health institutions,0.019314069465635,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733
2017,074 Mental health institutions,0.0232900314773086,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383
2018,074 Mental health institutions,0.0227083409453671,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341
2019,074 Mental health institutions,0.0232973580491599,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468
1999,075 Community health services,0.64340811415514,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901
2000,075 Community health services,0.679459202862899,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981
