year,gov_gdp,0_14,15_34,35_54,55_64,65p,pop_total,rp_g,gfce_nom,gfce_real,gdp_nom,gdp_real,tot_index,tot,unemp,is_outlier,p_gfce,p_gdp,dln_pop
1990,0.0693113241036564,0.220039017580179,0.326805166653306,0.256385243638372,0.0858202762967849,0.110950295831359,34130256,0.483788357494254,7029,14137.5,101412,246102,52.275,-0.530101408134451,6.138050925,FALSE,0.497188328912467,0.412073042884658,0.0148004693689643
1991,0.0726454678732117,0.219018868046792,0.323202057667549,0.260282783488764,0.0846340519077836,0.112862238889111,34568072,0.371768031995421,7544.25,14847.25,103850.25,245161.25,49.55,-0.692365534624617,8.36648649166667,FALSE,0.50812440014144,0.423599773618384,0.0127462178556783
1992,0.0767457678355502,0.218156566573992,0.319334604790363,0.264039897852435,0.0839377903366024,0.114531140446608,34957270,0.592159053262946,8124,15573.25,105856,246211,47.875,-0.792105869256186,10.2757471833333,FALSE,0.52166375034113,0.42994017326602,0.0111959770147045
1993,0.0769649794937131,0.217255271506217,0.314846013633945,0.267912358331318,0.083588831814897,0.116397524713623,35269616,0.822614818937737,8548,16058.75,111063.5,256174.75,45.975,-0.905244159286026,10.9311379166667,FALSE,0.532295477543395,0.433545851025521,0.00889539825558217
1994,0.0768317103395638,0.216269013541234,0.31059846334845,0.271667725891844,0.0835333280765212,0.117931469141951,35610936,0.897947204151811,8959,16605.25,116605.5,266371.75,44.675,-0.982654568253811,10.5253514416667,FALSE,0.539528161274296,0.437754754398693,0.00963092494678008
1995,0.0777045474236505,0.215251230194122,0.306345356776012,0.275687116416536,0.0836775270173945,0.119038769595935,36009764,0.666590229151814,9641.25,17654,124075.75,276722.5,46.2,-0.891846203887755,8.91621323333333,FALSE,0.546122691741248,0.448376080730696,0.0111373422085137
1996,0.0767137165365046,0.213697437119498,0.302280846718095,0.279762753619841,0.0839699624143343,0.120289000128232,36449534,0.532222818474804,10147,18228.25,132271,287414.75,47.625,-0.806992486365375,8.39422225833333,FALSE,0.55666342078916,0.460209505601226,0.0121385498322191
1997,0.0737999546643543,0.212146944067908,0.297583237769104,0.283477908664028,0.0853669240310379,0.121424985467923,36846074,0.333806370144685,10255.5,18411.25,138963.5,298662,49.05,-0.722138768842995,8.58624945,FALSE,0.557023558965307,0.465286845999826,0.0108203991959606
1998,0.0737866910496147,0.21047982371059,0.293034711008157,0.287089930643333,0.0869452477011524,0.122450286936767,37215168,0.257060083982849,10874,19344,147370.75,312589.25,48.725,-0.741491371084942,7.98119551666667,FALSE,0.562138130686518,0.471451753379235,0.00996734717801573
1999,0.072960945748967,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901,37624528,0.380780777304895,11349.75,19959.5,155559.25,328305.25,46.4,-0.879936910200403,7.28263334166667,FALSE,0.568638993962775,0.473825045441704,0.0109397580294228
2000,0.0745582468385849,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981,38057604,0.630203118010192,12353.5,20924,165689.25,341180,48.15,-0.775730590436078,6.61505785833333,FALSE,0.590398585356528,0.485635881352952,0.0114447285147712
2001,0.0748154405553311,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625,38549402,0.490627435458834,13240.5,21576.5,176975.5,348089.25,49.075,-0.720650107132076,6.34937130833334,FALSE,0.613653743656293,0.508419895184928,0.0128396809127338
2002,0.0747081002189248,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455,38990420,0.183904113194082,14127.75,22765.25,189106,361941.75,49.775,-0.678967579226346,6.71944575,FALSE,0.6205840041291,0.522476337697986,0.011375387361948
2003,0.0749834553244,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987,39441474,0.14321027330132,15069.5,23606,200971,373128.25,50.45,-0.638773713031535,6.13610181666667,FALSE,0.638375836651699,0.538611053974069,0.011501927331917
2004,0.0745552293543996,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407,39865444,-0.162077897631748,16100.5,24863.75,215954,388890.5,54.1,-0.421429103237369,5.647074125,FALSE,0.647549142828415,0.555307985152633,0.0106919812205746
2005,0.0760141524216678,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803,40353688,-0.112729833111102,17585,26080.75,231338.5,401156.5,59.4,-0.105832820522552,5.19016013333333,FALSE,0.674252082474622,0.57667892705216,0.0121729073052421
2006,0.0741062179792268,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777,40901932,-0.50335842157028,18529,26685,250033,412209.5,65.675,0.267821268918103,4.96699264166667,FALSE,0.694360127412404,0.606567776822223,0.0134945083098899
2007,0.0751425305199726,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023,41655244,-0.493310490702495,20475.25,28063.75,272485.5,427763.75,70.4,0.549178332281784,4.51702130833333,FALSE,0.729597790744288,0.636999979544784,0.0182499679529258
2008,0.0746783990098716,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086,42498398,-0.526255025992516,22023.5,28942.75,294911.25,443104.25,74.35,0.784386882606977,4.238214325,FALSE,0.76093322161854,0.665557258816633,0.0200391140524268
2009,0.0759108950684078,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804,43383306,-0.65716215852404,23940,30193.75,315369.75,451490.75,79.675,1.10147182703271,4.915455375,FALSE,0.792879321051542,0.698507665993157,0.0206083316277237
2010,0.0771330455635492,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941,44063500,-0.371134462447476,25128.5,30873.75,325781.25,461513.5,76.675,0.922832421722438,5.46514206666667,FALSE,0.813911494392486,0.70589755229262,0.0155570626204131
2011,0.076501946487969,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008,44680048,-0.705235771316855,27133.5,31937.75,354677.25,472622.5,92.575,1.86962126986689,5.03638585,FALSE,0.849574563017119,0.750445122693058,0.0138952731561801
2012,0.0787986438453109,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511,45466930,-0.509573309103701,29534.5,33819,374809.75,491133.75,92.8,1.88301922526516,5.16510078333333,FALSE,0.873310860758745,0.763152094516005,0.017458200006736
2013,0.0783095389225919,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975,46256258,-0.338584594902567,30102.5,34164,384404,503914.25,84.2,1.37091959670904,5.43725285,FALSE,0.881117550638099,0.762836137299154,0.0172115143998894
2014,0.0788684877295131,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778,46951372,-0.545337451762536,31547.75,35701,400004.5,516992,81.15,1.18930286797693,5.84867333333333,FALSE,0.883665723649198,0.773715067157712,0.0149156648912836
