search_curvature,separation_threshold,separation_dispersion,fitted_loss,heldout_AUS_post_jfr_gap_pp,jfr_pre_gap_data_pp,jfr_pre_gap_model_pp,jfr_post_gap_data_pp,jfr_post_gap_model_pp,jfr_did_data_pp,jfr_did_model_pp,f_N_pre_model,f_R_pre_model,f_N_post_model,f_R_post_predicted,sep_N_pre_model,sep_R_pre_model,sep_N_post_model,sep_R_post_model,health_N,health_R,differential_health_pct_wage,common_sep_shock,mu_pre,kappa_common,mu_post
60.0,0.32,0.04,13.323560744622428,-5.100481995550501,-1.3399999999999994,-1.3674245392980469,-3.05,-8.150481989486227,-1.7100000000000004,-6.78305745018818,0.10033977816827365,0.08666553277529318,0.08229999993935726,0.0007951800444949875,0.048,0.0484,0.05499999999999998,0.056099582362211756,0.0,1.2360679774997896,224.739632272689,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.32,0.08,13.339898264589413,-5.1710756733536565,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221075667289382,-1.7100000000000004,-6.853651127991335,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.924326646343685e-5,0.048,0.0484,0.05499999999999998,0.056077209310765125,0.0,1.9998454541360715,363.6082643883766,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.32,0.16,13.115922251261702,-5.17108018151093,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221080175446655,-1.7100000000000004,-6.853655636148608,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.9198184890702e-5,0.048,0.0484,0.05499999999999998,0.056385132357043045,0.0,1.9999999544021445,363.63635534584444,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.32,0.32,12.560002596381597,-5.171081522891638,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221081516827363,-1.7100000000000004,-6.853656977529316,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.918477108362965e-5,0.048,0.0484,0.05499999999999998,0.057160972461015806,0.0,1.9999999425446848,363.63635318994267,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
80.0,-0.2,0.08,0.00014865012288920604,-1.8374628074299217,-1.3399999999999994,-1.3521616254825175,-3.05,-4.887462797712523,-1.7100000000000004,-3.5353011722300054,0.10025558182866681,0.08673396557384164,0.08229999990282601,0.03342537192570078,0.048,0.0484,0.05499999999999998,0.09259999976113313,0.0,0.20468763785818134,37.215934156032965,0.006999999999999999,0.07436688273326209,0.9820763782784732,0.06810248079740831
80.0,-0.2,0.16,3.2119899373866208,-5.170909184271466,-1.3399999999999994,-1.3521616254825175,-3.05,-8.220909174554066,-1.7100000000000004,-6.868747549071548,0.10025558182866681,0.08673396557384164,0.08229999990282601,9.090815728534271e-5,0.048,0.0484,0.05499999999999998,0.0746783893378309,0.0,1.9999999545623144,363.63635537496623,0.006999999999999999,0.07436688273326209,0.9820763782784732,0.06810248079740831
80.0,-0.2,0.32,9.562134220657153,-5.170851867984886,-1.3399999999999994,-1.3521616254825175,-3.05,-8.220851858267487,-1.7100000000000004,-6.868690232784969,0.10025558182866681,0.08673396557384164,0.08229999990282601,9.148132015114874e-5,0.048,0.0484,0.05499999999999998,0.06167753960220134,0.0,1.9999999483884243,363.63635425244075,0.006999999999999999,0.07436688273326209,0.9820763782784732,0.06810248079740831
80.0,-0.1,0.08,0.00014865012288888498,-2.766514693202344,-1.3399999999999994,-1.3521616254825175,-3.05,-5.816514683484945,-1.7100000000000004,-4.464353058002427,0.10025558182866681,0.08673396557384164,0.08229999990282601,0.02413485306797656,0.048,0.0484,0.05499999999999998,0.09259999984204624,0.0,0.22784873933678643,41.427043515779346,0.006999999999999999,0.07436688273326209,0.9820763782784732,0.06810248079740831
80.0,-0.1,0.16,7.164308530298267,-5.17086005218162,-1.3399999999999994,-1.3521616254825175,-3.05,-8.220860042464222,-1.7100000000000004,-6.8686984169817045,0.10025558182866681,0.08673396557384164,0.08229999990282601,9.139947818379597e-5,0.048,0.0484,0.05499999999999998,0.0658340517071123,0.0,1.9999999545491893,363.6363553725799,0.006999999999999999,0.07436688273326209,0.9820763782784732,0.06810248079740831
80.0,-0.1,0.32,10.515029236850868,-5.170849377437047,-1.3399999999999994,-1.3521616254825175,-3.05,-8.220849367719648,-1.7100000000000004,-6.86868774223713,0.10025558182866681,0.08673396557384164,0.08229999990282601,9.150622562952814e-5,0.048,0.0484,0.05499999999999998,0.06017334339354737,0.0,1.9999999464794007,363.6363539053456,0.006999999999999999,0.07436688273326209,0.9820763782784732,0.06810248079740831
80.0,0.05,0.04,0.00014865012288882253,0.4443050192759368,-1.3399999999999994,-1.3521616254825175,-3.05,-2.605694971006664,-1.7100000000000004,-1.2535333455241466,0.10025558182866681,0.08673396557384164,0.08229999990282601,0.05624305019275937,0.048,0.0484,0.05499999999999998,0.09260000013676635,0.0,0.02948483486275713,5.360879065955841,0.006999999999999999,0.07436688273326209,0.9820763782784732,0.06810248079740831
