Sweep,Value,label,match_elasticity,vacancy_elasticity,delta,risk_aversion,common_search_cost_multiplier,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_R_post,kappa_N_post,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,did_full_pp,did_benefit_normal_pp,did_covid_only_pp,did_benefit_covid_env_pp,did_interaction_pp,elasticity_full_logdid,elasticity_benefit_normal_logdid,elasticity_covid_only_logdid,elasticity_benefit_covid_env_logdid,elasticity_ratio_full_to_marginal,observed_did_over_marginal,shock_gap_full_pp
common_search_cost_multiplier,0.8,common_search_cost_multiplier=0.8,0.42,0.5800000000000001,0.01,0.0,0.8,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.057680264321614716,0.6208498695508443,1.1515305286481172,0.4966798956406755,0.09999397681810164,0.08661201473906298,0.08210000109485063,0.031200000012586715,-3.7518039003225234,-1.5653044277815613,-3.02036310018954,-0.7314408001329842,0.8338636276485774,-1.1885765525593617,-0.29390102546101426,-0.8906924762669952,-0.29788407629236674,3.990064079131238,5.129333637992853,-5.090000108226392
common_search_cost_multiplier,0.9,common_search_cost_multiplier=0.9,0.42,0.5800000000000001,0.01,0.0,0.9,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05769491060843626,0.6208498695508443,1.1529235696164344,0.5587648825957598,0.09999397681810164,0.08661201473906298,0.08210000001380342,0.0312000000118339,-3.7518037922930847,-1.5653044277815613,-3.020362992176572,-0.7314408001165119,0.8338636276650496,-1.1885710527480604,-0.29390102546101426,-0.8906869764555142,-0.29788407629254615,3.9900456162040294,5.129333490414339,-5.0900000001969525
common_search_cost_multiplier,1.0,common_search_cost_multiplier=1.0,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.1956687086133548,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.03120000001196137,-3.7518037737682053,-1.5653044277815613,-3.0203629736489015,-0.7314408001193029,0.8338636276622584,-1.1879395364915715,-0.29390102546101426,-0.890055460199055,-0.2978840762925166,3.9879256094408917,5.129333465068206,-5.0899999816720705
common_search_cost_multiplier,1.2,common_search_cost_multiplier=1.2,0.42,0.5800000000000001,0.01,0.0,1.2,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.060195100247318264,0.6208498695508443,1.4110166019428068,0.7450198434610131,0.09999397681810164,0.08661201473906298,0.08209999440627856,0.03120000001219038,-3.7518032315049528,-1.5653044277815613,-3.0203624313806317,-0.7314408001243211,0.8338636276572404,-1.1873767323019024,-0.29390102546101426,-0.8894926560094378,-0.2978840762924645,3.9860362698143303,5.12933272366987,-5.089999439408818
common_search_cost_multiplier,1.4,common_search_cost_multiplier=1.4,0.42,0.5800000000000001,0.01,0.0,1.4,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.062175599852619626,0.6208498695508443,1.646186325069495,0.869189817371182,0.09999397681810164,0.08661201473906298,0.0821000052837332,0.031200000012323714,-3.751804319237082,-1.5653044277815613,-3.0203635191098366,-0.7314408001272451,0.8338636276543162,-1.1873769245286465,-0.29390102546101426,-0.8894928482362117,-0.29788407629243513,3.986036915121939,5.129334210758272,-5.090000527140948
leisure_R_post_multiplier,0.8,leisure_R_post_multiplier=0.8,0.42,0.5800000000000001,0.01,0.0,1.0,0.8,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.219231638880139,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.031200000013214546,-3.7518037736428873,-1.5653044277815613,-3.0342837996820147,-0.7175199739608729,0.8477844538206886,-1.1879451369636693,-0.29390102546101426,-0.8961878601095038,-0.29175727685416525,4.071689829890561,5.2288492443382175,-5.089999981546753
leisure_R_post_multiplier,1.0,leisure_R_post_multiplier=1.0,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.1956687086133548,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.03120000001196137,-3.7518037737682053,-1.5653044277815613,-3.0203629736489015,-0.7314408001193029,0.8338636276622584,-1.1879395364915715,-0.29390102546101426,-0.890055460199055,-0.2978840762925166,3.9879256094408917,5.129333465068206,-5.0899999816720705
leisure_R_post_multiplier,1.2,leisure_R_post_multiplier=1.2,0.42,0.5800000000000001,0.01,0.0,1.0,1.2,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.1720681878515185,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.031200000012022503,-3.751803773762092,-1.5653044277815613,-3.0058667364158644,-0.745937037346227,0.8193673904353342,-1.1880780157239026,-0.29390102546101426,-0.8837680555307701,-0.30430996019313244,3.904170652087367,5.029652083116354,-5.089999981665957
leisure_R_post_multiplier,1.5,leisure_R_post_multiplier=1.5,0.42,0.5800000000000001,0.01,0.0,1.0,1.5,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.1365916187076344,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.03120000001226481,-3.751803773737862,-1.5653044277815613,-2.9829594121517804,-0.7688443615860812,0.7964600661954803,-1.1885937474176789,-0.29390102546101426,-0.8740302730556684,-0.31456347436201004,3.7785497818154368,4.879796173569003,-5.089999981641727
leisure_R_post_multiplier,2.0,leisure_R_post_multiplier=2.0,0.42,0.5800000000000001,0.01,0.0,1.0,2.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.077238806128207,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.031200000010505692,-3.751803773913772,-1.5653044277815613,-2.9413117316599844,-0.8104920422537888,0.7548123855277724,-1.190450378261629,-0.29390102546101426,-0.8569146883303145,-0.33353568993131444,3.569184390752247,4.629044553578692,-5.0899999818176385
