HealthShareN,RHealthPremium,mu_post,kappa_N_multiplier,kappa_R_multiplier,predicted_post_N,predicted_post_R,R_target_gap_pp,did_full_pp,did_benefit_covid_env_pp,target_full_did_pp,elasticity_full_logdid,elasticity_benefit_covid_env_logdid,elasticity_ratio_full_to_marginal,target_full_elasticity_logdid,target_to_structural_elasticity_ratio
0.5,1.5,0.060942756573270376,1.2726515555881965,1.9089773333822948,0.08210000550700398,0.038108806789592956,0.6908806789592957,-3.060923663837237,-0.8808845988402626,-3.75,-0.8990973190402258,-0.2963770542158463,3.0336266126237583,-1.1882751229801944,4.009335763607375
0.5,1.75,0.060942756573270376,1.2726515555881965,2.2271402222793437,0.08210000550700398,0.033409880866913405,0.22098808669134065,-3.5308162561051932,-0.7795839169164334,-3.75,-1.0887021492053857,-0.29736184069563404,3.6612032890922657,-1.1882751229801944,3.9960578674129827
0.5,1.9,0.060942756573270376,1.2726515555881965,2.4180379556175735,0.08210000550700398,0.031113297508224943,-0.00867024917750557,-3.760474591974039,-0.7295448588230911,-3.75,-1.1913903468477212,-0.29790534549209385,3.9992244680260014,-1.1882751229801944,3.9887673751451036
0.5,2.0,0.060942756573270376,1.2726515555881965,2.545303111176393,0.08210000550700398,0.0297514084881045,-0.14485915118954973,-3.896663493986083,-0.6996909545558954,-3.75,-1.2559513220643128,-0.2982472052824233,4.211108435618022,-1.1882751229801944,3.984195331704667
0.5,2.25,0.060942756573270376,1.2726515555881965,2.8634660000734424,0.08210000550700398,0.02682013951320899,-0.43798604867910096,-4.1897903914756345,-0.6349449923242851,-3.75,-1.4056186104840527,-0.29903292052747393,4.700548046698792,-1.1882751229801944,3.9737267752465417
0.5,2.5,0.060942756573270376,1.2726515555881965,3.181628888970491,0.08210000550700398,0.024417728775249704,-0.6782271224750294,-4.430031465271562,-0.5813454154867993,-3.75,-1.5410823378339236,-0.29972820884006596,5.1415992635389225,-1.1882751229801944,3.964508804756026
1.0,1.0,0.06266025159059012,1.4527333120093238,1.4527333120093238,0.08210000520403764,0.05317639115636195,2.197639115636195,-1.5541651968637022,-1.1983051947911054,-3.75,-0.4203284413409165,-0.29432581648079126,1.4281059214129408,-1.1882751229801944,4.037277929568728
1.0,1.25,0.06266025159059012,1.4527333120093238,1.8159166400116549,0.08210000520403764,0.04437536798420899,1.3175367984208992,-2.434267514078998,-1.0140613113594716,-3.75,-0.6800525526765097,-0.2953234992830885,2.302737690455954,-1.1882751229801944,4.0236389107700115
1.0,1.5,0.06266025159059012,1.4527333120093238,2.1790999680139858,0.08210000520403764,0.03810880663180999,0.6908806631809989,-3.060923649318899,-0.8808845954611273,-3.75,-0.8990973196481331,-0.29637705424607286,3.0336266143654966,-1.1882751229801944,4.009335763198475
1.0,1.75,0.06266025159059012,1.4527333120093238,2.5422832960163166,0.08210000520403764,0.03340988072589175,0.22098807258917538,-3.530816239910722,-0.7795839138550322,-3.75,-1.0887021499360225,-0.2973618407277424,3.6612032911540013,-1.1882751229801944,3.9960578669814986
1.0,1.9,0.06266025159059012,1.4527333120093238,2.760193292817715,0.08210000520403764,0.03111329737563319,-0.008670262436680926,-3.7604745749365778,-0.7295448559232518,-3.75,-1.1913903476397263,-0.2979053455246625,3.9992244702473636,-1.1882751229801944,3.9887673747090293
1.0,2.0,0.06266025159059012,1.4527333120093238,2.9054666240186475,0.08210000520403764,0.02975140836058833,-0.14485916394116685,-3.8966634764410637,-0.6996909517540947,-3.75,-1.255951322893143,-0.2982472053151264,4.211108437935274,-1.1882751229801944,3.9841953312677965
1.0,2.25,0.06266025159059012,1.4527333120093238,3.2686499520209784,0.08210000520403764,0.026820139396817287,-0.43798606031827114,-4.189790372818168,-0.634944989739526,-3.75,-1.4056186113932119,-0.29903292056003344,4.700548049227315,-1.1882751229801944,3.973726774813872
1.0,2.5,0.06266025159059012,1.4527333120093238,3.6318332800233097,0.08210000520403764,0.024417728668184976,-0.6782271331815023,-4.430031445681399,-0.5813454130867626,-3.75,-1.5410823388100237,-0.29972820887208684,5.141599266246247,-1.1882751229801944,3.9645088043324854
