search_curvature,sep_health_sensitivity,fitted_loss,heldout_AUS_post_jfr_gap_pp,jfr_pre_gap_data_pp,jfr_pre_gap_model_pp,jfr_post_gap_data_pp,jfr_post_gap_model_pp,jfr_did_data_pp,jfr_did_model_pp,f_N_pre_model,f_R_pre_model,f_N_post_model,f_R_post_predicted,sep_N_pre_model,sep_R_pre_model,sep_N_post_model,sep_R_post_model,health_N,health_R,differential_health_pct_wage,mu_pre,kappa_common,mu_post
25.0,0.35,0.012206962017793888,-0.4915233537542689,-1.3399999999999994,-1.4502087676986588,-3.05,-3.541523262285582,-1.7100000000000004,-2.091314494586923,0.10071501067679124,0.08621292299980465,0.08229999908531313,0.04688476646245731,0.048,0.0484,0.05500000000175067,0.09259999999697265,0.0199146742421979,0.12448253002904662,19.01233741579067,0.07552184639785726,1.003139071873197,0.06964409514049716
25.0,0.45,0.012206962017793876,-0.26264602974642237,-1.3399999999999994,-1.4502087676986588,-3.05,-3.3126459453124597,-1.7100000000000004,-1.862437177613801,0.10071501067679124,0.08621292299980465,0.08229999915566037,0.049173539702535775,0.048,0.0484,0.05500000000010058,0.09259999998319042,0.015505000599755786,0.09685972847556129,14.791768704691908,0.07552184639785726,1.003139071873197,0.0695258524974737
25.0,0.5,0.01220696201779387,-0.18340211697526546,-1.3399999999999994,-1.4502087676986588,-3.05,-3.2334020353086586,-1.7100000000000004,-1.7831932676099997,0.10071501067679124,0.08621292299980465,0.08229999918333393,0.049965978830247344,0.048,0.0484,0.055000000000083454,0.09259999997566055,0.013959348855406341,0.08718923744331562,13.314525197801688,0.07552184639785726,1.003139071873197,0.06948471064328204
25.0,0.6,0.012206962017793864,-0.06518027548815392,-1.3399999999999994,-1.4502087676986588,-3.05,-3.1151801982721135,-1.7100000000000004,-1.6649714305734546,0.10071501067679124,0.08621292299980465,0.0822999992278396,0.05114819724511846,0.048,0.0484,0.05499999998379423,0.092599999963305,0.01163874560701,0.07267981270338914,11.098375835705294,0.07552184639785726,1.003139071873197,0.06942323553857746
25.0,0.75,0.012206962017793857,0.05235624343405618,-1.3399999999999994,-1.4502087676986588,-3.05,-2.997643684163218,-1.7100000000000004,-1.5474349164645593,0.10071501067679124,0.08621292299980465,0.08229999927597274,0.05232356243434056,0.048,0.0484,0.05500000000641369,0.09259999995320096,0.009315660118922129,0.05816452735760233,8.881612225214582,0.07552184639785726,1.003139071873197,0.0693620467910334
40.0,0.35,0.003270151256041957,-0.36889327664648003,-1.3399999999999994,-1.3970415156038252,-3.05,-3.4188931781547485,-1.7100000000000004,-2.0218516625509233,0.10045799718033224,0.08648758202429399,0.08229999901508268,0.0481110672335352,0.048,0.0484,0.05500000000175067,0.09259999999697265,0.0199146742421979,0.12448253002904662,19.01233741579067,0.07570345176429685,2.8346045960059794,0.0698226931396273
40.0,0.45,0.003270151256041948,-0.1481318360658443,-1.3399999999999994,-1.3970415156038252,-3.05,-3.198131742450208,-1.7100000000000004,-1.8010902268463829,0.10045799718033224,0.08648758202429399,0.08229999906384364,0.050318681639341556,0.048,0.0484,0.05500000000010058,0.09259999998319042,0.015505000599755786,0.09685972847556129,14.791768704691908,0.07570345176429685,2.8346045960059794,0.06970702164142258
40.0,0.5,0.003270151256041944,-0.07142157954947159,-1.3399999999999994,-1.3970415156038252,-3.05,-3.1214214879202298,-1.7100000000000004,-1.7243799723164046,0.10045799718033224,0.08648758202429399,0.08229999908370758,0.05108578420450528,0.048,0.0484,0.055000000000083454,0.09259999997566055,0.013959348855406341,0.08718923744331562,13.314525197801688,0.07570345176429685,2.8346045960059794,0.06966677420348696
40.0,0.6,0.0032701512560419383,0.04320673637302416,-1.3399999999999994,-1.3970415156038252,-3.05,-3.006793175249433,-1.7100000000000004,-1.6097516596456076,0.10045799718033224,0.08648758202429399,0.08229999911622457,0.05223206736373024,0.048,0.0484,0.05499999998379423,0.092599999963305,0.01163874560701,0.07267981270338914,11.098375835705294,0.07570345176429685,2.8346045960059794,0.06960663540452063
40.0,0.75,0.003270151256041932,0.1573447736227647,-1.3399999999999994,-1.3970415156038252,-3.05,-2.89265514157871,-1.7100000000000004,-1.495613625974885,0.10045799718033224,0.08648758202429399,0.08229999915201475,0.053373447736227646,0.048,0.0484,0.05500000000641369,0.09259999995320096,0.009315660118922129,0.05816452735760233,8.881612225214582,0.07570345176429685,2.8346045960059794,0.0695467765931584
60.0,0.35,0.0007558672927951962,-0.2986217986584522,-1.3399999999999994,-1.3674245392980469,-3.05,-3.348621594154366,-1.7100000000000004,-1.9811970548563194,0.10033977816827365,0.08666553277529318,0.08229999795495914,0.04881378201341548,0.048,0.0484,0.05500000000175067,0.09259999999697265,0.0199146742421979,0.12448253002904662,19.01233741579067,0.07455004757851354,0.9879618243981904,0.06875730535450293
60.0,0.45,0.0007558672927947779,-0.08271454225933852,-1.3399999999999994,-1.3674245392980469,-3.05,-3.132714542301835,-1.7100000000000004,-1.7652900030037881,0.10033977816827365,0.08666553277529318,0.08230000000042496,0.050972854577406614,0.048,0.0484,0.05500000000010058,0.09259999998319042,0.015505000599755786,0.09685972847556129,14.791768704691908,0.07455004757851354,0.9879618243981904,0.06864501225287338
60.0,0.5,0.0007558672927947779,-0.0075092405559806785,-1.3399999999999994,-1.3674245392980469,-3.05,-3.05750924095653,-1.7100000000000004,-1.690084701658483,0.10033977816827365,0.08666553277529318,0.08230000000400549,0.05172490759444019,0.048,0.0484,0.055000000000083454,0.09259999997566055,0.013959348855406341,0.08718923744331562,13.314525197801688,0.07455004757851354,0.9879618243981904,0.06860593995335018
60.0,0.6,0.0007558672927947853,0.10499252917758467,-1.3399999999999994,-1.3674245392980469,-3.05,-2.945007443710168,-1.7100000000000004,-1.5775829044121212,0.10033977816827365,0.08666553277529318,0.08229999972887753,0.052849925291775846,0.048,0.0484,0.05499999998379423,0.092599999963305,0.01163874560701,0.07267981270338914,11.098375835705294,0.07455004757851354,0.9879618243981904,0.06854755690175762
60.0,0.75,0.0007558672927955388,0.21712785779312224,-1.3399999999999994,-1.3674245392980469,-3.05,-2.832872418038875,-1.7100000000000004,-1.4654478787408283,0.10033977816827365,0.08666553277529318,0.08230000275831997,0.05397127857793122,0.048,0.0484,0.05500000000641369,0.09259999995320096,0.009315660118922129,0.05816452735760233,8.881612225214582,0.07455004757851354,0.9879618243981904,0.06848944681514772
80.0,0.35,0.00014865012288863458,-0.26288479666544895,-1.3399999999999994,-1.3521616254825175,-3.05,-3.312884798662672,-1.7100000000000004,-1.9607231731801544,0.10025558182866681,0.08673396557384164,0.08230000001997223,0.04917115203334551,0.048,0.0484,0.05500000000175067,0.09259999999697265,0.0199146742421979,0.12448253002904662,19.01233741579067,0.07436688273326209,0.9820763782784732,0.06859525945147782
80.0,0.45,0.00014865012288912244,-0.04950326648257772,-1.3399999999999994,-1.3521616254825175,-3.05,-3.0995034873713223,-1.7100000000000004,-1.7473418618888048,0.10025558182866681,0.08673396557384164,0.08230000220888745,0.05130496733517422,0.048,0.0484,0.05500000000010058,0.09259999998319042,0.015505000599755786,0.09685972847556129,14.791768704691908,0.07436688273326209,0.9820763782784732,0.0684840466624413
