label,match_elasticity,delta,risk_aversion,common_search_cost_multiplier,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_post_equal_health,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,post_R_target_gap_pp,did_full_pp,target_full_did_pp,did_benefit_covid_env_pp,did_benefit_normal_pp,did_covid_only_pp,elasticity_full_logdid,target_full_elasticity_logdid,elasticity_benefit_normal_logdid,elasticity_benefit_covid_env_logdid,elasticity_covid_only_logdid,target_to_structural_elasticity_ratio
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.0432485232709878,0.1,0.0866,0.0821,0.0312,0.06265370058481128,0.058045029352747635,0.6087691574021,0.6087691574021,0.09996909193762411,0.08658255685042326,0.08209999982586755,0.05276378913160365,2.1563789131603652,-1.594967560706305,-3.75,-1.286605576845127,-1.6697756101211714,-0.30836198386117797,-0.4304283344308015,-1.1882751229801944,-0.30909768722949227,-0.31480385092914476,-0.11613568460168638,3.774652436661737
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.0594630943592953,0.1,0.0866,0.0821,0.0312,0.06266141330308057,0.05801615875343628,0.6044968397294165,0.6044968397294165,0.09999839507428344,0.0865893609663734,0.08210000015385878,0.052333852241658346,2.113385224165835,-1.6357113804290409,-3.75,-1.3149408718613702,-1.7106322379064156,-0.3207705085676704,-0.4419226012651368,-1.1882751229801944,-0.31752892881833106,-0.3233817092994197,-0.11910939870804661,3.6745279303350102
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.065776057529212,0.1,0.0866,0.0821,0.0312,0.06266528843383781,0.05800565658147212,0.6028417555027107,0.6028417555027107,0.1000131198422273,0.08659461928503355,0.08209999990220972,0.052166743971303484,2.0966743971303483,-1.6514755373712486,-3.75,-1.326128591839761,-1.7268011317634737,-0.32534694553148796,-0.4464118525223672,-1.1882751229801944,-0.32086820959577345,-0.32677844099092557,-0.12022402404268555,3.6363326765892494
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.0887900432785576,0.1,0.0866,0.0821,0.0312,0.06265970131259198,0.05796304821975834,0.5963226129403957,0.5963226129403957,0.09999189023294414,0.08657810112839291,0.08210000007799248,0.05157872775341485,2.037872775341485,-1.7107483220026432,-3.75,-1.3678438018589307,-1.7857609433859654,-0.34290452014371203,-0.46279710357827203,-1.1882751229801944,-0.3332618000474813,-0.3393601422376424,-0.12411021795313096,3.501516457251146
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.1123009847779686,0.1,0.0866,0.0821,0.0312,0.06266480833401492,0.0579257370847997,0.5898421923003365,0.5898421923003365,0.10001129548496429,0.08658797208365043,0.08209999996682632,0.05097182068037433,1.9771820680374328,-1.7704855885138118,-3.75,-1.4116326657074827,-1.8482614442588898,-0.35885292280632897,-0.47975792445516513,-1.1882751229801944,-0.346398339289189,-0.3526949637883178,-0.12781501353393004,3.3691298288380986
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.1363196131115871,0.1,0.0866,0.0821,0.0312,0.06265987473775292,0.05788573547893912,0.5826036143485664,0.5826036143485664,0.09999254916419284,0.08661270424181607,0.08210000229125462,0.050375067876914696,1.9175067876914698,-1.8345089491963136,-3.75,-1.458371227264453,-1.9142481369219164,-0.37613772193186046,-0.4974304398038495,-1.1882751229801944,-0.360327725694359,-0.3668146630667531,-0.13144772155322768,3.2394428102890522
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.1608568910867354,0.1,0.0866,0.0821,0.0312,0.06265319991931792,0.057851869157349974,0.576095193156099,0.576095193156099,0.09996718991800005,0.08655344918569839,0.08209999912399071,0.04973482451954153,1.8534824519541533,-1.8951433872147518,-3.75,-1.5060852095817026,-1.9810663060690654,-0.3890581776330495,-0.5152624651104649,-1.1882751229801944,-0.37497940070259506,-0.3816411685192079,-0.13451671230303322,3.1135926126386675
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.1859240182376638,0.1,0.0866,0.0821,0.0312,0.06266604565439111,0.05782247546198046,0.5692919029470126,0.5692919029470126,0.10001599728475916,0.08658293793756676,0.08210000066260364,0.04907644095151072,1.7876440951510726,-1.9590500363900536,-3.75,-1.5569584424422678,-2.0539642491089563,-0.40209159394778593,-0.5342754923658507,-1.1882751229801944,-0.39067064495728443,-0.39753104389532584,-0.1377039408167258,2.9891379333209507
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.2115324359373458,0.1,0.0866,0.0821,0.0312,0.06266221551583301,0.05779050120646935,0.5615278790762064,0.5615278790762064,0.1000014432286285,0.08662077431692891,0.08210000472065396,0.04843841164419512,1.7238411644195124,-2.028092416475924,-3.75,-1.611829809331903,-2.1309460691399433,-0.41626260714402125,-0.5539948997339037,-1.1882751229801944,-0.4073801430585028,-0.4144154925946372,-0.14059908871924767,2.8673520759092668
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.224053543304655,0.1,0.0866,0.0821,0.0312,0.06265797944082845,0.057777019007250394,0.5580960011821235,0.5580960011821235,0.099985348094485,0.08659694420297867,0.08209999585238575,0.048112208408092015,1.6912208408092018,-2.0599383552787414,-3.75,-1.6385678153388694,-2.1680846777031064,-0.42137053993987195,-0.5635785462867733,-1.1882751229801944,-0.41573984492087956,-0.42284886533733473,-0.14177168868440485,2.810165097716954
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.2376938326196576,0.1,0.0866,0.0821,0.0312,0.06266790774877641,0.05776435193582494,0.5545576387096623,0.5545576387096623,0.10002307345853388,0.0866091660905976,0.08210000021721875,0.04773696243999269,1.653696243999269,-2.0949130409289776,-3.75,-1.6679257038161661,-2.2104201382641913,-0.42698733711281167,-0.5745342382472887,-1.1882751229801944,-0.4251095137913807,-0.4323172239836234,-0.1432838870086403,2.7486185075642684
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.2644201491143223,0.1,0.0866,0.0821,0.0312,0.06265656836636518,0.05773954684926307,0.5465801887818094,0.5465801887818094,0.09997998699500785,0.08660990424264467,0.08209999573519838,0.047065993204781,1.5865993204781,-2.1663919778054197,-3.75,-1.7290796483370947,-2.2946377504787394,-0.43731232946832516,-0.5955897813614197,-1.1882751229801944,-0.44406493375539907,-0.45140732228674624,-0.14528849032598812,2.63237892766252
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.2917235840970556,0.1,0.0866,0.0821,0.0312,0.06267154155972766,0.057721924449429814,0.5398156460935212,0.5398156460935212,0.10003688319613348,0.08658363527190215,0.08209999792164152,0.046296129135007504,1.5096129135007506,-2.2350620862402657,-3.75,-1.790884676463938,-2.382584833562118,-0.44417740977632825,-0.6181248776238937,-1.1882751229801944,-0.4642998957162015,-0.4717935374874539,-0.1474695722494917,2.5186337424382237
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.3196165996573985,0.1,0.0866,0.0821,0.0312,0.06265881618101041,0.057703731975746575,0.5316740210637333,0.5316740210637333,0.09998852720273663,0.0865638605449712,0.08210000006288075,0.045571462081599005,1.4371462081599007,-2.3103871323516345,-3.75,-1.8591014485357837,-2.475775901129576,-0.4512856838158507,-0.6412538389242761,-1.1882751229801944,-0.48601557257223277,-0.49359917086269317,-0.14881264421790866,2.407368555549585
