Week,DiD_Full_Shock,DiD_Benefit_Only,DiD_COVID_Only,DiD_Interaction,f_N_Full,f_R_Full,f_N_Benefit_Only,f_R_Benefit_Only,f_N_COVID_Only,f_R_COVID_Only
16,-3.9257820451794907,-2.2118834921410717,-2.8261329337067416,1.1122343806683226,8.36288058852808,3.1055890152708834,9.994245649463455,6.450852629244677,8.36288058852808,4.205238126743632
17,-3.924550940449209,-2.172455400820758,-2.854262237497049,1.102166697868598,8.36288058852808,3.1068201200011654,9.994245649463455,6.490280720564991,8.36288058852808,4.1771088229533255
18,-3.923254134418079,-2.1293943836267926,-2.8842222501138446,1.0903624993225578,8.36288058852808,3.1081169260322947,9.994245649463455,6.533341737758956,8.36288058852808,4.14714881033653
19,-3.921888101788225,-2.082342779244603,-2.9161217141239884,1.0765763915803666,8.36288058852808,3.1094829586621486,9.994245649463455,6.580393342141146,8.36288058852808,4.115249346326386
20,-3.9204491260322514,-2.0309033662254894,-2.9500743953225825,1.0605286355158208,8.36288058852808,3.1109219344181227,9.994245649463455,6.631832755160259,8.36288058852808,4.081296665127791
21,-3.9189332887932733,-1.9746341603750746,-2.986199111942044,1.0418999835238454,8.36288058852808,3.112437771657101,9.994245649463455,6.688101961010674,8.36288058852808,4.0451719485083295
22,-3.917336458672667,-1.9130423714321332,-3.0246197302255085,1.0203256429849747,8.36288058852808,3.1140346017777065,9.994245649463455,6.749693749953615,8.36288058852808,4.006751330224866
23,-3.915654279367579,-1.8455773532674469,-3.0654651209774153,0.9953881948772836,8.36288058852808,3.1157167810827953,9.994245649463455,6.8171587681183015,8.36288058852808,3.9659059394729588
24,-3.9138821571174183,-1.7716223429842526,-3.108869071264668,0.9666092571315024,8.36288058852808,3.1174889033329563,9.994245649463455,6.891113778401496,8.36288058852808,3.9225019891857063
25,-3.912015247415951,-1.6904847348640908,-3.154970145019815,0.9334396324679549,8.36288058852808,3.119355813034423,9.994245649463455,6.972251386521658,8.36288058852808,3.876400915430559
26,-3.893885543385796,-1.601384571761011,-3.1877485883509706,0.8952476167261858,8.346717690971591,3.1213226195080876,9.994245649463455,7.061351549624738,8.346717690971591,3.827459574542913
27,-3.8452354135100175,-1.5034408548075806,-3.1930996203223345,0.8513050616198975,8.300139653377249,3.1233947117895244,9.994245649463455,7.159295266578168,8.300139653377249,3.775530504977208
28,-3.7911944137131477,-1.3956551660015108,-3.196309926997625,0.8007706792859886,8.248281716204497,3.1255777744136433,9.994245649463455,7.2670809553842375,8.248281716204497,3.720462261129166
29,-3.7311928788330313,-1.2768919588901597,-3.196970856410038,0.7426699364671663,8.19058021105205,3.1278778041413116,9.994245649463455,7.385844162495589,8.19058021105205,3.662099826564305
30,-3.6646090684826373,-1.145854688284971,-3.194625082020935,0.6758707018232689,8.126419724250205,3.1303011276898616,9.994245649463455,7.516881433100778,8.126419724250205,3.6002851141515633
31,-3.5907664509621946,-1.0010567039621776,-3.1887633109780342,0.5990535639780171,8.05513039957359,3.132854420533689,9.994245649463455,7.661679417423571,8.05513039957359,3.534857560517849
32,-3.5089313839655474,-0.8407855017080773,-3.1788212888336242,0.5106754065761541,7.97598563888969,3.1355447268464363,9.994245649463455,7.821950619677671,7.97598563888969,3.46565482197836
33,-3.4183113659992097,-0.6630584732494573,-3.164177268036113,0.4089243752863604,7.888200374738403,3.138379480661487,9.994245649463455,7.9996776481362915,7.888200374738403,3.392513578624584
34,-3.318054067002022,-0.46556767387338355,-3.1441501428022764,0.29166374967363806,7.790930123413404,3.1413665283336756,9.994245649463455,8.197168447512365,7.790930123413404,3.3152704525334213
35,-3.2072473835068283,-0.24561025751789478,-3.1179984908367735,0.15636136484784013,7.683271063975955,3.14451415239142,9.994245649463455,8.417125863867854,7.683271063975955,3.2337630450614747
36,-3.084920801378587,2.3592239273284576e-14,-3.084920801378587,-2.3592239273284576e-14,7.564261426332052,3.1478310968757577,9.994245649463455,8.662736121385773,7.564261426332052,3.1478310968757577
37,1.1102230246251565e-14,1.1102230246251565e-14,1.1102230246251565e-14,-1.1102230246251565e-14,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759
38,1.1102230246251565e-14,1.1102230246251565e-14,1.1102230246251565e-14,-1.1102230246251565e-14,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759
39,1.1102230246251565e-14,1.1102230246251565e-14,1.1102230246251565e-14,-1.1102230246251565e-14,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759
40,1.1102230246251565e-14,1.1102230246251565e-14,1.1102230246251565e-14,-1.1102230246251565e-14,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759
41,1.1102230246251565e-14,1.1102230246251565e-14,1.1102230246251565e-14,-1.1102230246251565e-14,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759
42,1.1102230246251565e-14,1.1102230246251565e-14,1.1102230246251565e-14,-1.1102230246251565e-14,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759
43,1.1102230246251565e-14,1.1102230246251565e-14,1.1102230246251565e-14,-1.1102230246251565e-14,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759
