label,match_elasticity,delta,risk_aversion,common_search_cost_multiplier,r_health_premium,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_N_post,kappa_R_post,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,post_R_target_gap_pp,did_full_pp,target_full_did_pp,did_benefit_covid_env_pp,did_benefit_normal_pp,did_covid_only_pp,elasticity_full_logdid,target_full_elasticity_logdid,elasticity_benefit_normal_logdid,elasticity_benefit_covid_env_logdid,elasticity_covid_only_logdid,target_to_structural_elasticity_ratio,RHealthPremium
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,1.6969696023751115,0.1,0.0866,0.0821,0.0312,0.06265626659922266,0.0576802640680532,0.42555627538990604,0.42555627538990604,0.42555627538990604,0.09997884051183092,0.08658127099556119,0.0821000002355404,0.033110217436521254,0.19102174365212554,-3.559221328274944,-3.75,-3.097778771252645,-4.17688510737933,-0.46144255702229864,-1.102537924600156,-1.1882751229801944,-0.9501563434062625,-0.9527778791366361,-0.15094010677428774,1.2471690926084003,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,1.783037088356235,0.1,0.0866,0.0821,0.0312,0.06265542000209463,0.0576802638976922,0.4011091604082228,0.4011091604082228,0.4011091604082228,0.09997562413421693,0.08661746639799871,0.08209999965819355,0.029167097323200216,-0.20329026767997826,-3.957474459877512,-3.75,-3.4952473874528045,-4.730978029550924,-0.46222707242470734,-1.286121988904269,-1.1882751229801944,-1.1398465333460026,-1.1364229594541517,-0.1508791183539819,1.0456275219491769,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,1.8734697745935935,0.1,0.0866,0.0821,0.0312,0.06266709071079277,0.05768026430003321,0.37615248590762324,0.37615248590762324,0.37615248590762324,0.10001996858406013,0.08661010809295683,0.08210000102171171,0.024307405777784372,-0.6892594222215627,-4.438273475282404,-3.75,-3.9761607683542652,-5.400233195340175,-0.4621127069281374,-1.548305567792299,-1.1882751229801944,-1.4093193566463598,-1.3982308468613407,-0.15125966009134284,0.849841873856208,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,1.968489056810088,0.1,0.0866,0.0821,0.0312,0.06267036642779332,0.0576802630521883,0.34973043283898064,0.34973043283898064,0.34973043283898064,0.10003241716763511,0.0865883790129093,0.08209999679281348,0.019688181400917736,-1.1511818599082262,-4.89677772371699,-3.75,-4.435127109568058,-5.979461237274316,-0.46165061414893216,-1.8518300246490056,-1.1882751229801944,-1.6922760064737785,-1.70163111810495,-0.15138499866296437,0.698315345986113,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,2.0683275595527824,0.1,0.0866,0.0821,0.0312,0.06265548720376295,0.05768026371524934,0.3209616703554334,0.3209616703554334,0.3209616703554334,0.09997587944347554,0.08664891124627616,0.08209999903990177,0.016132388632286818,-1.506761136771318,-5.264064221041553,-3.75,-4.801152433268469,-6.444453959120305,-0.46291178777308434,-2.1410236940883345,-1.1882751229801944,-1.9643378757336918,-1.9913522989804175,-0.15085184647884947,0.5967176795329472,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,2.17322970570026,0.1,0.0866,0.0821,0.0312,0.06265573866643408,0.05768026369484736,0.2919059477900609,0.2919059477900609,0.2919059477900609,0.09997683479138882,0.08659248469055869,0.08209999897076022,0.013242646174860078,-1.7957353825139921,-5.547300269507001,-3.75,-5.085615672901574,-6.817049440469114,-0.4616845966054266,-2.4248387373479168,-1.1882751229801944,-2.232812883165374,-2.2751059801514444,-0.15091271516320656,0.5222944044571919,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,2.268625044390925,0.1,0.0866,0.0821,0.0312,0.0626809227882651,0.05768026368350473,0.265568304002515,0.265568304002515,0.265568304002515,0.10007254021953922,0.08661132617536228,0.08209999893232048,0.011122363298696591,-2.0077636701303407,-5.751642158944692,-3.75,-5.289454254652697,-7.097118807131745,-0.46218790429199624,-2.675500285389593,-1.1882751229801944,-2.4693024468744196,-2.524989581277597,-0.15170150768753662,0.4706059509279043,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,2.283452314854441,0.1,0.0866,0.0821,0.0312,0.06264367812838986,0.05768026368218414,0.26064042688430034,0.26064042688430034,0.26064042688430034,0.09993102079289355,0.08661629043633236,0.08209999892784502,0.010844523157261664,-2.0355476842738334,-5.7940745414022174,-3.75,-5.33192396767926,-7.134448090585227,-0.46215057372295837,-2.7141213799927284,-1.1882751229801944,-2.503767371911609,-2.56479213210507,-0.1505043729589999,0.4633027012621525,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,2.3992652320818504,0.1,0.0866,0.0821,0.0312,0.06267658576134273,0.057680263680784806,0.22885539586382472,0.22885539586382472,0.22885539586382472,0.10005605473861548,0.086600090898039,0.08209999892310275,0.008799566871172384,-2.2400433128827615,-5.984446821135387,-3.75,-5.522518954086318,-7.405475541292125,-0.4619278670490684,-3.0135097562377906,-1.1882751229801944,-2.787217487692853,-2.863125440128712,-0.1515731635392343,0.4150272657724614,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,2.520951988543594,0.1,0.0866,0.0821,0.0312,0.06265992925171444,0.057680263680784806,0.19451350718344995,0.19451350718344995,0.19451350718344995,0.09999275629124849,0.08658060515876007,0.08209999892310275,0.007108780605323028,-2.409121939467697,-6.157906718529128,-3.75,-5.696464283157539,-7.642012412241152,-0.46144243537159174,-3.321928485450852,-1.1882751229801944,-3.091075177889925,-3.1720520601037165,-0.15105802542642183,0.37460769888541534,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,2.6488104956313947,0.1,0.0866,0.0821,0.0312,0.06266927453082298,0.057680263680784806,0.15865355684274,0.15865355684274,0.15865355684274,0.10002826757298447,0.0866137345103445,0.08209999892310275,0.005583193406038043,-2.5616806593961954,-6.310227245442474,-3.75,-5.8480272817492995,-7.851985953180049,-0.46219996369317284,-3.6704797268887175,-1.1882751229801944,-3.419693344277027,-3.520339420666262,-0.15132620748760567,0.3375456116544866,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,3.1088125635418384,0.1,0.0866,0.0821,0.0312,0.06266953784906303,0.057680263680784806,0.029605850077046393,0.029605850077046393,0.029605850077046393,0.10002926826628708,0.0865911400784617,0.08209999892310275,0.0023332730677137863,-2.886672693228621,-6.632859766756356,-3.75,-6.171151894106835,-8.312749447532326,-0.4617078726495222,-4.928824271628128,-1.1882751229801944,-4.643856189774724,-4.7786541944695315,-0.15135584827000342,0.2486631328869576,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,4.260164357759851,0.1,0.0866,0.0821,0.0312,0.08252144342636411,0.07799145242034859,2.618371588111468,2.618371588111468,2.618371588111468,0.10002696441026493,0.0,0.08210000495472979,0.0,-3.1199999999999997,1.792695945553515,-3.75,0.0,-1.1046719095020308e-14,1.792695945553515,NaN,-1.1882751229801944,NaN,NaN,NaN,NaN,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,5.837920422725784,0.1,0.0866,0.0821,0.0312,0.08252144342636411,0.07799145242034859,2.618371588111468,2.618371588111468,2.618371588111468,0.10002696441026493,0.0,0.08210000495472979,0.0,-3.1199999999999997,1.792695945553515,-3.75,0.0,-1.1046719095020308e-14,1.792695945553515,NaN,-1.1882751229801944,NaN,NaN,NaN,NaN,1.0
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,7.999999999999998,0.1,0.0866,0.0821,0.0312,0.08252144342636411,0.07799145242034859,2.618371588111468,2.618371588111468,2.618371588111468,0.10002696441026493,0.0,0.08210000495472979,0.0,-3.1199999999999997,1.792695945553515,-3.75,0.0,-1.1046719095020308e-14,1.792695945553515,NaN,-1.1882751229801944,NaN,NaN,NaN,NaN,1.0
equal_health,0.42,0.01,0.0,1.0,1.1875,1.0,1.0,2.0,0.25,0.1,0.0866,0.0821,0.0312,0.06451874913954228,0.06177914661227335,0.8761869781637306,0.8761869781637306,1.04047203656943,0.09560887333015351,0.09115928807467455,0.08209999414550434,0.06618804718864385,3.498804718864385,-1.1462361701381505,-3.75,-0.23139195386460942,-0.30040834857016113,-0.914844216273541,-0.24205655160768777,-1.1882751229801944,-0.04834391042163263,-0.04957470301990381,-0.193250246659854,23.969384597283664,1.1875
equal_health,0.42,0.01,0.0,1.0,1.1875,1.0,1.0,2.0,0.3425877461800309,0.1,0.0866,0.0821,0.0312,0.061982381079580144,0.05918872305141126,0.7122795334139281,0.7122795334139281,0.8458319459290397,0.0965176560768228,0.09032299358175808,0.08210000470842883,0.06394070787388656,3.274070787388656,-1.1964634339477558,-3.75,-0.3213444096304686,-0.4215679255390379,-0.8751190243172872,-0.26494801076905816,-1.1882751229801944,-0.06895751069182134,-0.07074188459572173,-0.19499155176408084,16.797334843014035,1.1875
