week,in_shock,find_AB,find_A0,find_NZ,sep_AB,sep_A0,sep_NZ,search_AB,search_A0,search_NZ,accept_AB,accept_A0,accept_NZ,flow_surplus_AB,flow_surplus_A0,flow_surplus_NZ,value_surplus_AB,value_surplus_A0,value_surplus_NZ,contact,theta
13,true,0.047570010936842884,0.07875515562193497,0.08221698828093392,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7650104115939254,0.9244178459481636,0.935866927668173,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.4290770643211772,3.9634923277005782,4.1925224549441396,0.12380880149862446,5.1657088869720855
14,true,0.04760125092261986,0.07875024482876826,0.08220913829857132,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7655373847799876,0.9243567757864011,0.9357721901235465,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.4360758958423503,3.9616298451037437,4.189503361559446,0.12380880149862446,5.1657088869720855
15,true,0.047637442113442625,0.07874457322013453,0.08220003380173077,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7661479205943134,0.9242862447696734,0.9356623138575086,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.4442214201990282,3.9594797693081887,4.18600417453365,0.12380880149862446,5.1657088869720855
16,true,0.047679340748930994,0.07873802251971554,0.08218947327125077,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7668547971361028,0.9242047823057693,0.9355348675384116,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.4537019427787072,3.9569977094232627,4.1819485959681515,0.12380880149862446,5.1657088869720855
17,true,0.04772780903962125,0.07873045592837108,0.08217722245893958,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7676725882442401,0.924110687562296,0.9353870251236003,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.4647368410102217,3.954132428522257,4.177248218385671,0.12380880149862446,5.1657088869720855
18,true,0.0477838268758794,0.07872171517790838,0.08216300894773612,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7686178637609904,0.9240019928660466,0.9352155003118658,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.4775817425919513,3.9508247897830415,4.1718006082566035,0.12380880149862446,5.1657088869720855
19,true,0.047848503795073244,0.07871161710098423,0.08214651576451883,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7697093949845222,0.9238764210983668,0.9350164696000145,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.4925345837636996,3.9470065410522466,4.165487088125246,0.12380880149862446,5.1657088869720855
20,true,0.04792309082758269,0.07869994963257308,0.08212737386559292,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7709683591242478,0.9237313360394654,0.9347854817850587,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.5099427026796093,3.942598913280108,4.1581701705982255,0.12380880149862446,5.1657088869720855
21,true,0.04800899170652604,0.07868646714195954,0.08210515327557212,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7724185343214509,0.9235636844113302,0.9345173512839835,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.5302111519071104,3.937511004614521,4.149690590445061,0.12380880149862446,5.1657088869720855
22,true,0.048107772772604404,0.07867088497399043,0.08207935261074881,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7740864742442872,0.9233699281196031,0.9342060320510139,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.5538124488977019,3.9316379177682848,4.139863873080287,0.12380880149862446,5.1657088869720855
23,true,0.04822117074218247,0.07865287305331181,0.08204938665487371,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.776001648539846,0.9231459648867046,0.9338444681193572,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.581298025206479,3.92485861351264,4.128476368645636,0.12380880149862446,5.1657088869720855
24,true,0.04835109734783819,0.07863204837417097,0.08201457157409836,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7781965327585476,0.9228870350852187,0.9334244158279381,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.613311685859344,3.9170334377377003,4.1152806706950855,0.12380880149862446,5.1657088869720855
25,true,0.04849963972751412,0.0786079661592689,0.08197410725248673,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7807066291085256,0.9225876120998779,0.9329362315406302,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.6506054514557036,3.9080012733817284,4.099990327011824,0.12380880149862446,5.1657088869720855
