scenario,year,g,r_star,r_add,phi,pb,sfa,r_exog,r_phi,r,b,int_gdp,overall
"Rate shock (+150bp, 3y) + debt-sensitive IR",2057,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000639762959451736,0.0446397629594517,0.390215375631894,0.016567683505049,-0.00765503290263936
"Rate shock (+150bp, 3y) + debt-sensitive IR",2058,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000655256449679701,0.0446552564496797,0.390734946739907,0.0165953977804289,-0.00768274717801922
"Rate shock (+150bp, 3y) + debt-sensitive IR",2059,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000670843582920113,0.0446708435829201,0.3912576735273,0.0166232949411419,-0.00771064433873228
"Rate shock (+150bp, 3y) + debt-sensitive IR",2060,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000686525386541896,0.0446865253865419,0.391783590727253,0.0166513771054829,-0.00773872650307323
"Rate shock (+150bp, 3y) + debt-sensitive IR",2061,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000702302902540489,0.0447023029025405,0.392312733569282,0.0166796464237473,-0.00776699582133762
"Rate shock (+150bp, 3y) + debt-sensitive IR",2062,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000718177187801365,0.0447181771878014,0.392845137788213,0.0167081050788399,-0.00779545447643024
"Rate shock (+150bp, 3y) + debt-sensitive IR",2063,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000734149314369266,0.0447341493143693,0.393380839633346,0.016736755286897,-0.00782410468448737
"Rate shock (+150bp, 3y) + debt-sensitive IR",2064,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000750220369723267,0.0447502203697233,0.393919875877832,0.0167655992979229,-0.00785294869551321
"Rate shock (+150bp, 3y) + debt-sensitive IR",2065,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000766391457057851,0.0447663914570579,0.394462283828241,0.0167946393964406,-0.00788198879403099
"Rate shock (+150bp, 3y) + debt-sensitive IR",2066,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000782663695570133,0.0447826636955701,0.395008101334349,0.0168238779021587,-0.00791122729974909
"Rate shock (+150bp, 3y) + debt-sensitive IR",2067,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000799038220753371,0.0447990382207534,0.395557366799136,0.0168533171706521,-0.00794066656824249
"Rate shock (+150bp, 3y) + debt-sensitive IR",2068,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000815516184696973,0.044815516184697,0.396110119189007,0.0168829595940598,-0.00797030899165016
"Rate shock (+150bp, 3y) + debt-sensitive IR",2069,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00083209875639311,0.0448320987563931,0.396666398044242,0.0169128076017983,-0.00800015699938866
"Rate shock (+150bp, 3y) + debt-sensitive IR",2070,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000848787122050155,0.0448487871220502,0.397226243489674,0.016942863661292,-0.00803021305888238
"Rate shock (+150bp, 3y) + debt-sensitive IR",2071,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000865582485413106,0.0448655824854131,0.397789696245609,0.0169731302787207,-0.00806047967631108
"Rate shock (+150bp, 3y) + debt-sensitive IR",2072,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00088248606809116,0.0448824860680912,0.398356797638992,0.0170036099997845,-0.00809095939737489
"Rate shock (+150bp, 3y) + debt-sensitive IR",2073,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000899499109892648,0.0448994991098927,0.398927589614821,0.0170343054104872,-0.0081216548080776
"Rate shock (+150bp, 3y) + debt-sensitive IR",2074,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000916622869167526,0.0449166228691675,0.399502114747824,0.0170652191379381,-0.00815256853552841
"Rate shock (+150bp, 3y) + debt-sensitive IR",2075,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000933858623157602,0.0449338586231576,0.400080416254394,0.0170963538511726,-0.00818370324876292
"Rate shock (+150bp, 3y) + debt-sensitive IR",2076,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000951207668354709,0.0449512076683547,0.400662538004806,0.0171277122619934,-0.00821506165958374
"Rate shock (+150bp, 3y) + debt-sensitive IR",2077,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000968671320867056,0.0449686713208671,0.401248524535702,0.017159297125831,-0.00824664652342132
"Rate shock (+150bp, 3y) + debt-sensitive IR",2078,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000986250916793942,0.0449862509167939,0.401838421062873,0.0171911112426252,-0.00827846064021552
"Rate shock (+150bp, 3y) + debt-sensitive IR",2079,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00100394781260909,0.0450039478126091,0.40243227349433,0.0172231574577284,-0.00831050685531872
