EE,EU,EN,UE,UU,UN,NE,NU,NN,year,age,sex,state
0.9999999999999993,0.253928820882663,0.3082927687866147,0.9600701703438929,0.9999819828543817,0.8893357400861754,0.695744265010857,0.7008606582190626,0.9999999977799048,1998,15-24,Males,Western Australia
0.9999999140833998,0.17323153756044496,0.1936441329640448,0.649069395649591,0.9989938753479316,0.639800115399477,0.4007048635159751,0.4212313047846762,0.9999767863908223,1998,15-24,Males,Tasmania
0.9999999999999705,0.30031519299386933,0.4265695532879439,0.9164531919082768,0.9999924499574888,0.9190070775443072,0.7437717979936306,0.7369965555599629,0.9999999915609836,1998,15-24,Males,Australian Capital Territory
1,0.10646372999066822,0.15114577587820943,0.9104552262822568,0.999999128028172,0.8134138667215132,0.7752769302131943,0.6286018408993477,0.99999999675213,1998,25-54,Males,New South Wales
1,0.10607079701352762,0.12118588822041343,0.8693092992743823,0.9999998315560102,0.7742837665258377,0.7377220142689089,0.6643193990312694,0.9999999974165437,1998,25-54,Males,Victoria
1,0.13040443695101378,0.13717465629351988,0.9290754404468082,0.9999996197634753,0.6943613187312243,0.7267465570696273,0.6450505466946949,0.9999999983783301,1998,25-54,Males,Queensland
1,0.12456537007202784,0.1296180421799552,0.8445626264225508,0.9999999708229478,0.6859987027256524,0.6576763825700609,0.6063428588375888,0.9999999997172573,1998,25-54,Males,South Australia
1,0.11294814578797074,0.13375850920267285,0.9191107015174309,0.9999995850653848,0.7359705601130442,0.8039086612825435,0.6730877912396394,0.9999999897674522,1998,25-54,Males,Western Australia
1,0.1388558559490195,0.14645918421131132,0.7987726566358496,0.9999999910032998,0.6717151793284999,0.6481189658117174,0.6064457577350495,0.9999999997640624,1998,25-54,Males,Tasmania
1,0.07217461942285308,0.12808995192948036,0.8940486063822422,0.9999999494240455,0.6154751140569588,0.7798505100305536,0.6125120424889434,0.9999999970875478,1998,25-54,Males,Australian Capital Territory
0.9999999929485834,0.06774554533370458,0.17814017383634995,0.606642423153768,0.9994834035973033,0.5941546906346196,0.2283278931595003,0.10971922693671565,0.9999999462381661,1998,55-64,Males,Queensland
0.9999999999999848,0.1945862549935916,0.47798942632648245,0.9297529539174266,0.9998897036901999,0.9770441388622004,0.694184781884766,0.5716284941243892,0.9999999996687526,1998,15-24,Females,New South Wales
0.9999999999999968,0.2056648838888927,0.4101127169470715,0.8888635829692306,0.9999768788907694,0.9650342608830877,0.6604373735294953,0.6845137522580933,0.9999999990098125,1998,15-24,Females,Victoria
0.9999999999999979,0.24181260367324853,0.36548006822109624,0.937724059513916,0.9999426106065288,0.960917196291308,0.6262459182684723,0.6876666328242897,0.9999999993742167,1998,15-24,Females,Queensland
0.9999999999999947,0.20307183402681228,0.43174436183459375,0.858540078406134,0.9999780173760794,0.9725921117427511,0.569347819794647,0.6285456970120203,0.9999999998987041,1998,15-24,Females,South Australia
0.999999999999999,0.19555688748519318,0.3742099552503827,0.960806278035699,0.9999160255189707,0.950111127307006,0.6573521935030298,0.6207542335049183,0.9999999996595417,1998,15-24,Females,Western Australia
0.9999999999390112,0.18161582456261094,0.37774233942602586,0.7795903264543215,0.9998313151884216,0.9008683120846096,0.5360935764752782,0.5372272188844794,0.99999991628545,1998,15-24,Females,Tasmania
0.999632531392645,0.06751678005821982,0.1388555789356859,0.5063132607735521,0.8768874210927197,0.6389130641328082,0.25782446932862235,0.3214561920605986,0.9899443734535592,1998,15-24,Females,Australian Capital Territory
0.9999999999999999,0.07709913650386069,0.3801485227443063,0.8786528737451057,0.9999348447457271,0.9826632788764148,0.6018562050871645,0.3696522988078833,0.9999999999962682,1998,25-54,Females,New South Wales
1,0.0844584597751431,0.3324162922746816,0.8946745585448947,0.9999790565472165,0.960850675809578,0.5579458173841461,0.38145143871298803,0.9999999999982073,1998,25-54,Females,Victoria
1,0.08723057253866617,0.3434398659468868,0.8779692745212435,0.9999838567600574,0.9616740671779658,0.5941124958157964,0.3800611169683388,0.9999999999963363,1998,25-54,Females,Queensland
1,0.10793235911626287,0.31950047162108686,0.8530954165921196,0.9999974639990548,0.9252616167775024,0.5488606339162425,0.3422911673292104,0.9999999999991673,1998,25-54,Females,South Australia
1,0.08265651690506004,0.35758361246865944,0.9320229680867251,0.9998331025341299,0.9817763837383129,0.6109442313895962,0.36453511327291543,0.9999999999957951,1998,25-54,Females,Western Australia
0.9999999986436978,0.0281640520765829,0.15945669351428604,0.7577517265357241,0.9930085015112178,0.78778423804215425,0.3990912167072195,0.22315431007028286,0.9999966085039257,1998,25-54,Females,Australian Capital Territory
0.998387172782495,0.01268823767819971,0.06644940672979893,0.21308520799001995,0.8424657079291133,0.4873987210876689,0.07235387057752529,0.05099224886412146,0.9960711476403473,1998,55-64,Males,New South Wales
0.9999999999999918,0.22831026683297606,0.42917437282659976,0.9456300477379772,0.9998928521088473,0.9691125919398669,0.7482967914991501,0.6641046813691855,0.9999999968872615,1999,15-24,Males,New South Wales
0.9999999999999717,0.2605141375978137,0.456072149767226,0.9251421661230369,0.9999259154188722,0.9723570471020118,0.769416997094782,0.7217801495396269,0.999999989598581,1999,15-24,Males,Victoria
