"year","male","X_b_agedum2","X_b_agedum3","X_b_agedum4","X_b_agedum5","X_b_agedum6","X_b_agedum7","X_b_agedum8","X_b_agedum9","X_b_agedum10","X_b_agedum11","X_b_agedum12","X_b_agedum13","X_b_agedum14","X_b_agedum15","X_b_agedum16","X_b_agedum17","X_b_agedum18","X_b_agedum19","X_b_agedum20","X_b_agedum21","X_b_agedum22","X_b_agedum23","X_b_agedum24","X_b_agedum25","X_b_agedum26","X_b_agedum27","X_b_agedum28","X_b_agedum29","X_b_agedum30","X_b_agedum31","X_b_cons"
2014,0,0.0805189,0.1441602,0.1903789,0.2236593,0.2480283,0.2628881,0.2695828,0.2794047,0.2901016,0.2904052,0.2915642,0.2890391,0.295869,0.3013816,0.3075814,0.3140638,0.3225256,0.3299348,0.3350882,0.3383363,0.3440492,0.3521877,0.3544096,0.3543932,0.357981,0.3591458,0.3530821,0.351797,0.351987,0.3469602,10.35481
2015,1,0.0967895,0.1802919,0.2591239,0.3310426,0.3867281,0.4372182,0.4844773,0.5291799,0.5735408,0.607721,0.6296259,0.6517006,0.6705996,0.6911842,0.7000097,0.7083043,0.7170183,0.7273381,0.7297562,0.7346156,0.7296833,0.7290359,0.7234479,0.724666,0.7197971,0.7062518,0.7053204,0.6917869,0.6883192,0.6781715,10.47753
2015,0,0.0731538,0.1413383,0.1880804,0.2208913,0.2440672,0.2578325,0.2723714,0.2779298,0.2888438,0.2939309,0.2964349,0.2993625,0.3042601,0.3157288,0.321592,0.3279911,0.3399279,0.3434488,0.3521056,0.3577954,0.3626845,0.3665338,0.3687534,0.3703721,0.3676191,0.3670197,0.3679858,0.3570544,0.3538815,0.3492462,10.35926
2016,1,0.0942288,0.1802052,0.256806,0.3231483,0.3919926,0.4395238,0.4919625,0.5401198,0.5808772,0.6168022,0.6434414,0.6620962,0.6829864,0.6992159,0.7159407,0.7275152,0.7351634,0.7407838,0.7498458,0.7525913,0.7505065,0.7500925,0.7489232,0.739015,0.7427889,0.7313358,0.7213638,0.7202277,0.7018169,0.6990324,10.46933
2016,0,0.0805068,0.1370591,0.1928874,0.2284601,0.2513585,0.2621755,0.2762398,0.2891521,0.296396,0.3090345,0.3128541,0.3182057,0.327345,0.3347737,0.3479837,0.356997,0.3627481,0.3755092,0.377807,0.3843385,0.3884306,0.3899624,0.3916612,0.3929604,0.3958519,0.387756,0.3863407,0.3826188,0.3695977,0.3643286,10.36447
2017,1,0.0879368,0.1712166,0.2478604,0.3153356,0.3788171,0.4355624,0.4838784,0.5368306,0.5806372,0.6123512,0.6377481,0.6610438,0.6804258,0.6993654,0.7155093,0.7261553,0.737521,0.7426273,0.7512412,0.7539607,0.7585568,0.7561138,0.75042,0.7542578,0.7431331,0.7407922,0.7261001,0.7185416,0.7107489,0.6947347,10.46162
2017,0,0.0662171,0.1284149,0.1767154,0.2184688,0.2388331,0.2546654,0.2648143,0.2747758,0.2955498,0.2995113,0.3090237,0.31934,0.3275815,0.3422715,0.3493609,0.3622638,0.3720444,0.380558,0.3919531,0.3930998,0.4001492,0.4003564,0.4034775,0.4007912,0.4023721,0.3948154,0.388256,0.3857628,0.3755884,0.3649396,10.3688
2018,1,0.0855134,0.1625513,0.2395352,0.3100807,0.368114,0.4207333,0.4811434,0.5283275,0.5725409,0.6092941,0.6320585,0.6559401,0.6798358,0.6909527,0.7051517,0.7174717,0.7310093,0.7421211,0.7446016,0.7513157,0.7522917,0.7566804,0.7545323,0.7491469,0.7485385,0.7370133,0.730415,0.7226956,0.710008,0.7041431,10.4838
2018,0,0.0698745,0.1259777,0.1749276,0.2091668,0.2385197,0.2522926,0.2669086,0.2758083,0.2940932,0.3065536,0.3125163,0.3225035,0.3345418,0.3470258,0.3618836,0.3704201,0.3829814,0.3947809,0.4013337,0.4057024,0.4089905,0.4141084,0.4126032,0.4132452,0.4071697,0.405923,0.398897,0.3881316,0.3823687,0.3731146,10.38346
2019,1,0.0820519,0.1540989,0.2278827,0.2960394,0.3575452,0.4128133,0.4667384,0.5209826,0.5661162,0.6031027,0.6310776,0.6527045,0.6723753,0.6938006,0.7029853,0.7160488,0.7275147,0.7378778,0.7448055,0.7506546,0.7515995,0.7524302,0.7532861,0.7542537,0.7447525,0.7440284,0.7301656,0.7266638,0.7117612,0.6983677,10.50303
2019,0,0.0661666,0.1273305,0.1644978,0.2041293,0.2309756,0.2463496,0.2637945,0.2762806,0.2874648,0.3028011,0.3151841,0.3220595,0.3346881,0.3538727,0.3657964,0.3796005,0.3885702,0.4012839,0.4124981,0.4149762,0.4194093,0.4177755,0.4212554,0.4212393,0.4156934,0.4102969,0.4059373,0.3941833,0.3833717,0.3750886,10.40694
2020,1,0.0842786,0.1661596,0.2327067,0.2994516,0.3575206,0.4133388,0.4640836,0.5164728,0.5666057,0.6017756,0.6328383,0.6570176,0.6769606,0.6937437,0.7097179,0.7176968,0.7326177,0.7421557,0.7495808,0.7545824,0.7545711,0.7576103,0.7605773,0.7580867,0.7548397,0.7426748,0.741462,0.7282795,0.7219807,0.7094002,10.49895
2020,0,0.077607,0.1355745,0.1850517,0.2170523,0.2439719,0.2572095,0.2748311,0.2880143,0.3038107,0.3136559,0.3295312,0.3436575,0.3542172,0.3723764,0.3899242,0.4025668,0.4164229,0.4248264,0.4338476,0.444759,0.4452763,0.4471976,0.4468089,0.4473393,0.4426957,0.4373204,0.4294072,0.419673,0.4105839,0.3953137,10.39848
2021,1,0.0808754,0.1578358,0.2272863,0.282351,0.3337269,0.3860101,0.4305181,0.4737968,0.5116,0.550932,0.5788455,0.6034786,0.6265986,0.6412317,0.6583676,0.6715665,0.6780611,0.6857932,0.6960416,0.7005993,0.704604,0.7092255,0.70429,0.7067226,0.7071902,0.6996458,0.6885291,0.6848236,0.6692829,0.6619376,10.56362
2021,0,0.0755302,0.1388771,0.1802032,0.2079557,0.2262546,0.237209,0.2432735,0.2500584,0.2564759,0.2657981,0.2762053,0.2924114,0.3102383,0.323477,0.340419,0.3605005,0.3725747,0.3822469,0.3957311,0.4001933,0.4080975,0.408646,0.4097718,0.4054385,0.4057498,0.3966094,0.3891413,0.3811855,0.3691143,0.3566741,10.472
2022,1,0.0795742,0.1463742,0.2096852,0.2607113,0.3073861,0.3518664,0.397974,0.4393436,0.4751399,0.5107784,0.5459038,0.5700989,0.5911596,0.6154275,0.6291451,0.6440427,0.6559582,0.6598275,0.666676,0.6726447,0.6772327,0.6795475,0.6783668,0.6765016,0.6765785,0.6716908,0.6668649,0.6537586,0.6453421,0.6284768,10.63336
2022,0,0.0741671,0.1279442,0.1657567,0.1948324,0.206783,0.2146011,0.2184404,0.2216534,0.2288444,0.235524,0.2509141,0.2593717,0.2802852,0.2996134,0.3115289,0.3284009,0.3450896,0.3562386,0.3660802,0.3707226,0.3733942,0.3820134,0.3792225,0.3777691,0.3696838,0.3636514,0.355723,0.3447655,0.3337246,0.3179868,10.5414
