"CPI All Groups for New Zealand, percentage change (Qrtly-Mar/Jun/Sep/Dec)",""
"","All groups"
" ","Percentage change from same period previous year"
"1962Q1",2.9
"1962Q2",3.3
"1962Q3",2.5
"1962Q4",2.1
"1963Q1",1.8
"1963Q2",1.9
"1963Q3",1.9
"1963Q4",2.2
"1964Q1",2.5
"1964Q2",3.0
"1964Q3",3.8
"1964Q4",4.5
"1965Q1",4.3
"1965Q2",3.6
"1965Q3",3.4
"1965Q4",2.4
"1966Q1",2.8
"1966Q2",3.3
"1966Q3",2.6
"1966Q4",2.4
"1967Q1",4.2
"1967Q2",6.4
"1967Q3",7.0
"1967Q4",6.6
"1968Q1",5.0
"1968Q2",3.6
"1968Q3",3.6
"1968Q4",5.1
"1969Q1",5.5
"1969Q2",5.2
"1969Q3",5.1
"1969Q4",4.0
"1970Q1",4.8
"1970Q2",5.2
"1970Q3",6.1
"1970Q4",10.0
"1971Q1",10.3
"1971Q2",11.0
"1971Q3",11.1
"1971Q4",9.1
"1972Q1",8.5
"1972Q2",7.4
"1972Q3",6.5
"1972Q4",5.5
"1973Q1",6.0
"1973Q2",7.6
"1973Q3",8.9
"1973Q4",10.2
"1974Q1",10.3
"1974Q2",10.0
"1974Q3",11.5
"1974Q4",12.6
"1975Q1",13.2
"1975Q2",14.9
"1975Q3",14.8
"1975Q4",15.7
"1976Q1",17.2
"1976Q2",17.7
"1976Q3",17.2
"1976Q4",15.6
"1977Q1",13.7
"1977Q2",14.0
"1977Q3",14.4
"1977Q4",15.3
"1978Q1",14.6
"1978Q2",12.3
"1978Q3",11.1
"1978Q4",10.1
"1979Q1",10.4
"1979Q2",12.4
"1979Q3",15.2
"1979Q4",16.5
"1980Q1",18.4
"1980Q2",17.9
"1980Q3",16.3
"1980Q4",16.1
"1981Q1",15.2
"1981Q2",15.1
"1981Q3",15.4
"1981Q4",15.7
"1982Q1",15.8
"1982Q2",17.0
"1982Q3",16.6
"1982Q4",15.3
"1983Q1",12.6
"1983Q2",8.3
"1983Q3",5.4
"1983Q4",3.6
"1984Q1",3.5
"1984Q2",4.7
"1984Q3",7.0
"1984Q4",9.4
"1985Q1",13.4
"1985Q2",16.6
"1985Q3",16.3
"1985Q4",15.3
"1986Q1",13.0
"1986Q2",10.4
"1986Q3",11.0
"1986Q4",18.2
"1987Q1",18.3
"1987Q2",18.9
"1987Q3",16.9
"1987Q4",9.6
"1988Q1",9.0
"1988Q2",6.3
"1988Q3",5.6
"1988Q4",4.7
"1989Q1",4.0
"1989Q2",4.4
"1989Q3",7.2
"1989Q4",7.2
"1990Q1",7.0
"1990Q2",7.6
"1990Q3",5.0
"1990Q4",4.9
"1991Q1",4.5
"1991Q2",2.8
"1991Q3",2.2
"1991Q4",1.0
"1992Q1",0.8
"1992Q2",1.0
"1992Q3",1.0
"1992Q4",1.3
"1993Q1",1.0
"1993Q2",1.3
"1993Q3",1.5
"1993Q4",1.4
"1994Q1",1.3
"1994Q2",1.1
"1994Q3",1.8
"1994Q4",2.8
"1995Q1",4.0
"1995Q2",4.6
"1995Q3",3.5
"1995Q4",2.9
"1996Q1",2.2
"1996Q2",2.0
"1996Q3",2.4
"1996Q4",2.6
"1997Q1",1.8
"1997Q2",1.1
"1997Q3",1.0
"1997Q4",0.8
"1998Q1",1.3
"1998Q2",1.7
"1998Q3",1.7
"1998Q4",0.4
"1999Q1",-0.1
"1999Q2",-0.4
"1999Q3",-0.5
"1999Q4",0.5
"2000Q1",1.5
"2000Q2",2.0
"2000Q3",3.0
"2000Q4",4.0
"2001Q1",3.1
"2001Q2",3.2
"2001Q3",2.4
"2001Q4",1.8
"2002Q1",2.6
"2002Q2",2.8
"2002Q3",2.6
"2002Q4",2.7
"2003Q1",2.5
"2003Q2",1.5
"2003Q3",1.5
"2003Q4",1.6
"2004Q1",1.5
"2004Q2",2.4
"2004Q3",2.5
"2004Q4",2.7
"2005Q1",2.8
"2005Q2",2.8
"2005Q3",3.4
"2005Q4",3.2
"2006Q1",3.3
"2006Q2",4.0
"2006Q3",3.5
"2006Q4",2.6
"2007Q1",2.5
"2007Q2",2.0
"2007Q3",1.8
"2007Q4",3.2
"2008Q1",3.4
"2008Q2",4.0
"2008Q3",5.1
"2008Q4",3.4
"2009Q1",3.0
"2009Q2",1.9
"2009Q3",1.7
"2009Q4",2.0
"2010Q1",2.0
"2010Q2",1.7
"2010Q3",1.5
"2010Q4",4.0
"2011Q1",4.5
"2011Q2",5.3
"2011Q3",4.6
"2011Q4",1.8
"2012Q1",1.6
"2012Q2",1.0
"2012Q3",0.8
"2012Q4",0.9
"2013Q1",0.9
"2013Q2",0.7
"2013Q3",1.4
"2013Q4",1.6
