origin_year,forecast_year,horizon,actual,forecast,error,p,d,q,aic,abs_error,squared_error
2014,2018,4,-8.7801249742725e-05,-0.00636775314062408,-0.00627995189088136,2,0,2,-238.140443859603,0.00627995189088136,3.94377957517844e-05
2014,2019,5,-0.00102253965321941,-0.00892970527337929,-0.00790716562015988,2,0,2,-238.140443859603,0.00790716562015988,6.25232681446384e-05
2015,2016,1,0.00576561251912827,-0.00121049697506451,-0.00697610949419278,2,0,2,-247.119732963438,0.00697610949419278,4.86661036749667e-05
2015,2017,2,-0.00459991623041911,-0.012502786197789,-0.00790286996736984,2,0,2,-247.119732963438,0.00790286996736984,6.24553537211562e-05
2015,2018,3,-8.7801249742725e-05,-0.00632598044966319,-0.00623817919992047,2,0,2,-247.119732963438,0.00623817919992047,3.89148797303203e-05
2015,2019,4,-0.00102253965321941,-0.00885432086088328,-0.00783178120766387,2,0,2,-247.119732963438,0.00783178120766387,6.13367968847169e-05
2015,2023,5,-0.0209559340979784,-0.0060725584430992,0.0148833756548792,2,0,2,-247.119732963438,0.0148833756548792,0.000221514870884251
2016,2017,1,-0.00459991623041911,-0.0114888722427192,-0.00688895601230007,2,0,2,-255.249430109256,0.00688895601230007,4.74577149394053e-05
2016,2018,2,-8.7801249742725e-05,-0.00632905123405164,-0.00624124998430892,2,0,2,-255.249430109256,0.00624124998430892,3.89532013666361e-05
2016,2019,3,-0.00102253965321941,-0.00985373045019542,-0.00883119079697601,2,0,2,-255.249430109256,0.00883119079697601,7.79899308925937e-05
2016,2023,4,-0.0209559340979784,-0.00653253936047153,0.0144233947375069,2,0,2,-255.249430109256,0.0144233947375069,0.000208034315753941
2016,2024,5,0.0154024752504986,0.00959045576921366,-0.00581201948128499,2,0,2,-255.249430109256,0.00581201948128499,3.37795704508362e-05
2017,2018,1,-8.7801249742725e-05,-0.00475550178715696,-0.00466770053741423,2,0,2,-263.442700338354,0.00466770053741423,2.17874283069771e-05
2017,2019,2,-0.00102253965321941,-0.00950311949345534,-0.00848057984023593,2,0,2,-263.442700338354,0.00848057984023593,7.1920234426616e-05
2017,2023,3,-0.0209559340979784,-0.00825178044266322,0.0127041536553152,2,0,2,-263.442700338354,0.0127041536553152,0.000161395520097858
2017,2024,4,0.0154024752504986,0.00714599351495912,-0.00825648173553953,2,0,2,-263.442700338354,0.00825648173553953,6.81694906492979e-05
2017,2025,5,0.00992898896671901,0.00349725947990817,-0.00643172948681084,2,0,2,-263.442700338354,0.00643172948681084,4.13671441915121e-05
2018,2019,1,-0.00102253965321941,-0.00853422192322887,-0.00751168227000946,2,0,2,-272.004676504991,0.00751168227000946,5.64253705255745e-05
2018,2023,2,-0.0209559340979784,-0.00829689188521999,0.0126590422127584,2,0,2,-272.004676504991,0.0126590422127584,0.0001602513497444
2018,2024,3,0.0154024752504986,0.00577019273614957,-0.00963228251434908,2,0,2,-272.004676504991,0.00963228251434908,9.2780866436235e-05
2018,2025,4,0.00992898896671901,0.00232291461779248,-0.00760607434892653,2,0,2,-272.004676504991,0.00760607434892653,5.78523670013982e-05
2019,2023,1,-0.0209559340979784,-0.00727515928348551,0.0136807748144929,2,0,2,-279.785316508105,0.0136807748144929,0.000187163599524863
2019,2024,2,0.0154024752504986,0.00403136628501724,-0.0113711089654814,2,0,2,-279.785316508105,0.0113711089654814,0.000129302119104852
2019,2025,3,0.00992898896671901,0.000185729444157017,-0.00974325952256199,2,0,2,-279.785316508105,0.00974325952256199,9.4931106123995e-05
2020,2023,1,-0.0209559340979784,-0.00727515928348551,0.0136807748144929,2,0,2,-279.785316508105,0.0136807748144929,0.000187163599524863
2020,2024,2,0.0154024752504986,0.00403136628501724,-0.0113711089654814,2,0,2,-279.785316508105,0.0113711089654814,0.000129302119104852
2020,2025,3,0.00992898896671901,0.000185729444157017,-0.00974325952256199,2,0,2,-279.785316508105,0.00974325952256199,9.4931106123995e-05
2021,2023,1,-0.0209559340979784,-0.00727515928348551,0.0136807748144929,2,0,2,-279.785316508105,0.0136807748144929,0.000187163599524863
2021,2024,2,0.0154024752504986,0.00403136628501724,-0.0113711089654814,2,0,2,-279.785316508105,0.0113711089654814,0.000129302119104852
2021,2025,3,0.00992898896671901,0.000185729444157017,-0.00974325952256199,2,0,2,-279.785316508105,0.00974325952256199,9.4931106123995e-05
2022,2023,1,-0.0209559340979784,-0.00727515928348551,0.0136807748144929,2,0,2,-279.785316508105,0.0136807748144929,0.000187163599524863
2022,2024,2,0.0154024752504986,0.00403136628501724,-0.0113711089654814,2,0,2,-279.785316508105,0.0113711089654814,0.000129302119104852
2022,2025,3,0.00992898896671901,0.000185729444157017,-0.00974325952256199,2,0,2,-279.785316508105,0.00974325952256199,9.4931106123995e-05
2023,2024,1,0.0154024752504986,0.000984843277015251,-0.0144176319734834,2,0,2,-287.224634064554,0.0144176319734834,0.000207868111722811
2023,2025,2,0.00992898896671901,0.00227011205518983,-0.00765887691152918,2,0,2,-287.224634064554,0.00765887691152918,5.86583955459548e-05
2024,2025,1,0.00992898896671901,0.00160434644927661,-0.0083246425174424,2,0,2,-291.310642452759,0.0083246425174424,6.92996730432098e-05
