year_removed,status,p,d,q,aic,n_macro_estimation_years,final_projection_year,baseline_final_projection,leave_one_out_final_projection,final_projection_change,abs_final_projection_change,max_abs_regressor_parameter_change,max_relative_regressor_parameter_change,max_abs_any_parameter_change,error
1998,estimated,0,0,0,-272.300013075499,40,2071,0.405670979746285,0.407710610369674,0.0020396306233883,0.0020396306233883,0.0630565560102414,0.283871632167903,0.0630565560102414,
1999,estimated,0,0,0,-272.036360310041,40,2071,0.405670979746285,0.407602896197237,0.0019319164509517,0.0019319164509517,0.0192710310456005,0.313741436998014,0.0192710310456005,
2000,estimated,0,0,0,-273.415955788088,40,2071,0.405670979746285,0.407282948372278,0.0016119686259925,0.0016119686259925,0.00806506883716429,0.311643689501148,0.00806506883716429,
2001,estimated,0,0,0,-273.043053813434,40,2071,0.405670979746285,0.406700149882727,0.00102917013644144,0.00102917013644144,0.0346035827337157,0.286212262509098,0.0346035827337157,
2002,estimated,0,0,1,-271.985734118082,40,2071,0.405670979746285,0.402962319476807,-0.00270866026947875,0.00270866026947875,0.0124677115408137,0.157288152976379,0.255824542352947,
2003,estimated,0,0,0,-271.817315798582,40,2071,0.405670979746285,0.406482940212766,0.000811960466480133,0.000811960466480133,0.00868618244356356,0.280402615509414,0.00868618244356356,
2004,estimated,0,0,0,-271.635241553821,40,2071,0.405670979746285,0.406240617844093,0.000569638097807634,0.000569638097807634,0.00661748604845758,0.261725902477709,0.00661748604845758,
2005,estimated,0,0,0,-271.2474515589,40,2071,0.405670979746285,0.405794355661989,0.000123375915703938,0.000123375915703938,0.00722760352661411,0.238743737731218,0.00722760352661411,
2006,estimated,0,0,0,-271.485357357699,40,2071,0.405670979746285,0.405258932488542,-0.000412047257742909,0.000412047257742909,0.016263891026062,0.240834827727149,0.016263891026062,
2007,estimated,0,0,0,-271.652494724454,40,2071,0.405670979746285,0.404175961720608,-0.00149501802567764,0.00149501802567764,0.0388702495455913,0.242131399992749,0.0388702495455913,
2008,estimated,2,0,2,-277.903394293005,40,2071,0.405670979746285,0.409416179913523,0.00374520016723789,0.00374520016723789,0.0523445953176078,0.145550439230078,0.195390421111475,
2009,estimated,2,0,2,-278.297335778296,40,2071,0.405670979746285,0.414992497659064,0.00932151791277858,0.00932151791277858,0.0549418426760501,0.285042309486742,0.304570829299228,
2010,estimated,0,0,0,-274.832632865312,40,2071,0.405670979746285,0.401734390180209,-0.00393658956607657,0.00393658956607657,0.0805477417140643,0.408262595796071,0.0805477417140643,
2011,estimated,0,0,0,-274.988338694893,40,2071,0.405670979746285,0.399041690790865,-0.00662928895542025,0.00662928895542025,0.0172334814886033,0.429316897001289,0.0172334814886033,
2012,estimated,2,0,1,-275.034650144444,40,2071,0.405670979746285,0.422401426852079,0.0167304471057935,0.0167304471057935,0.0106092706938235,0.598663092279653,1.00721604453768,
2013,estimated,0,0,0,-274.056867334473,40,2071,0.405670979746285,0.408816896187918,0.00314591644163259,0.00314591644163259,0.0158837856348611,0.504344188164666,0.0158837856348611,
2014,estimated,0,0,0,-271.930076529825,40,2071,0.405670979746285,0.40746835213968,0.00179737239339484,0.00179737239339484,0.0151334789435996,0.364243803639383,0.0151334789435996,
2015,estimated,0,0,0,-271.754029201854,40,2071,0.405670979746285,0.407316708964579,0.00164572921829409,0.00164572921829409,0.0113632632974324,0.32674986968582,0.0113632632974324,
2016,estimated,0,0,0,-271.226051360215,40,2071,0.405670979746285,0.406584468674229,0.000913488927943185,0.000913488927943185,0.00284131926461065,0.264740032115149,0.00284131926461065,
2017,estimated,0,0,0,-271.163352686634,40,2071,0.405670979746285,0.407500270921754,0.00182929117546904,0.00182929117546904,0.0133349181728276,0.29060910486673,0.0133349181728276,
2018,estimated,0,0,0,-271.196446951374,40,2071,0.405670979746285,0.407963283659402,0.00229230391311674,0.00229230391311674,0.0220224147734961,0.291204878429892,0.0220224147734961,
2019,estimated,2,0,2,-280.931029582539,41,2071,0.405670979746285,0.412708815915468,0.00703783616918285,0.00703783616918285,0.0361473435132277,0.269395770357415,0.167766320187852,
2022,estimated,2,0,2,-290.097331770757,41,2071,0.405670979746285,0.398915571297379,-0.00675540844890637,0.00675540844890637,0.254243250908307,0.934704070476371,0.254243250908307,
2023,estimated,2,0,2,-280.944761746554,40,2071,0.405670979746285,0.417317213987921,0.0116462342416355,0.0116462342416355,0.0662176149154151,0.437727871712424,0.0662176149154151,
2024,estimated,2,0,2,-275.536401380371,40,2071,0.405670979746285,0.402563793202626,-0.00310718654365938,0.00310718654365938,0.00814195488952529,0.0388290929264368,0.00814195488952529,
2025,estimated,2,0,2,-282.975076047825,41,2071,0.405670979746285,0.404809768845533,-0.000861210900752307,0.000861210900752307,0.0567302814219542,0.104736752389603,0.0567302814219542,
