component,term,is_regressor_parameter,estimate_baseline,estimate_leave_one_out,year_removed,change,abs_change,relative_abs_change
demographic_level,65p,TRUE,0.805797162420101,0.806259130557065,2000,0.000461968136964863,0.000461968136964863,0.00057330573810586
macro_difference_arimax,ar1,FALSE,0.31032311338159,,2000,,,
macro_difference_arimax,ar2,FALSE,-0.812520367679284,,2000,,,
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0139133947462965,2000,-0.00117076812562888,0.00117076812562888,0.0776157175953009
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.00738777596387841,2000,-0.00334471221295619,0.00334471221295619,0.311643689501148
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.00640096774776722,2000,-0.00166606929387785,0.00166606929387785,0.206528033189506
macro_difference_arimax,ma1,FALSE,0.00721970768424635,,2000,,,
macro_difference_arimax,ma2,FALSE,0.999965697612929,,2000,,,
demographic_level,(Intercept),TRUE,0.115664188207803,0.107932903879208,2001,-0.00773128432859448,0.00773128432859448,0.0668425071613732
demographic_level,0_14,TRUE,-0.272004005266322,-0.296746737032618,2001,-0.0247427317662963,0.0247427317662963,0.0909645861356729
demographic_level,15_34,TRUE,0.836174838612488,0.870778421346203,2001,0.0346035827337157,0.0346035827337157,0.0413831906149381
demographic_level,55_64,TRUE,-0.574198297012215,-0.551450534711522,2001,0.0227477623006932,0.0227477623006932,0.0396165617680494
demographic_level,65p,TRUE,0.805797162420101,0.80662519341907,2001,0.000828030998969442,0.000828030998969442,0.00102759234902561
macro_difference_arimax,ar1,FALSE,0.31032311338159,,2001,,,
macro_difference_arimax,ar2,FALSE,-0.812520367679284,,2001,,,
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0139658702488731,2001,-0.0011182926230523,0.0011182926230523,0.0741368700767387
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.00766071845339063,2001,-0.00307176972344397,0.00307176972344397,0.286212262509098
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.0063561037480454,2001,-0.00171093329359967,0.00171093329359967,0.212089430700168
macro_difference_arimax,ma1,FALSE,0.00721970768424635,,2001,,,
macro_difference_arimax,ma2,FALSE,0.999965697612929,,2001,,,
demographic_level,(Intercept),TRUE,0.115664188207803,0.112440689467696,2002,-0.00322349874010661,0.00322349874010661,0.0278694623638844
demographic_level,0_14,TRUE,-0.272004005266322,-0.279162168833916,2002,-0.00715816356759413,0.00715816356759413,0.0263163903067733
demographic_level,15_34,TRUE,0.836174838612488,0.848642550153301,2002,0.0124677115408137,0.0124677115408137,0.0149104122308943
demographic_level,55_64,TRUE,-0.574198297012215,-0.569231375366506,2002,0.00496692164570867,0.00496692164570867,0.00865018526100401
demographic_level,65p,TRUE,0.805797162420101,0.809103521474052,2002,0.00330635905395138,0.00330635905395138,0.00410321506223872
macro_difference_arimax,ar1,FALSE,0.31032311338159,,2002,,,
macro_difference_arimax,ar2,FALSE,-0.812520367679284,,2002,,,
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0162078374863362,2002,0.00112367461441085,0.00112367461441085,0.0744936675605799
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.0116088999284314,2002,0.000876411751596827,0.000876411751596827,0.0816596987722294
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.00679818768537268,2002,-0.00126884935627238,0.00126884935627238,0.157288152976379
macro_difference_arimax,ma1,FALSE,0.00721970768424635,0.263044250037193,2002,0.255824542352947,0.255824542352947,35.4341967211726
macro_difference_arimax,ma2,FALSE,0.999965697612929,,2002,,,
demographic_level,(Intercept),TRUE,0.115664188207803,0.11847439414384,2003,0.00281020593603673,0.00281020593603673,0.0242962491638977
demographic_level,0_14,TRUE,-0.272004005266322,-0.269081362368285,2003,0.00292264289803695,0.00292264289803695,0.0107448524339756
demographic_level,15_34,TRUE,0.836174838612488,0.827488656168924,2003,-0.00868618244356356,0.00868618244356356,0.0103879978713268
demographic_level,55_64,TRUE,-0.574198297012215,-0.575047904955073,2003,-0.000849607942857933,0.000849607942857933,0.00147964204575107
demographic_level,65p,TRUE,0.805797162420101,0.800485801721099,2003,-0.00531136069900118,0.00531136069900118,0.00659143633994595
macro_difference_arimax,ar1,FALSE,0.31032311338159,,2003,,,
macro_difference_arimax,ar2,FALSE,-0.812520367679284,,2003,,,
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0144295582236219,2003,-0.00065460464830343,0.00065460464830343,0.0433968165062563
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.00772307042112632,2003,-0.00300941775570828,0.00300941775570828,0.280402615509414
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.00613664776185465,2003,-0.00193038927979041,0.00193038927979041,0.239293469191355
macro_difference_arimax,ma1,FALSE,0.00721970768424635,,2003,,,
macro_difference_arimax,ma2,FALSE,0.999965697612929,,2003,,,
demographic_level,(Intercept),TRUE,0.115664188207803,0.118193995753202,2004,0.00252980754539872,0.00252980754539872,0.0218720036391355
demographic_level,0_14,TRUE,-0.272004005266322,-0.27127812808678,2004,0.000725877179541923,0.000725877179541923,0.00266862680507668
demographic_level,15_34,TRUE,0.836174838612488,0.82955735256403,2004,-0.00661748604845758,0.00661748604845758,0.00791399805743778
demographic_level,55_64,TRUE,-0.574198297012215,-0.572600695060815,2004,0.00159760195140035,0.00159760195140035,0.00278231746717696
demographic_level,65p,TRUE,0.805797162420101,0.799456040399996,2004,-0.00634112202010506,0.00634112202010506,0.00786937745109498
