time,n.risk,n.event,n.censor,survival_prob.1,survival_prob.2,std.err.1,std.err.2
44,465535,0,0,0.808063811380178,0.787260303011161,0.00051948509397414,0.00173800265681156
45,465535,0,0,0.808063811380178,0.787260303011161,0.00051948509397414,0.00173800265681156
46,465535,0,0,0.808063811380178,0.787260303011161,0.00051948509397414,0.00173800265681156
47,465535,0,0,0.808063811380178,0.787260303011161,0.00051948509397414,0.00173800265681156
48,465535,0,0,0.808063811380178,0.787260303011161,0.00051948509397414,0.00173800265681156
49,465535,22382,0,0.769315117907292,0.74501511981051,0.000556004966270475,0.00200610215160206
50,443153,0,0,0.769315117907292,0.74501511981051,0.000556004966270475,0.00200610215160206
51,443153,0,0,0.769315117907292,0.74501511981051,0.000556004966270475,0.00200610215160206
52,443153,0,0,0.769315117907292,0.74501511981051,0.000556004966270475,0.00200610215160206
53,443153,0,0,0.769315117907292,0.74501511981051,0.000556004966270475,0.00200610215160206
54,443153,0,0,0.769315117907292,0.74501511981051,0.000556004966270475,0.00200610215160206
55,443153,0,0,0.769315117907292,0.74501511981051,0.000556004966270475,0.00200610215160206
56,443153,37626,0,0.704161716774292,0.674574204447824,0.000602951055905314,0.00240574619601633
57,405527,0,0,0.704161716774292,0.674574204447824,0.000602951055905314,0.00240574619601633
58,405527,0,0,0.704161716774292,0.674574204447824,0.000602951055905314,0.00240574619601633
59,405527,0,0,0.704161716774292,0.674574204447824,0.000602951055905314,0.00240574619601633
60,405527,0,0,0.704161716774292,0.674574204447824,0.000602951055905314,0.00240574619601633
61,405527,0,0,0.704161716774292,0.674574204447824,0.000602951055905314,0.00240574619601633
62,405527,0,0,0.704161716774292,0.674574204447824,0.000602951055905314,0.00240574619601633
63,405527,41072,0,0.633021953155263,0.598570513703708,0.000637346777475118,0.00276425457009019
64,364455,0,0,0.633021953155263,0.598570513703708,0.000637346777475118,0.00276425457009019
65,364455,0,0,0.633021953155263,0.598570513703708,0.000637346777475118,0.00276425457009019
66,364455,0,0,0.633021953155263,0.598570513703708,0.000637346777475118,0.00276425457009019
67,364455,0,0,0.633021953155263,0.598570513703708,0.000637346777475118,0.00276425457009019
68,364455,0,0,0.633021953155263,0.598570513703708,0.000637346777475118,0.00276425457009019
69,364455,0,0,0.633021953155263,0.598570513703708,0.000637346777475118,0.00276425457009019
70,364455,29583,0,0.581768653563106,0.544451476122444,0.000652724879289099,0.00296850204181362
71,334872,0,0,0.581768653563106,0.544451476122444,0.000652724879289099,0.00296850204181362
72,334872,0,0,0.581768653563106,0.544451476122444,0.000652724879289099,0.00296850204181362
