date,real_gdp,public_demand,trimmed_mean_qoq,trimmed_mean_yoy,cash_rate,output_gap,public_demand_gap,inflation_gap,real_rate_gap
1999-12-31,350488.0,78718.8,0.6,2.4,4.91,1.3881647659772511,1.1656749336729888,-0.10000000000000009,0.5808641975308642
2000-03-31,351872.0,81795.6,0.7,2.5,5.326666666666667,0.8651047779437704,4.272617009404733,0.2999999999999998,0.897530864197531
2000-06-30,355338.0,80924.4,0.6,2.7,5.8999999999999995,0.9426127033467679,2.494339475028795,-0.10000000000000009,1.2708641975308632
2000-09-30,356306.0,80246.3,0.5,2.4,6.163333333333334,0.3246957477404777,0.9609095752704633,-0.5,1.834197530864198
2000-12-31,354859.0,78440.8,0.6,2.4,6.25,-0.9618129779811468,-1.996955195601835,-0.10000000000000009,1.920864197530864
2001-03-31,358221.0,79894.5,1.0,2.7,5.883333333333333,-0.8905678864026711,-0.839532482641836,1.5,1.2541975308641966
2001-06-30,361444.0,80142.0,0.8,3.0,5.02,-0.8606595358156,-1.2108548222419913,0.7000000000000002,0.0908641975308635
2001-09-30,365512.0,81209.8,0.7,3.1,4.926666666666667,-0.6027097876609488,-0.5742675223281424,0.2999999999999998,-0.10246913580246941
2001-12-31,369855.0,81530.1,0.8,3.3,4.433333333333334,-0.2790643531293213,-0.8778521949800222,0.7000000000000002,-0.7958024691358023
2002-03-31,372745.0,81001.7,0.8,3.1,4.25,-0.3550231811592752,-2.2389935401875505,0.7000000000000002,-0.7791358024691362
2002-06-30,379233.0,83521.5,0.6,2.9,4.473333333333333,0.519241447092611,0.09682456740129908,-0.10000000000000009,-0.35580246913580327
2002-09-30,380108.0,83804.6,0.7,2.9,4.75,-0.09877523037999936,-0.3105586835003393,0.2999999999999998,-0.07913580246913599
2002-12-31,383279.0,84239.5,0.7,2.8,4.75,-0.11399035213024433,-0.558509689216713,0.2999999999999998,0.020864197530864104
2003-03-31,384182.0,85059.9,0.8,2.9,4.75,-0.7225019340072691,-0.37608241954938393,0.7000000000000002,-0.07913580246913599
2003-06-30,385753.0,84544.1,0.5,2.8,4.75,-1.156349223997033,-1.7933299054041285,-0.5,0.020864197530864104
2003-09-30,392261.0,85470.2,0.7,2.8,4.75,-0.32317569419095804,-1.5359636799695764,0.2999999999999998,0.020864197530864104
2003-12-31,398899.0,87438.1,0.7,2.7,4.983333333333333,0.5180691375464619,-0.11449127756062438,0.2999999999999998,0.35419753086419714
2004-03-31,401910.0,87565.3,0.7,2.6,5.25,0.43734851948720177,-0.8455049204270537,0.2999999999999998,0.7208641975308638
2004-06-30,404944.0,89873.0,0.6,2.6,5.25,0.3616115297820244,0.8591976629936937,-0.10000000000000009,0.7208641975308638
2004-09-30,407624.0,89555.8,0.6,2.6,5.25,0.198890038866395,-0.4092760250944849,-0.10000000000000009,0.7208641975308638
2004-12-31,410710.0,90424.1,0.8,2.7,5.25,0.13647807871528528,-0.3763021350756901,0.7000000000000002,0.6208641975308637
2005-03-31,414089.0,91169.9,0.6,2.7,5.33,0.1451027380502623,-0.502259235022251,-0.10000000000000009,0.7008641975308638
2005-06-30,416015.0,93599.7,0.6,2.7,5.5,-0.1956052404841202,1.1670008948600596,-0.10000000000000009,0.8708641975308637
2005-09-30,420512.0,93398.6,0.6,2.7,5.5,0.08079521279569235,-0.020556570320628964,-0.10000000000000009,0.8708641975308637
2005-12-31,423912.0,95048.5,0.7,2.6,5.5,0.09340617780342342,0.7479605929004762,0.2999999999999998,0.9708641975308638
2006-03-31,424243.0,95308.7,0.8,2.8,5.5,-0.6150593317633124,0.030074146243386224,0.7000000000000002,0.7708641975308641
2006-06-30,425448.0,95273.3,0.8,3.0,5.66,-1.1117781936375692,-1.0060920455968514,0.7000000000000002,0.7308641975308641
2006-09-30,431836.0,97999.5,0.7,3.1,5.913333333333334,-0.39525717028272567,0.8093421601945039,0.2999999999999998,0.8841975308641978
2006-12-31,437165.0,97449.3,0.6,3.0,6.146666666666667,0.06507281348735461,-0.7647886456702224,-0.10000000000000009,1.2175308641975313
2007-03-31,443184.0,97450.5,0.6,2.7,6.25,0.6753317548101379,-1.7789028568998333,-0.10000000000000009,1.6208641975308637
2007-06-30,446128.0,99007.0,0.9,2.8,6.25,0.5905135820185592,-1.2123527554813052,1.1,1.520864197530864
2007-09-30,451354.0,98494.9,0.9,2.9,6.3999999999999995,1.019352589123912,-2.7490490476507645,1.1,1.5708641975308635
2007-12-31,452939.0,101879.2,1.2,3.6,6.6499999999999995,0.6457784115243115,-0.3855386353995627,2.3,1.1208641975308633
2008-03-31,458030.0,103144.2,1.1,4.2,6.976666666666667,1.0508818026034206,-0.1578725246531576,1.9000000000000004,0.8475308641975303
2008-06-30,459711.0,105437.1,1.2,4.4,7.25,0.7155635415880823,1.0482182596854628,2.3,0.9208641975308636
2008-09-30,462813.0,106343.2,1.2,4.8,7.173333333333333,0.6961860782920937,0.9305981309321254,2.3,0.444197530864197
2008-12-31,460801.0,106721.7,0.7,4.3,5.286666666666666,-0.423250435957101,0.3366036738619016,0.2999999999999998,-0.9424691358024697
2009-03-31,465513.0,106203.1,0.9,4.1,3.6166666666666667,-0.08358361185045737,-1.0715507721540618,1.1,-2.412469135802469
2009-06-30,468525.0,106879.8,0.7,3.6,3.02,-0.1121127353810536,-1.3251731363482122,0.2999999999999998,-2.509135802469136
2009-09-30,469982.0,109447.1,0.7,3.1,3.0,-0.47261941560776677,0.1966302109089213,0.2999999999999998,-2.029135802469136
2009-12-31,473770.0,112244.0,0.8,3.2,3.4766666666666666,-0.34008057854890694,1.9105922793311692,0.7000000000000002,-1.6524691358024697
2010-03-31,475949.0,116154.5,0.8,3.1,3.8266666666666667,-0.5520407767614088,4.573605048437734,0.7000000000000002,-1.2024691358024695
2010-06-30,479006.0,114906.5,0.4,2.8,4.3966666666666665,-0.5844310391635688,2.783757907208795,-0.8999999999999999,-0.3324691358024694
2010-09-30,482198.0,114733.3,0.6,2.6,4.5,-0.5955306878728805,1.976634926482923,-0.10000000000000009,-0.029135802469136163
2010-12-31,486229.0,115191.7,0.4,2.2,4.66,-0.4414213845187476,1.7720074327588264,-0.8999999999999999,0.5308641975308639
2011-03-31,484903.0,116334.0,0.8,2.2,4.75,-1.3960959851736732,2.2066701724059,0.7000000000000002,0.6208641975308637
2011-06-30,490846.0,116331.4,0.8,2.7,4.75,-0.8625676201287291,1.7008379842943455,0.7000000000000002,0.12086419753086375
2011-09-30,497511.0,116549.6,0.4,2.5,4.75,-0.20046152616242097,1.4290042338467757,-0.8999999999999999,0.3208641975308639
2011-12-31,503039.0,117321.7,0.6,2.7,4.52,0.21752163622004161,1.669232028257639,-0.10000000000000009,-0.10913580246913668
2012-03-31,508399.0,116337.8,0.4,2.3,4.25,0.5916970238210695,0.4400911605850766,-0.8999999999999999,0.020864197530864104
