year,pop_total,0_14,15_34,35_54,55_64,65_74,75p,65p
1988,16532164,0.223747538434775,0.330423046855814,0.248552881522346,0.0889190912937955,0.0666458426132235,0.0417115992800459,0.108357441893269
1989,16814416,0.221531214643435,0.328993644501242,0.252383966234688,0.0872749906984578,0.0670766085482838,0.0427395753738935,0.109816183922177
1990,17065128,0.220039017580179,0.326805166653306,0.256385243638372,0.0858202762967849,0.067440279381438,0.0435100164499206,0.110950295831359
1991,17284036,0.219018868046792,0.323202057667549,0.260282783488764,0.0846340519077836,0.0683951942705974,0.0444670446185139,0.112862238889111
1992,17478635,0.218156566573992,0.319334604790363,0.264039897852435,0.0839377903366024,0.0691493929588895,0.0453817474877186,0.114531140446608
1993,17634808,0.217255271506217,0.314846013633945,0.267912358331318,0.083588831814897,0.0701489916986905,0.0462485330149327,0.116397524713623
1994,17805468,0.216269013541234,0.31059846334845,0.271667725891844,0.0835333280765212,0.0710154880511987,0.0469159810907526,0.117931469141951
1995,18004882,0.215251230194122,0.306345356776012,0.275687116416536,0.0836775270173945,0.0709500345517399,0.0480887350441952,0.119038769595935
1996,18224767,0.213697437119498,0.302280846718095,0.279762753619841,0.0839699624143343,0.0707250742903874,0.0495639258378447,0.120289000128232
1997,18423037,0.212146944067908,0.297583237769104,0.283477908664028,0.0853669240310379,0.070213016453259,0.0512119690146635,0.121424985467923
1998,18607584,0.21047982371059,0.293034711008157,0.287089930643333,0.0869452477011524,0.0696811579622588,0.0527691289745085,0.122450286936767
1999,18812264,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.069104654282972,0.054305584909929,0.123410239192901
2000,19028802,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.068422909650329,0.0558234827394809,0.12424639238981
2001,19274701,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.0680664773995716,0.0574384526120535,0.125504930011625
2002,19495210,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.0679451516552015,0.0585304800512536,0.126475631706455
2003,19720737,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.0677877809536226,0.0595566991233644,0.127344480076987
2004,19932722,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.0678986041143804,0.060476085504027,0.128374689618407
2005,20176844,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.0680964277664039,0.0613529053403991,0.129449333106803
2006,20450966,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.0683221027309908,0.0619438221157866,0.130265924846777
2007,20827622,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.069181445678244,0.062211855006779,0.131393300685023
2008,21249199,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.0698867284362107,0.0621261064946495,0.13201283493086
2009,21691653,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.0712790767951156,0.0619779875696887,0.133257064364804
2010,22031750,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.073225640269157,0.0623366732102534,0.13556231347941
2011,22340024,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.0752877884106123,0.0629354740173959,0.138223262428008
2012,22733465,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.0781452805368649,0.0632257335166461,0.141371014053511
2013,23128129,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.0803806049334989,0.0636162570694759,0.143996862002975
2014,23475686,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.0823152090209419,0.0643108789238363,0.146626087944778
2015,23815995,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.0842580794965736,0.0649821265078364,0.14924020600441
2016,24190907,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.086117854117665,0.0656850939900683,0.151802948107733
2017,24592588,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.087541498275822,0.0664992639245613,0.154040762200383
2018,24963258,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.0892320225188555,0.0673237844194856,0.156555806938341
2019,25334826,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.0904701299310285,0.0687240559694391,0.159194185900468
2020,25649248,0.185475691139171,0.272314377403969,0.26171738056414,0.117220668613754,0.0925498868426864,0.0707219954362795,0.163271882278966
2021,25685412,0.184886347160793,0.265631401980237,0.264087490595829,0.117430975995246,0.0945011900140048,0.0734625942538901,0.167963784267895
2022,26018721,0.183102697476944,0.26586352957165,0.264289432213059,0.11635256782991,0.0940807582355797,0.0763110146728581,0.170391772908438
2023,26659922,0.179316016003348,0.272137930486068,0.263337829720582,0.11416102417704,0.0932465218765456,0.0778006777364165,0.171047199612962
2024,27194286,0.17632248186255,0.275094223838052,0.263041434513118,0.112801233317911,0.0931563711582646,0.0795842553101045,0.172740626468369
2025,27611026,0.173979771704246,0.275554519415541,0.263270549960729,0.11192506935454,0.0934652699975727,0.0818048195673714,0.175270089564944
