year,gfce_nom,gfcf_nom,gfce_real,gdp_nom,gdp_real,income_payable_nom,interest_payable_total_nom,interest_payable_other_nom,interest_payable_unfunded_super_nom,broad_expenditure_including_interest_nom,broad_expenditure_excluding_other_interest_nom,broad_expenditure_excluding_total_interest_nom,gov_consumption_price,gdp_price,broad_expenditure_including_interest_gdp,broad_expenditure_excluding_other_interest_gdp,broad_expenditure_excluding_total_interest_gdp,interest_payable_total_gdp,interest_payable_other_gdp,interest_payable_unfunded_super_gdp,broad_expenditure_gdp,broad_expenditure_nom,topdown_interest_treatment,topdown_interest_treatment_label,pop_total,0_14,15_34,35_54,55_64,65_74,75p,65p,tot_index,unemployment,relative_gov_price,tot_z,rp_z,covid,log_population,log_real_gdp_per_capita,population_growth,real_gdp_per_capita_growth,source
1994,87611,14988,203781,467091,1094656,70439,18835,9998,8835,173038,163040,154203,0.429927225796321,0.426701173702058,0.370458861335371,0.349054038720506,0.330134813130632,0.0403240482047395,0.0214048226148652,0.0189149437689872,0.349054038720506,163040,exclude_other_interest,Exclude conventional other interest,17805468,0.216269013541234,0.31059846334845,0.271667725891844,0.0835333280765212,0.0710154880511987,0.0469159810907526,0.117931469141951,47.7,10.5257248083333,1.00756044813815,-0.945164767331493,-0.327560140913459,0,16.6950161591001,-2.78906544247555,0.00963092494678364,0.0293863477232472,ABS national accounts and labour/demographic data
1995,92309,16011,212564,497057,1137240,75894,22681,13732,8947,184214,170482,161533,0.434264503867071,0.437073089233583,0.370609406969422,0.342982796741621,0.324978825366105,0.0456305816033171,0.0276266102278008,0.0179999476921158,0.342982796741621,170482,exclude_other_interest,Exclude conventional other interest,18004882,0.215251230194122,0.306345356776012,0.275687116416536,0.0836775270173945,0.0709500345517399,0.0480887350441952,0.119038769595935,49.375,8.91635665,0.993574105943156,-0.840674973731608,-0.790607701029291,0,16.7061535013086,-2.76203866905632,0.0111373422085101,0.0270267734192307,ABS national accounts and labour/demographic data
1996,98252,15776,221544,529902,1181201,79524,22380,13182,9197,193552,180370,171172,0.443487523923013,0.448612894841776,0.365259991470121,0.340383693588626,0.32302576702862,0.0422342244415005,0.0248762978814951,0.0173560394186095,0.340383693588626,180370,exclude_other_interest,Exclude conventional other interest,18224767,0.213697437119498,0.302280846718095,0.279762753619841,0.0839699624143343,0.0707250742903874,0.0495639258378447,0.120289000128232,50.85,8.39426749166667,0.98857507000424,-0.748661573397382,-0.956111401866439,0,16.7182920511408,-2.73624977569256,0.0121385498322191,0.0257888933637664,ABS national accounts and labour/demographic data
1997,101674,16355,226213,556723,1227481,80250,19409,11458,7952,198279,186821,178870,0.449461348375204,0.453549179172631,0.356153778449965,0.335572627680193,0.321290839430022,0.0348629390199435,0.0205811507697724,0.014283584475583,0.335572627680193,186821,exclude_other_interest,Exclude conventional other interest,18423037,0.212146944067908,0.297583237769104,0.283477908664028,0.0853669240310379,0.070213016453259,0.0512119690146635,0.121424985467923,52.35,8.58668215833333,0.990987017538244,-0.655088623904948,-0.876258756680379,0,16.7291124503367,-2.7086377904208,0.0108203991959641,0.0276119852717569,ABS national accounts and labour/demographic data
1998,107475,16495,235365,590500,1284889,78156,16051,8996,7053,202126,193130,186075,0.456631189854057,0.459572772434039,0.342296359017782,0.327061812023709,0.315114309906859,0.0271820491109229,0.0152345469940728,0.0119441151566469,0.327061812023709,193130,exclude_other_interest,Exclude conventional other interest,18607584,0.21047982371059,0.293034711008157,0.287089930643333,0.0869452477011524,0.0696811579622588,0.0527691289745085,0.122450286936767,52.025,7.98154186666667,0.993599310584909,-0.675362762961642,-0.789773247838848,0,16.7390797975148,-2.67289690625734,0.00996734717801218,0.0357408841634581,ABS national accounts and labour/demographic data
1999,116473,17914,246851,623348,1349495,80923,15412,7838,7576,215310,207472,199898,0.471835236640727,0.461912048581136,0.345408985029229,0.33283494933809,0.320684433093553,0.0247245519356764,0.0125740356911388,0.0121537247251936,0.33283494933809,207472,exclude_other_interest,Exclude conventional other interest,18812264,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.069104654282972,0.054305584909929,0.123410239192901,49.525,7.28284664166667,1.0214828517465,-0.831317678782365,0.133370596509873,0,16.7500195555442,-2.6347785491868,0.0109397580294228,0.0381183570705366,ABS national accounts and labour/demographic data
2000,122892,19739,254806,663930,1402342,86264,15504,8448,7057,228895,220447,213391,0.482296335251132,0.473443710592709,0.344757730483635,0.332033497507267,0.321405871100869,0.0233518593827663,0.012724232976368,0.010629132589279,0.332033497507267,220447,exclude_other_interest,Exclude conventional other interest,19028802,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.068422909650329,0.0558234827394809,0.12424639238981,51.4,6.61517403333333,1.01869836785315,-0.714351491916823,0.0411843440200667,0,16.761464284059,-2.60781002999761,0.0114447285147747,0.0269685191891975,ABS national accounts and labour/demographic data
2001,131046,21383,259591,709266,1430829,96288,15744,7031,8714,248717,241686,232973,0.504817193200073,0.495702840800683,0.350668155529801,0.340755090473814,0.328470559705386,0.0221975958244157,0.00991306505598746,0.0122859406766996,0.340755090473814,241686,exclude_other_interest,Exclude conventional other interest,19274701,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.0680664773995716,0.0574384526120535,0.125504930011625,52.4,6.34935573333333,1.01838672617786,-0.651969525588533,0.030866784549386,0,16.7743039649717,-2.60053941042877,0.0128396809127338,0.00727061956884123,ABS national accounts and labour/demographic data
2002,138831,22332,268230,757664,1487345,100485,15559,6435,9125,261648,255213,246089,0.517581925959065,0.509407030648572,0.345335135363433,0.336841924652616,0.324799647337078,0.0205354880263547,0.0084932107108164,0.0120435971618026,0.336841924652616,255213,exclude_other_interest,Exclude conventional other interest,19495210,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.0679451516552015,0.0585304800512536,0.126475631706455,53.125,6.71983025833333,1.01604786510325,-0.606742600000524,-0.0465661781903574,0,16.7856793523336,-2.57317614304176,0.0113753873619444,0.027363267387007,ABS national accounts and labour/demographic data
2003,147819,23101,275665,805221,1533322,101964,15694,5673,10021,272884,267211,257190,0.536226942121778,0.525148011963567,0.338893297616431,0.331848026814999,0.319402996196075,0.0194903014203554,0.00704527080143215,0.0124450306189233,0.331848026814999,267211,exclude_other_interest,Exclude conventional other interest,19720737,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.0677877809536226,0.0595566991233644,0.127344480076987,53.9,6.136391425,1.02109677634842,-0.558396576096099,0.120588750576867,0,16.7971812796656,-2.554234098206,0.0115019273319206,0.0189420448357547,ABS national accounts and labour/demographic data
