driver,year,index,abs_series_id,growth,source,source_url,downloaded
public_all_wpi,2001,72.5,A2705270T,0.0342368045649073,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,2002,75,A2705270T,0.0344827586206897,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,2003,77.8,A2705270T,0.0373333333333332,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,2004,81.2,A2705270T,0.0437017994858613,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,2005,84.7,A2705270T,0.0431034482758621,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,2006,88.5,A2705270T,0.0448642266824084,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,2007,92.3,A2705270T,0.0429378531073446,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,2008,96,A2705270T,0.0400866738894907,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,2009,100,A2705270T,0.0416666666666667,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,2010,104.3,A2705270T,0.0429999999999999,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,2011,108.2,A2705270T,0.0373921380632791,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
public_all_wpi,2012,111.7,A2705270T,0.0323475046210722,"ABS Wage Price Index, Australia, catalogue 6345.0 table 5a",https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/wage-price-index-australia/latest-release,2026-08-25 21:04:26 AEST
