"","date","GDP","Consumption","Investment","Consumption_ratio","Government_ratio"
"96",1983-06-01,48207,9027,1707,0.187254962972182,0.222664758230133
"97",1983-09-01,50999,9528,1919,0.186827192690053,0.224455381478068
"98",1983-12-01,52410,9588,1956,0.18294218660561,0.220263308528907
"99",1984-03-01,54572,9979,1994,0.182859341786997,0.219398226196584
"100",1984-06-01,55819,10110,2184,0.181121123631738,0.220247585947437
"101",1984-09-01,56488,11059,2209,0.195776094037672,0.234881744795355
"102",1984-12-01,57421,10760,2240,0.187387889448111,0.226398007697532
"103",1985-03-01,59624,11400,2339,0.19119817523145,0.230427344693412
"104",1985-06-01,61954,12034,2517,0.194240888401072,0.234867805145753
"105",1985-09-01,63395,12061,2418,0.190251597129111,0.228393406420065
"106",1985-12-01,64627,12581,2629,0.194670957958748,0.235350550079688
"107",1986-03-01,65847,12734,2590,0.193387701793552,0.232721308487858
"108",1986-06-01,67029,13231,3020,0.197392173536827,0.242447298930314
"109",1986-09-01,68265,13695,2957,0.200615249395737,0.243931736614663
"110",1986-12-01,70549,13675,3032,0.193836907681186,0.236814129186806
"111",1987-03-01,72336,13731,2900,0.189822495023225,0.229913182924132
"112",1987-06-01,75067,14287,2857,0.19032331117535,0.228382644837279
"113",1987-09-01,77467,14352,2965,0.185265984225541,0.223540346211935
"114",1987-12-01,79790,14696,2917,0.184183481639303,0.220741947612483
"115",1988-03-01,82676,15318,2791,0.185277468672892,0.219035754027771
"116",1988-06-01,84725,15480,2457,0.182708763647094,0.211708468574801
"117",1988-09-01,87740,15740,2853,0.179393663095509,0.21191018919535
"118",1988-12-01,90598,16025,2732,0.176880284332987,0.207035475396808
"119",1989-03-01,93227,16134,2972,0.173061452154419,0.204940628787798
"120",1989-06-01,96844,17493,2862,0.180630705051423,0.210183387716327
"121",1989-09-01,98718,17023,3181,0.1724406896412,0.204663789785044
"122",1989-12-01,100454,17685,3486,0.17605072968722,0.210753180560256
"123",1990-03-01,102270,18230,3300,0.178253642319351,0.210521169453408
"124",1990-06-01,104208,18903,3191,0.181396821741133,0.212018271150008
"125",1990-09-01,103611,18882,3277,0.182239337522078,0.213867253476947
"126",1990-12-01,104850,19109,3219,0.182250834525513,0.212951835956128
"127",1991-03-01,103441,19718,3714,0.190620740325403,0.226525265610348
"128",1991-06-01,103500,19681,3471,0.190154589371981,0.223690821256039
"129",1991-09-01,104266,20715,3540,0.198674543954885,0.232626167686494
"130",1991-12-01,105234,20814,3416,0.197787787217059,0.230248778911759
"131",1992-03-01,106759,20533,3475,0.192330389007016,0.224880337957456
"132",1992-06-01,107166,20566,3467,0.191907881230987,0.224259559935054
"133",1992-09-01,108192,21221,3573,0.196142043774031,0.229166666666667
"134",1992-12-01,110383,21391,3769,0.193788898652872,0.227933649203229
"135",1993-03-01,112266,21561,3741,0.192052803163914,0.22537544759767
"136",1993-06-01,113414,21871,3869,0.19284215352602,0.22695610771157
"137",1993-09-01,113256,21572,3406,0.1904711450166,0.220544606908243
"138",1993-12-01,115645,21733,3781,0.18792857451684,0.220623459725885
"139",1994-03-01,118001,22212,3788,0.188235692917857,0.220337115787154
"140",1994-06-01,119521,22093,4013,0.184846177659156,0.21842186728692
"141",1994-09-01,123044,22872,4480,0.185884724163714,0.222294463769058
"142",1994-12-01,122405,22445,4369,0.18336669253707,0.219059678934684
"143",1995-03-01,124576,22920,3733,0.183984073978937,0.213949717441562
"144",1995-06-01,126279,24072,3429,0.190625519682608,0.217779678331314
"145",1995-09-01,128991,23308,4441,0.180694777154995,0.215123535750556
"146",1995-12-01,131592,24675,3579,0.187511398869232,0.214709100857195
"147",1996-03-01,133193,25100,3522,0.188448341879829,0.21489117295954
"148",1996-06-01,135308,25167,4234,0.185997871522748,0.217289443344074
"149",1996-09-01,135967,25494,3685,0.187501379011084,0.21460354350688
"150",1996-12-01,137932,24850,3944,0.180161238871328,0.208755038714729
"151",1997-03-01,139211,25628,4420,0.18409464769307,0.215845012247595
"152",1997-06-01,142743,25702,4306,0.180057866235122,0.210223968951192
"153",1997-09-01,143642,26716,3844,0.185990170005987,0.212751145208226
