year,log_real_gdp_per_capita,real_gdp_per_capita_growth,scenario_real_gdp,scenario_real_gdp_growth,scenario_nominal_gdp,scenario_nominal_gdp_growth,income_case,income_case_label
2060,-2.02437920718993,0.0102588649521393,5163646.41255878,0.0185365853658543,12759167.1980348,0.0440000000000007,central_gdp,GDP PC model: 1.03% growth
2061,-2.01410655575905,0.0103255962538564,5259362.78508425,0.018536585365853,13320570.5547483,0.0439999999999992,central_gdp,GDP PC model: 1.03% growth
2062,-2.00376891354081,0.0103912602436007,5356853.41231996,0.0185365853658535,13906675.6591572,0.0439999999999996,central_gdp,GDP PC model: 1.03% growth
2063,-1.99336731588583,0.010455882324373,5456151.18288981,0.0185365853658561,14518569.3881602,0.0440000000000025,central_gdp,GDP PC model: 1.03% growth
2064,-1.98290277359928,0.0105194870993723,5557289.59506043,0.0185365853658508,15157386.4412392,0.0439999999999969,central_gdp,GDP PC model: 1.03% growth
2065,-1.97237627371066,0.0105820984032408,5660302.76804206,0.018536585365857,15824311.4446538,0.0440000000000034,central_gdp,GDP PC model: 1.03% growth
2066,-1.96178878021371,0.0106437393317684,5765225.4534984,0.0185365853658452,16520581.1482184,0.0439999999999914,central_gdp,GDP PC model: 1.03% growth
2026,-2.3038095117103,0.0155630635286601,2793747.18860425,0.0288290389536685,2956248.13236951,0.0648380553170469,midpoint_gdp,GDP PC model: 0.56% growth
2027,-2.30248964847068,0.00132073464243643,2830730.16479826,0.013237767663757,3085243.7260513,0.0436349006936696,midpoint_gdp,GDP PC model: 0.56% growth
2028,-2.31384872848285,-0.0112948092452456,2832010.93682389,0.000452452883554111,3171522.24394209,0.027964895337852,midpoint_gdp,GDP PC model: 0.56% growth
2029,-2.30816490237538,0.00570000969412088,2882242.68340233,0.0177371301520375,3312505.0653655,0.0444527298185287,midpoint_gdp,GDP PC model: 0.56% growth
2030,-2.29412745884329,0.014136431077578,2958163.5617594,0.0263409041834912,3484753.42999711,0.0519994267880783,midpoint_gdp,GDP PC model: 0.56% growth
2031,-2.29232856452543,0.00180051329888942,2999224.41477923,0.0138805215339128,3621451.71564813,0.0392275345722606,midpoint_gdp,GDP PC model: 0.56% growth
2032,-2.29057410314997,0.00175600134329246,3040855.2138536,0.0138805215339077,3763512.33802547,0.0392275345722553,midpoint_gdp,GDP PC model: 0.56% growth
2033,-2.28865689119782,0.00191905097806422,3083063.87013101,0.0138805215339155,3911145.6483785,0.0392275345722632,midpoint_gdp,GDP PC model: 0.56% growth
2034,-2.28654196979549,0.00211715942607404,3125858.4045708,0.0138805215339133,4064570.24951742,0.039227534572261,midpoint_gdp,GDP PC model: 0.56% growth
2035,-2.2842442208235,0.00230039082020106,3169246.9494674,0.0138805215339111,4224013.31950173,0.0392275345722588,midpoint_gdp,GDP PC model: 0.56% growth
