year,primary_fiscal_pp,model,model_label,path_type,standard_error_pp,lower_80_pp,upper_80_pp,lower_95_pp,upper_95_pp
2026,37.1,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,37.1,37.1,37.1,37.1
2027,37.1,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,37.1,37.1,37.1,37.1
2028,36.4,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,36.4,36.4,36.4,36.4
2029,35.7,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,35.7,35.7,35.7,35.7
2040,38.644847658902,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.676641371093967,37.7776968504643,39.5119984673397,37.318654941108,39.971040376696
2041,38.7243991879473,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.707552361945039,37.8176343507918,39.6311640251027,37.3376220413588,40.1111763345358
2042,38.8014766750352,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.738758913929834,37.8547190323284,39.748234317742,37.3535358104748,40.2494175395956
2043,38.8761270022601,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.770237613182604,37.8890277832446,39.8632262212756,37.3664890208841,40.3857649836361
2044,38.9483957316195,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.801968360055596,37.920631924273,39.976159538966,37.3765666291699,40.5202248340691
2045,39.018327154114,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.833933803430426,37.9495979827671,40.0870563254608,37.3838469338998,40.6528073743281
2046,39.0859643365884,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.86611888303932,37.9759883260816,40.1959403470952,37.3884025195012,40.7835261536755
2047,39.1513491664292,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.898510457438545,37.9998616830406,40.3028366498177,37.390301030117,40.9123973027413
2048,39.214522394247,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.93109700016764,38.0212735760083,40.4077712124857,37.3896058078052,41.0394389806889
2049,39.2755236746416,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.963868350416878,38.040276681186,40.5107706680972,37.3863764219865,41.1646709272967
2050,39.3343916051557,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.996815507460894,38.0569211310101,40.6118620793014,37.3806691113014,41.2881140990101
2051,39.3911637635154,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.0299304603942,38.0712547695951,40.7110727574357,37.372537154562,41.4097903724688
2052,39.4458767432441,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.06320604646931,38.0833233698949,40.8084301165933,37.362031184019,41.5297223024692
2053,39.4985661877339,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.09663583271542,38.0931708194851,40.9039615559826,37.3491994514556,41.6479329240122
2054,39.549266822857,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.13021401659154,38.1008392804937,40.9976943652204,37.3340880555153,41.7644455901988
2055,39.5980124881912,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.16393534227032,38.1063693281119,41.0896556482704,37.316741137008,41.8792838393743
2056,39.6448361669221,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.19779502981231,38.1098000712646,41.1798722625796,37.2972010476289,41.9924712862154
2057,39.6897700145037,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.23178871501689,38.1111692583537,41.2683707706538,37.2755084965078,42.1040315324997
2058,39.7328453861218,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.2659123981504,38.1105133704298,41.3551774018138,37.2517026781643,42.2139880940793
2059,39.7740928630324,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.30016240008609,38.1078677037398,41.4403180223249,37.2258213848105,42.3223643412543
2060,39.8135422778255,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.33453532465512,38.1032664432391,41.5238181124118,37.197901105405,42.429183450246
2061,39.8512227386627,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.36902802622139,38.0967427283842,41.6057027489411,37.1679771134428,42.5344683638826
2062,39.8871626525453,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.40363758166682,38.088328712303,41.6859965927877,37.1360835451314,42.6382417599592
2063,39.9213897476558,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.43836126611196,38.0780556152513,41.7647238800603,37.1022534693189,42.7405260259927
2064,39.9539310948133,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.47319653181063,38.0659537731165,41.84190841651,37.0665189503151,42.8413432393114
2065,39.9848131280898,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.50814098975199,38.0520526816111,41.9175735745684,37.0289111045673,42.9407151516123
2066,40.0140616646279,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.54319239357691,38.0363810367029,41.9917422925529,36.989460152001,43.0386631772547
