year,sample,spending_pp,0_14,65_74,75p,65p,unemployment,tot_z,rp_z,log_real_gdp_per_capita,age_0_14_pp,age_65_74_pp,age_75p_pp,age_65p_pp,relative_price,terms_of_trade,log_relative_price,log_terms_of_trade,covid_fy2020,d_covid_fy2020,covid_fy2021,d_covid_fy2021,covid_fy2022,d_covid_fy2022,dy,d_age_0_14_pp,d_age_65_74_pp,d_age_75p_pp,d_age_65p_pp,d_log_relative_price,d_log_real_gdp_per_capita,d_unemployment,d_log_terms_of_trade,d_unemployment_l1,d_log_terms_of_trade_l1,spending_lag_pp
2002,history,33.6841924652616,0.203363082521296,0.0679451516552015,0.0585304800512536,0.126475631706455,6.71983025833333,-0.606742600000524,-0.0465661781903574,-2.57317614304176,20.3363082521296,6.79451516552015,5.85304800512536,12.6475631706455,1.01604786510324,53.125,0.0159204593686773,3.97264762724458,0,0,0,0,0,0,-0.391316582119806,-0.209966369717996,-0.0121325744370093,0.10920274392001,0.0970701694830023,-0.00229927481083563,0.0273632673870101,0.370474525,0.0137410359175845,-0.2658183,0.0192684188658769,34.0755090473814
2003,history,33.1848026814999,0.201294150416387,0.0677877809536226,0.0595566991233644,0.127344480076987,6.136391425,-0.558396576096099,0.120588750576867,-2.554234098206,20.1294150416387,6.77877809536226,5.95566991233644,12.7344480076987,1.02109677634842,53.9,0.0208773205362915,3.98713047791495,0,0,0,0,0,0,-0.4993897837617,-0.2068932104909,-0.0157370701578898,0.10262190721108,0.0868848370531996,0.0049568611676142,0.01894204483576,-0.58343883333333,0.0144828506703707,0.370474525,0.0137410359175845,33.6841924652616
2004,history,33.1178145143487,0.19938190077602,0.0678986041143804,0.060476085504027,0.128374689618407,5.647281625,-0.318226005732186,-0.163681515352709,-2.5236017204419,19.938190077602,6.78986041143804,6.0476085504027,12.8374689618407,1.01251039871118,57.75,0.012432790277852,4.0561233494019,0,0,0,0,0,0,-0.0669881671512016,-0.191224964036703,0.0110823160757789,0.0919386380662601,0.103020954142,-0.00844453025843951,0.0306323777640998,-0.489109800000001,0.0689928714869517,-0.58343883333333,0.0144828506703707,33.1848026814999
2005,history,33.096688993233,0.197423888493166,0.0680964277664039,0.0613529053403991,0.129449333106803,5.190216225,0.0357916531808558,0.052975763772323,-2.50470743735316,19.7423888493166,6.80964277664039,6.13529053403991,12.9449333106803,1.01905452744846,63.425,0.0188752635532568,4.14985810548535,0,0,0,0,0,0,-0.0211255211156995,-0.195801228285397,0.0197823652023503,0.0876819836372098,0.107464348839601,0.00644247327540486,0.01889428308874,-0.457065399999999,0.0937347560834425,-0.489109800000001,0.0689928714869517,33.1178145143487
2006,history,32.8588183038633,0.195706501101219,0.0683221027309908,0.0619438221157866,0.130265924846777,4.96700215,0.453750827580394,-0.226315189320735,-2.4908702282314,19.5706501101219,6.83221027309908,6.19438221157866,13.0265924846777,1.01061854985482,70.125,0.0105625689959764,4.25027936384286,0,0,0,0,0,0,-0.237870689369693,-0.171738739194701,0.0225674964586906,0.05909167753875,0.0816591739973962,-0.00831269455728045,0.01383720912176,-0.223214075,0.100421258357515,-0.457065399999999,0.0937347560834425,33.096688993233
2007,history,32.4508714879261,0.194302594890574,0.069181445678244,0.062211855006779,0.131393300685023,4.51696709166667,0.770339306696462,-0.242829914345732,-2.4719252598438,19.4302594890574,6.9181445678244,6.2211855006779,13.1393300685023,1.01011972291921,75.2,0.0100688613719198,4.32015123095579,0,0,0,0,0,0,-0.407946815937201,-0.140390621064501,0.0859342947253197,0.0268032890992398,0.112737583824602,-0.000493707624056582,0.0189449683876002,-0.45003505833333,0.0698718671129335,-0.223214075,0.100421258357515,32.8588183038633
2008,history,32.3381864225715,0.192990615787447,0.0698867284362107,0.0621261064946495,0.13201283493086,4.23842073333333,1.03234356527528,-0.232486620529592,-2.45636574106639,19.2990615787447,6.98867284362107,6.21261064946495,13.201283493086,1.01043214189989,79.4,0.010378102612994,4.37449836825309,0,0,0,0,0,0,-0.112685065354597,-0.1311979103127,0.0705282757966703,-0.00857485121294932,0.0619534245836988,0.000309241241074221,0.01555951877741,-0.27854635833334,0.0543471372972961,-0.45003505833333,0.0698718671129335,32.4508714879261
2009,history,34.5384537584586,0.191688480356937,0.0712790767951156,0.0619779875696887,0.133257064364804,4.91556385833333,1.38792077334653,-0.371769227657141,-2.45761474580509,19.1688480356937,7.12790767951156,6.19779875696887,13.3257064364804,1.00622511356653,85.1000000000001,0.00620581758545228,4.44382703557933,0,0,0,0,0,0,2.2002673358871,-0.130213543050999,0.139234835890489,-0.0148118924960805,0.124422943394402,-0.00417228502754174,-0.00124900473870015,0.677143125000001,0.0693286673262392,-0.27854635833334,0.0543471372972961,32.3381864225715
2010,history,34.8802343681278,0.190574874896456,0.073225640269157,0.0623366732102534,0.13556231347941,5.46519756666667,1.188298481096,0.553439392952957,-2.45131146659701,19.0574874896456,7.3225640269157,6.23366732102534,13.556231347941,1.03417102125337,81.9,0.0336001601400718,4.40549899085902,0,0,0,0,0,0,0.3417806096692,-0.1113605460481,0.19465634740414,0.0358685640564707,0.2305249114606,0.0273943425546195,0.00630327920808016,0.54963370833334,-0.0383280447203056,0.677143125000001,0.0693286673262392,34.5384537584586
2011,history,33.7557068560976,0.189507987994999,0.0752877884106123,0.0629354740173959,0.138223262428008,5.036379075,2.24723235951871,0.0196996780223984,-2.44154163102703,18.9507987994999,7.52877884106123,6.29354740173959,13.8223262428008,1.0180494239509,98.875,0.0178884669998167,4.59385642608782,0,0,0,0,0,0,-1.1245275120302,-0.106688690145699,0.206214814145531,0.0598800807142492,0.266094894859799,-0.0157116931402551,0.00976983556997979,-0.42881849166667,0.188357435228793,0.54963370833334,-0.0383280447203056,34.8802343681278
