year,primary_fiscal_pp,model,model_label,path_type,standard_error_pp,lower_80_pp,upper_80_pp,lower_95_pp,upper_95_pp
2026,37.1,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,37.1,37.1,37.1,37.1
2027,37.1,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,37.1,37.1,37.1,37.1
2028,36.4,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,36.4,36.4,36.4,36.4
2029,35.7,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,35.7,35.7,35.7,35.7
2040,38.3626957489268,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.36944226600579,36.6076848690042,40.1177066288495,35.6786382286486,41.0467532692051
2041,38.42397333289,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.43698974476992,36.5823968758086,40.2655497899715,35.6075251869876,41.2404214787925
2042,38.4827650813133,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.50445490736928,36.554728539483,40.4108016231437,35.534087646505,41.4314425161217
2043,38.5391180997748,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.57182678019967,36.524741028845,40.5534951707046,35.4583942206479,41.6198419789017
2044,38.5930781674626,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.6390969736752,36.4924908747697,40.6936654601554,35.3805071318906,41.8056492030345
2045,38.6446897865094,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.7062591334725,36.4580307227829,40.8313488502359,35.3004833366108,41.988896236408
2046,38.6939962290567,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.77330851987251,36.4214099192205,40.9665825388929,35.2183753966286,42.1696170614849
2047,38.7410395821652,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.84024168205643,36.3826749735453,41.099404190785,35.1342321624852,42.3478470018452
2048,38.7858607907008,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.90705620360291,36.3418699273919,41.2298516540096,35.0480993151454,42.5236222662561
2049,38.8284996982937,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.97375050194177,36.2990366525358,41.3579627440516,34.96001980002,42.6969795965674
2050,38.8689950864787,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.04032366910183,36.2542150941235,41.4837750788338,34.8700341782345,42.8679559947229
2051,38.907384712112,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.10677534435502,36.207443471303,41.6073259529209,34.7781809136591,43.0365885105648
2052,38.9437053431558,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.17310561170637,36.1587584443797,41.7286522419318,34.6844966096094,43.2029140767022
2053,38.9779927929117,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.23931491689244,36.1081952554208,41.8477903304026,34.5890162057592,43.3669693800642
2054,39.0102819527879,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.30540399981347,36.0557878476142,41.9647760579616,34.4917731433389,43.5287907622369
2055,39.0406068236727,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.3713738392583,36.0015689674797,42.0796446798657,34.392799504846,43.6884141424995
2056,39.0690005459806,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.43722560748304,35.9455702531253,42.1924308388358,34.292126133115,43.8458749588461
2057,39.095495428448,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.5029606327399,35.8878223110637,42.3031685458323,34.1897827335562,44.0012081233398
2058,39.1201229757288,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.56858036825153,35.8283547835689,42.4118911678886,34.0857979625591,44.1544479888984
2059,39.1429139148577,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.63408636644303,35.7671964081629,42.5186314215524,33.9801995044614,44.305628325254
2060,39.1638982206345,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.69948025748148,35.7043750705023,42.6234213707666,33.8730141389939,44.4547823022751
2061,39.1831051399774,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.76476373136022,35.6399178516917,42.726292428263,33.7642678007488,44.601942479206
2062,39.2005632153018,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.82993852291549,35.5738510708645,42.8272753597391,33.653985631925,44.7471407986787
2063,39.2163003069685,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.89500639927618,35.5062003237145,42.9264002902225,33.5421920293742,44.8904085845628
2064,39.2303436148413,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,2.95996914933936,35.4369905175417,43.0236967121408,33.4289106867864,45.0317765428961
2065,39.2427196990015,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,3.02482857494175,35.3662459032809,43.1191934947222,33.3141646327081,45.171274765295
2066,39.2534544996602,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,3.08958648345214,35.2939901049067,43.2129188944137,33.1979762649723,45.3089327343482
