year,primary_fiscal_ratio,nominal_gdp,nominal_gdp_growth,revenue_ratio,official_net_debt,official_gross_debt,official_interest,net_debt_ratio,gross_debt_ratio,interest_ratio,total_fiscal_expenditure_ratio,fiscal_deficit_ratio,effective_interest_rate,model,model_label,anchor_type,anchor_label
2035,0.388830832030432,4103370.16168738,0.0344768856447615,0.365571428571429,,,,0.481764530128154,0.696764530128154,0.0273225045246901,0.416153336555122,0.0505819079836936,0.0427570764713116,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2036,0.395712437055365,4244841.58551004,0.0344768856447706,0.367285714285714,,,,0.52335238427484,0.73835238427484,0.0292173051238109,0.424929742179176,0.0576440278934616,0.0433785382356558,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2037,0.398895487729277,4391190.50343381,0.0344768856447644,0.369,,,,0.567210431055915,0.782210431055915,0.0314047663692788,0.430300254098556,0.0613002540985558,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2038,0.402051652446145,4542585.0762651,0.0344768856447708,0.369,,,,0.614628387867731,0.829628387867731,0.0332702058828589,0.435321858329004,0.066321858329004,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2039,0.405181460753895,4699199.26247114,0.0344768856447721,0.369,,,,0.665612669869864,0.880612669869864,0.0352870610960322,0.440468521849927,0.0714685218499272,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2040,0.408285426707875,4861213.01806536,0.0344768856447732,0.369,,,,0.720170265333459,0.935170265333459,0.037455604868468,0.445741031576343,0.076741031576343,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2041,0.411364049469371,5028812.50338403,0.0344768856447624,0.369,,,,0.778308726023088,0.993308726023088,0.0397761344363205,0.451140183905692,0.0821401839056915,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2042,0.414417813875465,5202190.29699217,0.0344768856447657,0.369,,,,0.840036158059889,1.05503615805989,0.0422489710031319,0.456666784878597,0.0876667848785969,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2043,0.417447190981938,5381545.61696389,0.0344768856447679,0.369,,,,0.905361213243551,1.12036121324355,0.0448744593512126,0.462321650333151,0.0933216503331506,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2044,0.420452638580674,5567084.54979211,0.0344768856447779,0.369,,,,0.974293080811764,1.18929308081176,0.0476529674725315,0.468105606053206,0.0991056060532055,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2045,0.423434601693006,5759020.28719002,0.034476885644763,0.369,,,,1.04684147961722,1.26184147961722,0.0505848862182187,0.474019487911225,0.105019487911225,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2046,0.426393513040338,5957573.37105737,0.0344768856447681,0.369,,,,1.1230166507031,1.3380166507031,0.0536706289658202,0.480064142006158,0.111064142006158,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2047,0.429329793493284,6162971.94689165,0.0344768856447713,0.369,,,,1.20282935025949,1.41782935025949,0.0569106313035132,0.486240424796797,0.117240424796797,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2048,0.432243852500501,6375452.02593652,0.0344768856447637,0.369,,,,1.28629084294372,1.50129084294372,0.0603053507305141,0.492549203231015,0.123549203231015,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2049,0.435136088498291,6595257.75636844,0.0344768856447684,0.369,,,,1.3734128955488,1.5884128955488,0.0638552663729667,0.498991354871258,0.129991354871258,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2050,0.438006889302002,6822641.70383253,0.034476885644769,0.369,,,,1.46420777100499,1.67920777100499,0.0675608787146422,0.505567768016644,0.136567768016644,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2051,0.440856632480194,7057865.14165085,0.0344768856447768,0.369,,,,1.55868822270034,1.77368822270034,0.0714227093418021,0.512279341821996,0.143279341821996,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2052,0.443685685712493,7301198.35103572,0.034476885644765,0.369,,,,1.6568674891068,1.8718674891068,0.0754413007016326,0.519126986414126,0.150126986414126,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2053,0.446494407131914,7552920.93165413,0.0344768856447657,0.369,,,,1.75875928869906,1.97375928869906,0.079617215873668,0.526111623005582,0.157111623005582,0.044,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
