"nominal_return","annual_real_return","treatment","tax_as_share_real_gain"
0.046,0.0204878048780488,"50% discount",0.326306499970669
0.046,0.0204878048780488,"Inflation indexation",0.332345986851908
0.046,0.0204878048780488,"Full nominal gain taxed",0.770267013089431
0.047,0.0214634146341464,"50% discount",0.321270985576585
0.047,0.0214634146341464,"Inflation indexation",0.338194066460822
0.047,0.0214634146341464,"Full nominal gain taxed",0.754347904692349
0.048,0.0224390243902439,"50% discount",0.316674879266063
0.048,0.0224390243902439,"Inflation indexation",0.343531832077488
0.048,0.0224390243902439,"Full nominal gain taxed",0.739817926454639
0.049,0.0234146341463415,"50% discount",0.312463252312876
0.049,0.0234146341463415,"Inflation indexation",0.348423076104956
0.049,0.0234146341463415,"Full nominal gain taxed",0.726503428520795
0.05,0.024390243902439,"50% discount",0.308589964568763
0.05,0.024390243902439,"Inflation indexation",0.352921384182958
0.05,0.024390243902439,"Full nominal gain taxed",0.714258544954568
0.051,0.0253658536585366,"50% discount",0.30501597435248
0.051,0.0253658536585366,"Inflation indexation",0.357072098026783
0.051,0.0253658536585366,"Full nominal gain taxed",0.702959850678178
0.052,0.0263414634146342,"50% discount",0.30170802391904
0.052,0.0263414634146342,"Inflation indexation",0.360913842079749
0.052,0.0263414634146342,"Full nominal gain taxed",0.692502205758332
0.053,0.0273170731707317,"50% discount",0.298637606614134
0.053,0.0273170731707317,"Inflation indexation",0.364479723025849
0.053,0.0273170731707317,"Full nominal gain taxed",0.682795490202419
0.054,0.0282926829268293,"50% discount",0.295780147720727
0.054,0.0282926829268293,"Inflation indexation",0.367798281127377
0.054,0.0282926829268293,"Full nominal gain taxed",0.673762014314078
0.055,0.0292682926829269,"50% discount",0.293114349136346
0.055,0.0292682926829269,"Inflation indexation",0.370894251295014
0.055,0.0292682926829269,"Full nominal gain taxed",0.665334446977677
0.056,0.0302439024390244,"50% discount",0.290621660887012
0.056,0.0302439024390244,"Inflation indexation",0.373789176854047
0.056,0.0302439024390244,"Full nominal gain taxed",0.657454144919977
0.057,0.031219512195122,"50% discount",0.28828585173232
0.057,0.031219512195122,"Inflation indexation",0.376501908229399
0.057,0.031219512195122,"Full nominal gain taxed",0.650069795235241
0.058,0.0321951219512198,"50% discount",0.286092657842312
0.058,0.0321951219512198,"Inflation indexation",0.379049010960675
0.058,0.0321951219512198,"Full nominal gain taxed",0.64313630472395
0.059,0.0331707317073171,"50% discount",0.28402949347256
0.059,0.0331707317073171,"Inflation indexation",0.381445101714534
0.059,0.0331707317073171,"Full nominal gain taxed",0.636613885230585
0.06,0.0341463414634149,"50% discount",0.282085211237792
0.06,0.0341463414634149,"Inflation indexation",0.383703126694957
0.06,0.0341463414634149,"Full nominal gain taxed",0.630467295780626
0.061,0.0351219512195122,"50% discount",0.28024990233993
0.061,0.0351219512195122,"Inflation indexation",0.38583459365179
0.061,0.0351219512195122,"Full nominal gain taxed",0.624665211028071
0.062,0.03609756097561,"50% discount",0.278514729191569
0.062,0.03609756097561,"Inflation indexation",0.387849766266287
0.062,0.03609756097561,"Full nominal gain taxed",0.619179692116851
0.063,0.0370731707317074,"50% discount",0.276871784467332
0.063,0.0370731707317074,"Inflation indexation",0.389757827844201
0.063,0.0370731707317074,"Full nominal gain taxed",0.613985741090463
0.064,0.0380487804878051,"50% discount",0.275313971839631
0.064,0.0380487804878051,"Inflation indexation",0.391567019825316
0.064,0.0380487804878051,"Full nominal gain taxed",0.609060923853947
0.065,0.0390243902439025,"50% discount",0.273834904604068
0.065,0.0390243902439025,"Inflation indexation",0.393284759516553
0.065,0.0390243902439025,"Full nominal gain taxed",0.604385049691583
0.066,0.0400000000000003,"50% discount",0.272428819140133
0.066,0.0400000000000003,"Inflation indexation",0.394917740595842
0.066,0.0400000000000003,"Full nominal gain taxed",0.599939897684424
0.067,0.0409756097560976,"50% discount",0.271090500734672
0.067,0.0409756097560976,"Inflation indexation",0.396472019258298
0.067,0.0409756097560976,"Full nominal gain taxed",0.595708982211046
0.068,0.0419512195121954,"50% discount",0.269815219755557
0.068,0.0419512195121954,"Inflation indexation",0.397953088341996
0.068,0.0419512195121954,"Full nominal gain taxed",0.591677351169119
0.069,0.0429268292682927,"50% discount",0.268598676528958
0.069,0.0429268292682927,"Inflation indexation",0.399365941345693
0.069,0.0429268292682927,"Full nominal gain taxed",0.587831411712223
0.07,0.0439024390243905,"50% discount",0.267436953566297
0.07,0.0439024390243905,"Inflation indexation",0.400715127910848
0.07,0.0439024390243905,"Full nominal gain taxed",0.584158779221746
0.071,0.0448780487804878,"50% discount",0.266326474022486
0.071,0.0448780487804878,"Inflation indexation",0.402004802066861
0.071,0.0448780487804878,"Full nominal gain taxed",0.580648145978111
0.072,0.0458536585365856,"50% discount",0.265263965457353
0.072,0.0458536585365856,"Inflation indexation",0.403238764317341
0.072,0.0458536585365856,"Full nominal gain taxed",0.577289166597365
0.073,0.046829268292683,"50% discount",0.264246428126901
0.073,0.046829268292683,"Inflation indexation",0.404420498465597
0.073,0.046829268292683,"Full nominal gain taxed",0.574072357788205
0.074,0.0478048780487808,"50% discount",0.263271107157263
0.074,0.0478048780487808,"Inflation indexation",0.405553203930879
0.074,0.0478048780487808,"Full nominal gain taxed",0.570989010383647
