"nominal_return","annual_real_return","treatment","final_wealth"
0.034,0.00878048780487806,"50% discount",1341559.39058665
0.034,0.00878048780487806,"Inflation indexation",1371157.58701459
0.034,0.00878048780487806,"Full nominal gain taxed",1252227.89009375
0.035,0.00975609756097562,"No capital gains tax",1410598.76062112
0.035,0.00975609756097562,"50% discount",1352076.03948137
0.035,0.00975609756097562,"Inflation indexation",1380656.49569369
0.035,0.00975609756097562,"Full nominal gain taxed",1259691.31834162
0.036,0.0107317073170732,"No capital gains tax",1424287.14349231
0.036,0.0107317073170732,"50% discount",1362684.53620654
0.036,0.0107317073170732,"Inflation indexation",1389594.18175281
0.036,0.0107317073170732,"Full nominal gain taxed",1267219.92892077
0.037,0.0117073170731707,"No capital gains tax",1438094.9588409
0.037,0.0117073170731707,"50% discount",1373385.5931017
0.037,0.0117073170731707,"Inflation indexation",1398293.10542242
0.037,0.0117073170731707,"Full nominal gain taxed",1274814.22736249
0.038,0.0126829268292683,"No capital gains tax",1452023.13204616
0.038,0.0126829268292683,"50% discount",1384179.92733577
0.038,0.0126829268292683,"Inflation indexation",1407067.85454173
0.038,0.0126829268292683,"Full nominal gain taxed",1282474.72262539
0.039,0.0136585365853659,"No capital gains tax",1466072.59475499
0.039,0.0136585365853659,"50% discount",1395068.26093512
0.039,0.0136585365853659,"Inflation indexation",1415919.0160483
0.039,0.0136585365853659,"Full nominal gain taxed",1290201.92711525
0.04,0.0146341463414634,"No capital gains tax",1480244.28491834
0.04,0.0146341463414634,"50% discount",1406051.32081172
0.04,0.0146341463414634,"Inflation indexation",1424034.40159345
0.04,0.0146341463414634,"Full nominal gain taxed",1297996.35670509
0.041,0.015609756097561,"No capital gains tax",1494539.14682766
0.041,0.015609756097561,"50% discount",1417129.83879144
0.041,0.015609756097561,"Inflation indexation",1431896.57564358
0.041,0.015609756097561,"Full nominal gain taxed",1305858.53075521
0.042,0.0165853658536586,"No capital gains tax",1508958.13115165
0.042,0.0165853658536586,"50% discount",1428304.55164253
0.042,0.0165853658536586,"Inflation indexation",1439827.01702177
0.042,0.0165853658536586,"Full nominal gain taxed",1313788.97213341
0.043,0.0175609756097561,"No capital gains tax",1523502.19497313
0.043,0.0175609756097561,"50% discount",1439576.20110417
0.043,0.0175609756097561,"Inflation indexation",1447826.25212358
0.043,0.0175609756097561,"Full nominal gain taxed",1321788.20723522
0.044,0.0185365853658537,"No capital gains tax",1538172.30182607
0.044,0.0185365853658537,"50% discount",1450945.53391521
0.044,0.0185365853658537,"Inflation indexation",1455894.8108927
0.044,0.0185365853658537,"Full nominal gain taxed",1329856.76600434
0.045,0.0195121951219512,"No capital gains tax",1552969.4217329
0.045,0.0195121951219512,"50% discount",1462413.30184299
0.045,0.0195121951219512,"Inflation indexation",1464033.22684145
0.045,0.0195121951219512,"Full nominal gain taxed",1337995.18195309
0.046,0.0204878048780488,"No capital gains tax",1567894.53124183
0.046,0.0204878048780488,"50% discount",1473980.26171242
0.046,0.0204878048780488,"Inflation indexation",1472242.03707136
0.046,0.0204878048780488,"Full nominal gain taxed",1346203.992183
0.047,0.0214634146341464,"No capital gains tax",1582948.61346451
0.047,0.0214634146341464,"50% discount",1485647.17543499
0.047,0.0214634146341464,"Inflation indexation",1480521.78229384
0.047,0.0214634146341464,"Full nominal gain taxed",1354483.73740548
0.048,0.0224390243902439,"No capital gains tax",1598132.65811379
0.048,0.0224390243902439,"50% discount",1497414.81003819
0.048,0.0224390243902439,"Inflation indexation",1488873.00685095
0.048,0.0224390243902439,"Full nominal gain taxed",1362834.96196259
0.049,0.0234146341463415,"No capital gains tax",1613447.66154167
0.049,0.0234146341463415,"50% discount",1509283.9376948
0.049,0.0234146341463415,"Inflation indexation",1497296.25873628
0.049,0.0234146341463415,"Full nominal gain taxed",1371258.21384792
0.05,0.024390243902439,"No capital gains tax",1628894.62677744
0.05,0.024390243902439,"50% discount",1521255.33575252
0.05,0.024390243902439,"Inflation indexation",1505792.08961595
0.05,0.024390243902439,"Full nominal gain taxed",1379754.04472759
0.051,0.0253658536585366,"No capital gains tax",1644474.56356599
0.051,0.0253658536585366,"50% discount",1533329.78676364
0.051,0.0253658536585366,"Inflation indexation",1514361.05484965
0.051,0.0253658536585366,"Full nominal gain taxed",1388323.00996129
0.052,0.0263414634146342,"No capital gains tax",1660188.48840633
0.052,0.0263414634146342,"50% discount",1545508.07851491
0.052,0.0263414634146342,"Inflation indexation",1523003.71351184
0.052,0.0263414634146342,"Full nominal gain taxed",1396965.66862348
0.053,0.0273170731707317,"No capital gains tax",1676037.42459027
0.053,0.0273170731707317,"50% discount",1557791.00405746
0.053,0.0273170731707317,"Inflation indexation",1531720.62841301
0.053,0.0273170731707317,"Full nominal gain taxed",1405682.58352465
0.054,0.0282926829268293,"No capital gains tax",1692022.40224129
0.054,0.0282926829268293,"50% discount",1570179.361737
0.054,0.0282926829268293,"Inflation indexation",1540512.36612107
0.054,0.0282926829268293,"Full nominal gain taxed",1414474.32123271
0.055,0.0292682926829269,"No capital gains tax",1708144.45835359
0.055,0.0292682926829269,"50% discount",1582673.95522403
0.055,0.0292682926829269,"Inflation indexation",1549379.49698284
0.055,0.0292682926829269,"Full nominal gain taxed",1423341.45209448
0.056,0.0302439024390244,"No capital gains tax",1724404.63683136
0.056,0.0302439024390244,"50% discount",1595275.59354431
0.056,0.0302439024390244,"Inflation indexation",1558322.59514561
