"nominal_return","annual_real_return","treatment","tax_paid"
0.053,0.0273170731707317,"Indexed gain with income averaging",34232.4608630257
0.053,0.0273170731707317,"50% discount in sale year",118246.42053281
0.054,0.0282926829268293,"Indexed gain taxed in sale year",151510.036120219
0.054,0.0282926829268293,"Indexed gain with income averaging",36790.0572871891
0.054,0.0282926829268293,"50% discount in sale year",121843.04050429
0.055,0.0292682926829269,"Indexed gain taxed in sale year",158764.961370756
0.055,0.0292682926829269,"Indexed gain with income averaging",39369.5862651578
0.055,0.0292682926829269,"50% discount in sale year",125470.503129558
0.056,0.0302439024390244,"Indexed gain taxed in sale year",166082.041685754
0.056,0.0302439024390244,"Indexed gain with income averaging",41971.2148216013
0.056,0.0302439024390244,"50% discount in sale year",129129.043287057
0.057,0.031219512195122,"Indexed gain taxed in sale year",173461.749949317
0.057,0.031219512195122,"Indexed gain with income averaging",46095.833299545
0.057,0.031219512195122,"50% discount in sale year",132818.897418839
0.058,0.0321951219512198,"Indexed gain taxed in sale year",180904.562190617
0.058,0.0321951219512198,"Indexed gain with income averaging",51057.7081270782
0.058,0.0321951219512198,"50% discount in sale year",136540.303539489
0.059,0.0331707317073171,"Indexed gain taxed in sale year",188410.957601785
0.059,0.0331707317073171,"Indexed gain with income averaging",56061.9717345232
0.059,0.0331707317073171,"50% discount in sale year",140293.501245073
0.06,0.0341463414634149,"Indexed gain taxed in sale year",195981.418555924
0.06,0.0341463414634149,"Indexed gain with income averaging",61108.9457039494
0.06,0.0341463414634149,"50% discount in sale year",144078.731722142
0.061,0.0351219512195122,"Indexed gain taxed in sale year",203616.430625181
0.061,0.0351219512195122,"Indexed gain with income averaging",66198.9537501204
0.061,0.0351219512195122,"50% discount in sale year",147896.237756771
0.062,0.03609756097561,"Indexed gain taxed in sale year",211316.482598922
0.062,0.03609756097561,"Indexed gain with income averaging",71332.3217326146
0.062,0.03609756097561,"50% discount in sale year",151746.263743641
0.063,0.0370731707317074,"Indexed gain taxed in sale year",219082.066501978
0.063,0.0370731707317074,"Indexed gain with income averaging",76509.3776679856
0.063,0.0370731707317074,"50% discount in sale year",155629.055695169
0.064,0.0380487804878051,"Indexed gain taxed in sale year",226913.677612997
0.064,0.0380487804878051,"Indexed gain with income averaging",81730.4517419977
0.064,0.0380487804878051,"50% discount in sale year",159544.861250679
0.065,0.0390243902439025,"Indexed gain taxed in sale year",234811.814482851
0.065,0.0390243902439025,"Indexed gain with income averaging",86995.8763219008
0.065,0.0390243902439025,"50% discount in sale year",163493.929685606
0.066,0.0400000000000003,"Indexed gain taxed in sale year",242776.978953173
0.066,0.0400000000000003,"Indexed gain with income averaging",92305.9859687819
0.066,0.0400000000000003,"50% discount in sale year",167476.511920767
0.067,0.0409756097560976,"Indexed gain taxed in sale year",250809.676174935
0.067,0.0409756097560976,"Indexed gain with income averaging",97661.1174499565
0.067,0.0409756097560976,"50% discount in sale year",171492.860531648
0.068,0.0419512195121954,"Indexed gain taxed in sale year",258910.414627154
0.068,0.0419512195121954,"Indexed gain with income averaging",103061.609751436
0.068,0.0419512195121954,"50% discount in sale year",175543.229757757
0.069,0.0429268292682927,"Indexed gain taxed in sale year",267079.706135655
0.069,0.0429268292682927,"Indexed gain with income averaging",108507.804090437
0.069,0.0429268292682927,"50% discount in sale year",179627.875512008
0.07,0.0439024390243905,"Indexed gain taxed in sale year",275318.065891944
0.07,0.0439024390243905,"Indexed gain with income averaging",114000.043927963
0.07,0.0439024390243905,"50% discount in sale year",183747.055390152
0.071,0.0448780487804878,"Indexed gain taxed in sale year",283626.012472154
0.071,0.0448780487804878,"Indexed gain with income averaging",119538.674981436
0.071,0.0448780487804878,"50% discount in sale year",187901.028680257
0.072,0.0458536585365856,"Indexed gain taxed in sale year",292004.067856092
0.072,0.0458536585365856,"Indexed gain with income averaging",125124.045237395
0.072,0.0458536585365856,"50% discount in sale year",192090.056372226
0.073,0.046829268292683,"Indexed gain taxed in sale year",300452.757446363
0.073,0.046829268292683,"Indexed gain with income averaging",130756.504964242
0.073,0.046829268292683,"50% discount in sale year",196314.401167362
0.074,0.0478048780487808,"Indexed gain taxed in sale year",308972.610087599
0.074,0.0478048780487808,"Indexed gain with income averaging",136436.406725066
0.074,0.0478048780487808,"50% discount in sale year",200574.32748798
0.075,0.0487804878048781,"Indexed gain taxed in sale year",317564.15808576
0.075,0.0487804878048781,"Indexed gain with income averaging",142164.105390506
0.075,0.0487804878048781,"50% discount in sale year",204870.10148706
0.076,0.0497560975609759,"Indexed gain taxed in sale year",326227.937227541
0.076,0.0497560975609759,"Indexed gain with income averaging",147939.958151694
0.076,0.0497560975609759,"50% discount in sale year",209201.991057951
0.077,0.0507317073170732,"Indexed gain taxed in sale year",334964.486799857
0.077,0.0507317073170732,"Indexed gain with income averaging",153764.324533238
0.077,0.0507317073170732,"50% discount in sale year",213570.265844109
0.078,0.051707317073171,"Indexed gain taxed in sale year",343774.349609433
0.078,0.051707317073171,"Indexed gain with income averaging",159637.566406289
0.078,0.051707317073171,"50% discount in sale year",217975.197248897
0.079,0.0526829268292683,"Indexed gain taxed in sale year",352658.072002464
0.079,0.0526829268292683,"Indexed gain with income averaging",165560.048001643
0.079,0.0526829268292683,"50% discount in sale year",222417.058445412
0.08,0.0536585365853661,"Indexed gain taxed in sale year",361616.203884394
0.08,0.0536585365853661,"Indexed gain with income averaging",171532.135922929
0.08,0.0536585365853661,"50% discount in sale year",226896.124386377
0.081,0.0546341463414635,"Indexed gain taxed in sale year",370649.298739758
0.081,0.0546341463414635,"Indexed gain with income averaging",177554.199159839
0.081,0.0546341463414635,"50% discount in sale year",231412.671814059
0.082,0.0556097560975612,"Indexed gain taxed in sale year",379757.913652145
0.082,0.0556097560975612,"Indexed gain with income averaging",183626.60910143
0.082,0.0556097560975612,"50% discount in sale year",235966.979270253
0.083,0.0565853658536586,"Indexed gain taxed in sale year",388942.609324223
0.083,0.0565853658536586,"Indexed gain with income averaging",189749.739549482
0.083,0.0565853658536586,"50% discount in sale year",240559.327106292
0.084,0.0575609756097564,"Indexed gain taxed in sale year",398203.95009789
0.084,0.0575609756097564,"Indexed gain with income averaging",195923.966731927
0.084,0.0575609756097564,"50% discount in sale year",245189.997493125
0.085,0.0585365853658537,"Indexed gain taxed in sale year",407542.503974484
0.085,0.0585365853658537,"Indexed gain with income averaging",202149.669316323
0.085,0.0585365853658537,"50% discount in sale year",249859.274431422
0.086,0.0595121951219515,"Indexed gain taxed in sale year",416958.842635121
0.086,0.0595121951219515,"Indexed gain with income averaging",208427.228423414
0.086,0.0595121951219515,"50% discount in sale year",254567.443761741
0.087,0.0604878048780488,"Indexed gain taxed in sale year",426453.541461092
0.087,0.0604878048780488,"Indexed gain with income averaging",214757.027640728
0.087,0.0604878048780488,"50% discount in sale year",259314.793174726
0.088,0.0614634146341466,"Indexed gain taxed in sale year",436027.17955439
0.088,0.0614634146341466,"Indexed gain with income averaging",221139.45303626
0.088,0.0614634146341466,"50% discount in sale year",264101.612221375
0.089,0.062439024390244,"Indexed gain taxed in sale year",445680.339758295
0.089,0.062439024390244,"Indexed gain with income averaging",227574.893172197
0.089,0.062439024390244,"50% discount in sale year",268928.192323328
0.09,0.0634146341463417,"Indexed gain taxed in sale year",455413.608678093
0.09,0.0634146341463417,"Indexed gain with income averaging",234063.739118729
0.09,0.0634146341463417,"50% discount in sale year",273794.826783227
0.091,0.0643902439024391,"Indexed gain taxed in sale year",465227.57670185
0.091,0.0643902439024391,"Indexed gain with income averaging",240606.3844679
0.091,0.0643902439024391,"50% discount in sale year",278701.810795105
0.092,0.0653658536585369,"Indexed gain taxed in sale year",475122.838021318
0.092,0.0653658536585369,"Indexed gain with income averaging",247203.225347545
0.092,0.0653658536585369,"50% discount in sale year",283649.441454839
0.093,0.0663414634146342,"Indexed gain taxed in sale year",485099.990652908
0.093,0.0663414634146342,"Indexed gain with income averaging",253854.660435272
0.093,0.0663414634146342,"50% discount in sale year",288638.017770634
0.094,0.067317073170732,"Indexed gain taxed in sale year",495159.636458785
0.094,0.067317073170732,"Indexed gain with income averaging",260561.090972523
0.094,0.067317073170732,"50% discount in sale year",293667.840673573
0.095,0.0682926829268293,"Indexed gain taxed in sale year",505302.38116803
0.095,0.0682926829268293,"Indexed gain with income averaging",267322.920778687
0.095,0.0682926829268293,"50% discount in sale year",298739.213028195
0.096,0.0692682926829271,"Indexed gain taxed in sale year",515528.834397937
0.096,0.0692682926829271,"Indexed gain with income averaging",274140.556265291
0.096,0.0692682926829271,"50% discount in sale year",303852.439643149
0.097,0.0702439024390245,"Indexed gain taxed in sale year",525839.609675365
0.097,0.0702439024390245,"Indexed gain with income averaging",281014.406450243
0.097,0.0702439024390245,"50% discount in sale year",309007.827281863
0.098,0.0712195121951222,"Indexed gain taxed in sale year",536235.324458228
0.098,0.0712195121951222,"Indexed gain with income averaging",287944.882972152
0.098,0.0712195121951222,"50% discount in sale year",314205.684673294
0.099,0.0721951219512196,"Indexed gain taxed in sale year",546716.600157049
0.099,0.0721951219512196,"Indexed gain with income averaging",294932.400104699
0.099,0.0721951219512196,"50% discount in sale year",319446.322522704
0.1,0.0731707317073174,"Indexed gain taxed in sale year",557284.06215664
0.1,0.0731707317073174,"Indexed gain with income averaging",301977.374771094
0.1,0.0731707317073174,"50% discount in sale year",324730.053522501
