"nominal_return","annual_real_return","treatment","tax_paid"
0.064,0.0380487804878051,"Full nominal gain taxed",352951.722501357
0.065,0.0390243902439025,"50% discount",163493.929685606
0.065,0.0390243902439025,"Inflation indexation",234811.814482851
0.065,0.0390243902439025,"Full nominal gain taxed",360849.859371212
0.066,0.0400000000000003,"50% discount",167476.511920767
0.066,0.0400000000000003,"Inflation indexation",242776.978953173
0.066,0.0400000000000003,"Full nominal gain taxed",368815.023841533
0.067,0.0409756097560976,"50% discount",171492.860531648
0.067,0.0409756097560976,"Inflation indexation",250809.676174935
0.067,0.0409756097560976,"Full nominal gain taxed",376847.721063295
0.068,0.0419512195121954,"50% discount",175543.229757757
0.068,0.0419512195121954,"Inflation indexation",258910.414627154
0.068,0.0419512195121954,"Full nominal gain taxed",384948.459515515
0.069,0.0429268292682927,"50% discount",179627.875512008
0.069,0.0429268292682927,"Inflation indexation",267079.706135655
0.069,0.0429268292682927,"Full nominal gain taxed",393117.751024015
0.07,0.0439024390243905,"50% discount",183747.055390152
0.07,0.0439024390243905,"Inflation indexation",275318.065891944
0.07,0.0439024390243905,"Full nominal gain taxed",401356.110780305
0.071,0.0448780487804878,"50% discount",187901.028680257
0.071,0.0448780487804878,"Inflation indexation",283626.012472154
0.071,0.0448780487804878,"Full nominal gain taxed",409664.057360514
0.072,0.0458536585365856,"50% discount",192090.056372226
0.072,0.0458536585365856,"Inflation indexation",292004.067856092
0.072,0.0458536585365856,"Full nominal gain taxed",418042.112744452
0.073,0.046829268292683,"50% discount",196314.401167362
0.073,0.046829268292683,"Inflation indexation",300452.757446363
0.073,0.046829268292683,"Full nominal gain taxed",426490.802334723
0.074,0.0478048780487808,"50% discount",200574.32748798
0.074,0.0478048780487808,"Inflation indexation",308972.610087599
0.074,0.0478048780487808,"Full nominal gain taxed",435010.65497596
0.075,0.0487804878048781,"50% discount",204870.10148706
0.075,0.0487804878048781,"Inflation indexation",317564.15808576
0.075,0.0487804878048781,"Full nominal gain taxed",443602.20297412
0.076,0.0497560975609759,"50% discount",209201.991057951
0.076,0.0497560975609759,"Inflation indexation",326227.937227541
0.076,0.0497560975609759,"Full nominal gain taxed",452265.982115902
0.077,0.0507317073170732,"50% discount",213570.265844109
0.077,0.0507317073170732,"Inflation indexation",334964.486799857
0.077,0.0507317073170732,"Full nominal gain taxed",461002.531688218
0.078,0.051707317073171,"50% discount",217975.197248897
0.078,0.051707317073171,"Inflation indexation",343774.349609433
0.078,0.051707317073171,"Full nominal gain taxed",469812.394497794
0.079,0.0526829268292683,"50% discount",222417.058445412
0.079,0.0526829268292683,"Inflation indexation",352658.072002464
0.079,0.0526829268292683,"Full nominal gain taxed",478696.116890825
0.08,0.0536585365853661,"50% discount",226896.124386377
0.08,0.0536585365853661,"Inflation indexation",361616.203884394
0.08,0.0536585365853661,"Full nominal gain taxed",487654.248772755
0.081,0.0546341463414635,"50% discount",231412.671814059
0.081,0.0546341463414635,"Inflation indexation",370649.298739758
0.081,0.0546341463414635,"Full nominal gain taxed",496687.343628119
0.082,0.0556097560975612,"50% discount",235966.979270253
0.082,0.0556097560975612,"Inflation indexation",379757.913652145
0.082,0.0556097560975612,"Full nominal gain taxed",505795.958540506
0.083,0.0565853658536586,"50% discount",240559.327106292
0.083,0.0565853658536586,"Inflation indexation",388942.609324223
0.083,0.0565853658536586,"Full nominal gain taxed",514980.654212584
0.084,0.0575609756097564,"50% discount",245189.997493125
0.084,0.0575609756097564,"Inflation indexation",398203.95009789
0.084,0.0575609756097564,"Full nominal gain taxed",524241.994986251
0.085,0.0585365853658537,"50% discount",249859.274431422
0.085,0.0585365853658537,"Inflation indexation",407542.503974484
0.085,0.0585365853658537,"Full nominal gain taxed",533580.548862845
0.086,0.0595121951219515,"50% discount",254567.443761741
0.086,0.0595121951219515,"Inflation indexation",416958.842635121
0.086,0.0595121951219515,"Full nominal gain taxed",542996.887523482
0.087,0.0604878048780488,"50% discount",259314.793174726
0.087,0.0604878048780488,"Inflation indexation",426453.541461092
0.087,0.0604878048780488,"Full nominal gain taxed",552491.586349452
0.088,0.0614634146341466,"50% discount",264101.612221375
0.088,0.0614634146341466,"Inflation indexation",436027.17955439
0.088,0.0614634146341466,"Full nominal gain taxed",562065.22444275
0.089,0.062439024390244,"50% discount",268928.192323328
0.089,0.062439024390244,"Inflation indexation",445680.339758295
0.089,0.062439024390244,"Full nominal gain taxed",571718.384646655
0.09,0.0634146341463417,"50% discount",273794.826783227
0.09,0.0634146341463417,"Inflation indexation",455413.608678093
0.09,0.0634146341463417,"Full nominal gain taxed",581451.653566454
0.091,0.0643902439024391,"50% discount",278701.810795105
0.091,0.0643902439024391,"Inflation indexation",465227.57670185
0.091,0.0643902439024391,"Full nominal gain taxed",591265.62159021
0.092,0.0653658536585369,"50% discount",283649.441454839
0.092,0.0653658536585369,"Inflation indexation",475122.838021318
0.092,0.0653658536585369,"Full nominal gain taxed",601160.882909679
0.093,0.0663414634146342,"50% discount",288638.017770634
0.093,0.0663414634146342,"Inflation indexation",485099.990652908
